time_step,dimension,dimension_name,p_self_mean
0,0,vacancy_state,0.051181286721900046
0,1,repair_state,0.051181286721900046
0,2,sales_state,0.051181286721900046
1,0,vacancy_state,0.049373890097611325
1,1,repair_state,0.049373890097611325
1,2,sales_state,0.049373890097611325
2,0,vacancy_state,0.04762282804811467
2,1,repair_state,0.04762282804811467
2,2,sales_state,0.04762282804811467
3,0,vacancy_state,0.04592677232849238
3,1,repair_state,0.04592677232849238
3,2,sales_state,0.04592677232849238
4,0,vacancy_state,0.044284402842802086
4,1,repair_state,0.044284402842802086
4,2,sales_state,0.044284402842802086
5,0,vacancy_state,0.04269440898770294
5,1,repair_state,0.04269440898770294
5,2,sales_state,0.04269440898770294
6,0,vacancy_state,0.041155490905799466
6,1,repair_state,0.041155490905799466
6,2,sales_state,0.041155490905799466
7,0,vacancy_state,0.03966636065211397
7,1,repair_state,0.03966636065211397
7,2,sales_state,0.03966636065211397
8,0,vacancy_state,0.038225743277071775
8,1,repair_state,0.038225743277071775
8,2,sales_state,0.038225743277071775
9,0,vacancy_state,0.036832377829329126
9,1,repair_state,0.036832377829329126
9,2,sales_state,0.036832377829329126
10,0,vacancy_state,0.03548501828169689
10,1,repair_state,0.03548501828169689
10,2,sales_state,0.03548501828169689
11,0,vacancy_state,0.03418243438332132
11,1,repair_state,0.03418243438332132
11,2,sales_state,0.03418243438332132
12,0,vacancy_state,0.032923412441177684
12,1,repair_state,0.032923412441177684
12,2,sales_state,0.032923412441177684
13,0,vacancy_state,0.03170675603382206
13,1,repair_state,0.03170675603382206
13,2,sales_state,0.03170675603382206
14,0,vacancy_state,0.030531286660231322
14,1,repair_state,0.030531286660231322
14,2,sales_state,0.030531286660231322
15,0,vacancy_state,0.029395844326446933
15,1,repair_state,0.029395844326446933
15,2,sales_state,0.029395844326446933
16,0,vacancy_state,0.02829928807262591
16,1,repair_state,0.02829928807262591
16,2,sales_state,0.02829928807262591
17,0,vacancy_state,0.02724049644299556
17,1,repair_state,0.02724049644299556
17,2,sales_state,0.02724049644299556
18,0,vacancy_state,0.02621836790110786
18,1,repair_state,0.02621836790110786
18,2,sales_state,0.02621836790110786
19,0,vacancy_state,0.025231821192696312
19,1,repair_state,0.025231821192696312
19,2,sales_state,0.025231821192696312
20,0,vacancy_state,0.024279795658353774
20,1,repair_state,0.024279795658353774
20,2,sales_state,0.024279795658353774
21,0,vacancy_state,0.023361251498173495
21,1,repair_state,0.023361251498173495
21,2,sales_state,0.023361251498173495
22,0,vacancy_state,0.022475169990428184
22,1,repair_state,0.022475169990428184
22,2,sales_state,0.022475169990428184
