household_id,community,building_value,income,damage_level,population_scaled,age,race,latitude,longitude
dqcp176g,dqcp17,0.47230843011840956,0.1821784551983577,0.75,0.14285714285714285,0.8646084369734949,0.0,39.21767234802246,-77.28487014770508
dqcnc7hq,dqcnc7,0.4571594293905938,0.2597043129575041,0.0,0.5714285714285714,0.37952709229768417,0.0,39.172868728637695,-77.28281021118164
dqcnc29k,dqcnc2,0.5723827973538529,0.4995771663344376,0.0,0.2857142857142857,0.25988830261508694,0.0,39.15879249572754,-77.28693008422852
dqcngqhc,dqcngq,0.43525566019984485,0.3271209523866375,0.0,0.42857142857142855,0.13983892050678606,0.25,39.18848991394043,-77.19423294067383
dqcnbbdq,dqcnbb,0.7935199755934976,0.843112658258686,0.75,0.5714285714285714,0.4883192126158518,1.0,39.159135818481445,-77.30752944946289
dqcncsjm,dqcncs,0.5587059610440003,0.6781813042041744,0.0,0.14285714285714285,0.393480243955754,0.5,39.17819023132324,-77.27045059204102
dqcnbchm,dqcnbc,0.4801551386221155,0.06487228845313206,0.0,0.8571428571428571,0.6369296362350682,0.0,39.16171073913574,-77.30478286743164
dqcng43b,dqcng4,0.47843505943660225,0.18610459547722066,0.5,0.2857142857142857,0.260663837371412,0.0,39.1677188873291,-77.2093391418457
dqcnfpuz,dqcnfp,0.5782339250473767,0.09269736689003098,0.75,0.14285714285714285,0.22882204681868662,0.0,39.19913291931152,-77.24916458129883
dqcp473c,dqcp47,0.4032413524426219,0.52607074299353,0.0,0.14285714285714285,0.49018887157118446,0.25,39.217329025268555,-77.2422981262207
dqchf7jt,dqchf7,0.5763667337007454,0.52254300960133,0.0,0.2857142857142857,0.797260678279572,0.0,38.82113456726074,-77.23714828491211
dqcncu6f,dqcncu,0.4041404682547459,0.14410330203579338,0.0,0.2857142857142857,0.668113275391067,0.25,39.17904853820801,-77.26289749145508
dqcncvkb,dqcncv,0.3703530506893288,0.6089955438766367,0.0,0.14285714285714285,0.2044252364863883,0.0,39.1841983795166,-77.26015090942383
