370	24667
578	1615
578	2105
578	4850
578	11794
578	36273
578	36349
578	36356
578	36365
607	37490
682	2081
682	4928
682	5615
682	9395
682	10988
682	23112
682	24968
682	28355
682	39397
682	39405
682	39410
991	2065
1327	1786
1327	28500
1327	36349
1327	49378
1327	49379
1327	49381
1327	49382
1327	49383
1327	49384
1327	49385
1327	49386
1327	49387
1327	49388
1327	49389
1327	49390
1327	49391
1327	49392
1327	49393
1327	49395
1327	49396
1327	49397
1327	49398
1327	49399
1362	4787
1362	49738
1546	1556
1546	2197
1556	1546
1556	2105
1556	2197
1556	2972
1556	4836
1556	24667
1556	24787
1556	46147
1556	53210
1556	53219
1556	53222
1556	53227
1615	578
1615	2081
1615	28355
1727	2081
1727	2105
1727	4787
1786	1327
1786	49383
1786	49385
1786	49386
1786	49387
1786	49389
1786	49392
1786	49397
2065	991
2081	682
2081	1615
2081	1727
2081	2105
2081	5615
2081	23112
2081	24131
2081	28355
2081	30267
2081	39397
2105	578
2105	1556
2105	1727
2105	2081
2105	3741
2105	30267
2105	31990
2197	1546
2197	1556
2245	23112
2972	1556
2972	9032
2972	15094
2972	36365
2972	53222
2972	66159
2972	66162
2972	66163
3236	66893
3252	40044
3372	67231
3464	67466
3741	2105
4787	1362
4787	1727
4817	17720
4836	1556
4836	18790
4836	21176
4836	30521
4850	578
4928	682
4928	9395
4928	10988
4928	12060
4928	23112
4928	24131
4928	24968
4928	28355
4928	39397
4928	39410
5615	682
5615	2081
5615	10988
7275	27921
9032	2972
9032	34044
9395	682
9395	4928
9395	10988
9395	23112
9395	24968
10382	10412
10412	10382
10988	682
10988	4928
10988	5615
10988	9395
10988	23112
11794	578
12060	4928
12060	28355
15094	2972
15474	100062
17207	104062
17207	104064
17517	34270
17517	59179
17517	104725
17720	4817
18790	4836
18790	107455
19349	36365
20141	110149
21176	4836
23112	682
23112	2081
23112	2245
23112	4928
23112	9395
23112	10988
23112	24968
23112	39397
24131	2081
24131	4928
24131	26380
24131	49378
24299	27921
24299	116275
24299	116276
24299	116278
24667	370
