household_id,community,building_value,income,damage_level,population_scaled,age,race,latitude,longitude
dqcp176g,dqcp17,0.669032522269662,0.3434513023604033,0.75,0.8571428571428571,0.8218680376722046,0.0,39.21767234802246,-77.28487014770508
dqcnc7hq,dqcnc7,0.7606708325453944,0.6031406416546145,1.0,0.7142857142857143,0.7020284257262097,0.0,39.172868728637695,-77.28281021118164
dqcnc29k,dqcnc2,0.29779168884490925,0.9864626738473569,0.5,0.42857142857142855,0.8112731978337404,0.0,39.15879249572754,-77.28693008422852
dqcngqhc,dqcngq,0.38176844993125275,0.6030646554396616,0.0,0.5714285714285714,0.18146851759349192,0.0,39.18848991394043,-77.19423294067383
dqcnbbdq,dqcnbb,0.4939712111509793,0.8004547656111525,0.0,0.42857142857142855,0.9185851140052381,0.25,39.159135818481445,-77.30752944946289
dqcncsjm,dqcncs,0.6535010719823865,0.7450204305403467,0.0,0.2857142857142857,0.23812035169452497,0.0,39.17819023132324,-77.27045059204102
dqcnbchm,dqcnbc,0.48787318472151364,0.35209317863555434,0.0,0.7142857142857143,0.11830010691834318,0.5,39.16171073913574,-77.30478286743164
dqcng43b,dqcng4,0.6313244173087159,0.5005525583857027,0.0,0.7142857142857143,0.7876662346866441,0.25,39.1677188873291,-77.2093391418457
dqcnfpuz,dqcnfp,0.7973452425876765,0.05508592944275301,0.0,0.2857142857142857,0.27527003678585965,0.5,39.19913291931152,-77.24916458129883
dqcp473c,dqcp47,0.3912115576136342,0.37521351547383225,0.0,0.7142857142857143,0.48329230654320804,0.0,39.217329025268555,-77.2422981262207
dqchf7jt,dqchf7,0.4570507200913575,0.7974719162370679,0.0,0.2857142857142857,0.38479904929541026,1.0,38.82113456726074,-77.23714828491211
dqcncu6f,dqcncu,0.3778012984875329,0.25644500145380583,0.0,0.14285714285714285,0.7683923208051424,1.0,39.17904853820801,-77.26289749145508
dqcncvkb,dqcncv,0.6957581343969399,0.32830825510774986,0.25,1.0,0.5316798822386681,1.0,39.1841983795166,-77.26015090942383
dqcnfk5z,dqcnfk,0.3369552427807139,0.4776422042942301,0.0,0.8571428571428571,0.8304308269373625,0.0,39.17853355407715,-77.23955154418945
dqcp1rx0,dqcp1r,0.372709075846444,0.530614623528534,0.0,0.14285714285714285,0.4326170729841057,0.0,39.24050331115723,-77.27903366088867
dqcp1yv9,dqcp1y,0.4572841572428935,0.609289708451829,0.5,0.42857142857142855,0.15460865009614272,1.0,39.236555099487305,-77.25912094116211
dqcnctbb,dqcnct,0.4149011936068038,0.6957287181348647,0.5,0.2857142857142857,0.7780678912060919,0.0,39.18694496154785,-77.27663040161133
dqcne6ct,dqcne6,0.6100793675222813,0.381966569818449,0.0,0.42857142857142855,0.8285225428404466,0.0,39.12737846374512,-77.19869613647461
dqcngjkj,dqcngj,0.5199349217773501,0.22171215346451917,0.25,0.42857142857142855,0.7693224224260616,0.0,39.18505668640137,-77.20624923706055
dqcner94,dqcner,0.3905618131064917,1.0,0.0,0.7142857142857143,0.43578172842976054,0.0,39.15295600891113,-77.19938278198242
dqcnf6cg,dqcnf6,0.6573891191995611,0.619673902505194,0.75,0.14285714285714285,0.5068147931108863,0.0,39.17098045349121,-77.2422981262207
dqcncf4c,dqcncf,0.550530159528767,0.0,0.0,1.0,0.1569215468383851,0.0,39.16651725769043,-77.26289749145508
dqcnf6cj,dqcnf6,0.5517897904986083,0.6807707759869752,0.25,0.5714285714285714,0.3092877168942832,0.0,39.17132377624512,-77.24332809448242
dqcncfq5,dqcncf,0.535186629632799,0.09213024246342146,0.0,0.8571428571428571,0.25981663774170727,0.0,39.16823387145996,-77.2584342956543
dqcne4gy,dqcne4,0.4701312823423306,0.520133587474823,0.0,0.5714285714285714,0.5309184310885625,0.25,39.12755012512207,-77.20659255981445
dqcng06w,dqcng0,0.4565467969513185,0.011421956411913254,0.0,0.14285714285714285,0.5178047307557522,0.0,39.15776252746582,-77.20830917358398
dqcnf3uz,dqcnf3,0.6869453792952128,0.7119946574169119,0.25,1.0,0.306024244603838,0.0,39.16617393493652,-77.23817825317383
dqcnc6tb,dqcnc6,0.5362903131984398,0.4141415158967133,0.0,0.7142857142857143,0.5071318950917807,1.0,39.16909217834473,-77.2807502746582
dqcnc7bc,dqcnc7,0.6734795494757908,0.5235008325214873,0.0,0.14285714285714285,0.854468552829887,1.0,39.176130294799805,-77.28761672973633
dqcp1z6r,dqcp1z,0.30927475849119646,0.03967474060391651,0.75,0.42857142857142855,0.8584376290329164,0.0,39.24033164978027,-77.26358413696289
dqcncdq7,dqcncd,0.48298758055121843,0.0,0.0,0.14285714285714285,0.6147397773068999,0.5,39.16823387145996,-77.26907730102539
dqcp1ys8,dqcp1y,0.36160344798382027,0.4680046558823294,0.5,0.14285714285714285,0.16439085964662675,0.5,39.23501014709473,-77.26049423217773
dqcp4kgx,dqcp4k,0.5757188509648353,0.24393875302564408,0.5,1.0,0.19568716156824706,1.0,39.22659873962402,-77.23989486694336
dqcnc78q,dqcnc7,0.812263000476142,0.4215951050560385,0.0,1.0,0.7559832911296637,0.0,39.175615310668945,-77.28830337524414
