"Record Number","Address","Description","Status","Related Records","Submittal Type",
"ROF2023-20676","4205 27TH ST SW, LEHIGH ACRES FL 33976","RE-ROOF SHINGLES HURRICANE DAMAGE","Closed-CC Issued","0","ePlan",
"ROF2023-20675","2401 VALPARAISO BLVD, NORTH FORT MYERS FL 33917","RE-ROOFING CONRETE TILE TO CONCRETE TILE","Permit Expired","0","ePlan",
"ELE2023-03571","1913 HOWE CT, NORTH FORT MYERS FL 33903","Replace meter base , due to damage from a fallen tree","Closed-CC Issued","0","ePlan",
"FNC2023-02369","9160 KING RD E, FORT MYERS FL 33967","6FT SOLID BLACK METAL FENCE WITH GATES.","Closed-CC Issued","0","ePlan",
"ROF2023-20674","4000 14TH ST W, LEHIGH ACRES FL 33971","re roof shingle to shingle","Closed-CC Issued","0","ePlan",
"MRV2023-00480","17920 EGLANTINE LN, FORT MYERS BEACH FL 33931","NEW MOBILE HOME REPLACEMENT26'8X58   2024","Permit Issued","2","ePlan",
"ROF2023-20673","9920 ALMETTA AVE, FORT MYERS FL 33919","Remove hurricane-damaged shingles and underlayment. Re-nail decking to code. Install self-adhered flashing and underlayment. Install shingles to manufactures specifications.","Closed-CC Issued","0","ePlan",
"ROF2023-20672","2147 LAKEVILLE DR, NORTH FORT MYERS FL 33917","Remove asphalt laminated shingles , full tear off, and replace with asphalt laminated shingles, remove & replace SA Base and cap sheep over attached rear lanai","Closed-CC Issued","0","ePlan",
"ELE2023-03570","4040 LOOMIS AVE, BOCA GRANDE FL 33921","Rewire existing boat lift","Closed-CC Issued","0","ePlan",
"ROF2023-20671","187 LAS PALMAS BLVD, NORTH FORT MYERS FL 33903","Remove and Replace shingle roof *Inspections Done By Private Provider – Sands Engineering, LLC*","Closed-CC Issued","0","ePlan",
"POL2023-00888","2491 GAIL HELEN CT, NORTH FORT MYERS FL 33917","Installing a 15ft round pool above ground","Permit Expired","0","ePlan",
"ROF2023-20670","3123 25TH ST SW, LEHIGH ACRES FL 33976","remove shingles and place new shingles","Closed-CC Issued","0","ePlan",
"ROF2023-20669","7209 HENDRY CREEK DR, FORT MYERS FL 33908","ReRoof following hurricane damage.  shingle and underlayment tear off and replace with 5v metal.","Closed-CC Issued","0","ePlan",
"ROF2023-20668","3004 3RD ST W, LEHIGH ACRES FL 33971","remove shingles and replace with new shingles","Closed-CC Issued","0","ePlan",
"MRV2023-00479","15243 SUSAN KAY LN, BOKEELIA FL 33922","Hurricane Ian Replacement Installation of Singlewide","Closed-CO Issued","1","ePlan",
"ROF2023-20667","3014 3RD ST W, LEHIGH ACRES FL 33971","remove and replace shingles","Closed-CC Issued","0","ePlan",
"MRV2023-00478","3388 FIFTH AVE, SAINT JAMES CITY FL 33956","Hurricane Ian Replacement Installation of Singlewide3388 fifth ave, lot 1sjc, fl shangri-la mobile home park","Closed-CC Issued","1","ePlan",
"ELE2023-03569","16220 CATHY CT, FORT MYERS FL 33908","Replacement of meter can and disconnect to property, install 2 new ground rods and communications grounding block","Closed-CC Issued","0","ePlan",
"FNC2023-02368","3209 7TH ST SW, LEHIGH ACRES FL 33976","build a private fence","Ready-Documents Required","0","ePlan",
"FNC2023-02367","839 HARNES AVE S, LEHIGH ACRES FL 33974","5ft chain link fence with gates","Permit Expired","0","ePlan",
"MRV2023-00477","11731 OAKDALE DR, FORT MYERS FL 33908","HURRICANE IAN REPLACEMENT INSTALLATION OF DW","Closed-CO Issued","1","ePlan",
"MEC2023-06009","2125 UNITY AVE, FORT MYERS FL 33901","Change out like for like split system HVAC 15.5 Seer, 2.50 Ton, 7 K/W","Closed-Withdrawn","0","ePlan",
"ROF2023-20666","16200 DURHAM AVE, FORT MYERS FL 33908","shingle roof replacement","Permit Expired","0","ePlan",
"RES2023-11092","20251 LANI LN, NORTH FORT MYERS FL 33917","Ag Use Barn","Permit Issued","1","ePlan",
"SOL2023-01101","7744 MCDANIEL DR, NORTH FORT MYERS FL 33917","Installation of 19 ground mounted pv solar panels with load side tap.","Closed-CC Issued","1","ePlan",
"ELE2023-03568","20430 WELBORN RD, NORTH FORT MYERS FL 33917","Good Vibrations Electric proposes to complete a Service Panel change for Customer. A 200 Amp Challenger panel will be removed and replaced with a 200 Amp Square D HomeLine Panel. The utility company is LCEC, and provides the customer with a permanent underground service to the utility meter. The existing Service Panel is located in the garage. The location of Service Panel WILL-NOT change.","Closed-CC Issued","0","ePlan",
