"Record Number","Address","Description","Status","Related Records","Submittal Type",
"TMP2023-00237","55 EMILY LN, FORT MYERS BEACH FL 33931","ELECTRICAL SERVICE REPAIRSFPL SAFETY CHECK","Closed-Withdrawn","0","ePlan",
"ROF2023-03798","16295 DAVIS RD, LOT 79, FORT MYERS FL 33908","Re-roof","Closed-Withdrawn","0","ePlan",
"ROF2023-03989","1119 CABRILLO AVE, LEHIGH ACRES FL 33971","Replace Roof: Remove existing roof to original decking, re-nail decking to code, replace with shingles","Closed-CC Issued","0","ePlan",
"ROF2023-03988","4951 ORANGE GROVE BLVD, NORTH FORT MYERS FL 33903","reroof modified roof","Permit Expired","0","ePlan",
"ROF2023-03987","7638 GRANDE PINE RD, BOKEELIA FL 33922","Re-roof shingle to metal","Closed-CC Issued","0","ePlan",
"PLU2023-00104","649 COQUINA CT, FORT MYERS FL 33908","Install shower pan, water heater, stackable washer/dryer, lav, and kitchen sink*Inspections Done By Private Provider – eAtlantic Engineering*","Closed-CC Issued","0","ePlan",
"OPN2023-00643","9321 WATER LILY CT, 702, FORT MYERS FL 33919","REPLACE 6 WINDOWS WITH IMPACT","Closed-CC Issued","0","ePlan",
"RES2023-01641","3901 11TH ST SW, LEHIGH ACRES FL 33976","New construction Single Family Home","Closed-Voided","0","ePlan",
"ROF2023-03986","559 WINNING WAY, NORTH FORT MYERS FL 33917","Reroof the metal roof *Inspections Done By Private Provider – ECS Florida, LLC*","Closed-CC Issued","0","ePlan",
"RES2023-01640","4009 32ND ST SW, LEHIGH ACRES FL 33976","Outdoor recreational patio made with with wooden post and tin roof. Made for the purpose of spending time outdoors with family under some shade. Also Constructed a cover made of wooden post and tin roof for protection of water system and AC unit.","Waiting on Applicant","0","ePlan",
"RES2023-01639","2709 7TH ST SW, LEHIGH ACRES FL 33976","12x40 shed with lap siding","Closed-CC Issued","0","ePlan",
"ROF2023-03985","1830 FLAGLER AVE, LEHIGH ACRES FL 33936","RE ROOF SHINGLE ROOF AND REPLACE WITH NEW SHINGLE ROOF. 33.70 SQ","Closed-CC Issued","0","ePlan",
"OPN2023-00642","1506 EDGEWATER CIR, 5D, FORT MYERS FL 33919","Replace 13 windows size for size","Permit Expired","0","ePlan",
"ROF2023-03984","1011 CEDARTREE AVE, LEHIGH ACRES FL 33971","SHINGLES","Closed-Voided","0","ePlan",
"ROF2023-03983","4109 11TH ST SW, LEHIGH ACRES FL 33976","Shingle  Re-Roof","Closed-CC Issued","0","ePlan",
"SOL2023-00109","8328 BUENA VISTA RD, FORT MYERS FL 33967","ROOF MOUNTED SOLAR SYSTEM.","Closed-Withdrawn","0","ePlan",
"ROF2023-03982","201 NICKLAUS BLVD, NORTH FORT MYERS FL 33903","Remove/Replace 15 sq metal panels","Closed-CC Issued","0","ePlan",
"ROF2023-03981","1442 DAVIS DR, FORT MYERS FL 33919","re-roof 24 squares of shingles and 35 squares of flat roof2 layers coming off.","Closed-CC Issued","0","ePlan",
"ROF2023-03980","3611 LONG IRON CT, NORTH FORT MYERS FL 33917","Shingle re-roofTear off existing roof, install self-adhered underlayment, install architectural shingles to code","Closed-CC Issued","0","ePlan",
"RES2023-01638","11946 ROYAL TEE CIR, CAPE CORAL FL 33991","Replace screen enclosure due to hurricane Ian","Closed-CO Issued","1","ePlan",
"ROF2023-03979","3615 3RD ST W, LEHIGH ACRES FL 33971","REPLACE SHINGLE ON HOUSE","Closed-CC Issued","0","ePlan",
"ROF2023-03978","2997 RAIN DANCE LN, NORTH FORT MYERS FL 33917","Metal reroofTear off existing roof, install self-adhered underlayment, install 1 in snap lock metal panels to code.","Closed-CC Issued","0","ePlan",
"ROF2023-03977","59 SANDPIPER CT, CAPTIVA FL 33924","25 squares of metal roofing installed","Closed-Voided","0","ePlan",
"FNC2023-00265","1415 GREENWOOD AVE, LEHIGH ACRES FL 33972","4ft chain link fence","Closed-CC Issued","0","ePlan",
"ROF2023-03976","3013 LONGVIEW LN, NORTH FORT MYERS FL 33917","Shingle reroofTear off existing roof, install self-adhered underlayment, install architectural shingles as per code","Permit Expired","0","ePlan",
"RES2023-01637","18110 DORAL DR, FORT MYERS FL 33967","replace the roof","Closed-Withdrawn","0","ePlan",
"ROF2023-03975","2774 TEAKWOOD DR, NORTH FORT MYERS FL 33917","Metal reroofTear off existing roof, install self-adhered underlayment, install 1 in snap lock metal panels as per code","Closed-Withdrawn","0","ePlan",
"MEC2023-00842","10683 TULIPTREE CT, LEHIGH ACRES FL 33936","Ac change out, like for like.","Permit Expired","0","ePlan",
"ROF2023-03974","17275 WALNUT RUN DR, ALVA FL 33920","re-roof tile to tile","Closed-CC Issued","0","ePlan",
"POL2023-00109","13140 BIRD RD, FORT MYERS FL 33905","New in-ground swimming pool","Closed-CC Issued","1","ePlan",
"OPN2023-00641","8677 BANYAN BAY BLVD, FORT MYERS FL 33908","Replace 3 doors size for size with impact","Closed-CC Issued","0","ePlan",
"RES2023-01636","749 GRANT BLVD, LEHIGH ACRES FL 33974","Single Family Residene","Closed-CO Issued","3","ePlan",
"MEC2023-00841","4812 GOLFVIEW BLVD, FORT MYERS FL 33973","HVAC change out","Closed-CC Issued","0","ePlan",
"SGN2023-00054","8941 COLLEGE PKWY, FORT MYERS FL 33919","Replace existing EMC and sign cabinets using existing electric.","Closed-CC Issued","0","ePlan",
"MEC2023-00840","4810 GOLFVIEW BLVD, LEHIGH ACRES FL 33973","HVAC change out","Closed-CC Issued","0","ePlan",
"ROF2023-03973","7208 VASSAR DR, FORT MYERS FL 33908","Remove and Replace Shingle Roof","Closed-Withdrawn","0","ePlan",
"MEC2023-00839","18238 CREEKSIDE PRESERVE  LOOP, 101, FORT MYERS FL 33908","AC REPLACEMENT LIKE FOR LIKE","Closed-CC Issued","0","ePlan",
"FIR2023-00217","16911 GATOR RD, FORT MYERS FL 33912","On an emergency basis we replaced the existing Fire Alarm Control Panel with a “Like for Like” Fire Alarm Control Panel and installed an LTE Communicator to monitor the existing Fire Alarm System.","Closed-CC Issued","0","ePlan",
"ELE2023-00699","8366 TRILLIUM RD, FORT MYERS FL 33967","Electrical Repair- Replace 2"" Riser, Weather head, Wire, and Misc. Materials","Closed-CC Issued","0","ePlan",
"MEC2023-00838","769 CHELSEA AVE S, LEHIGH ACRES FL 33974","LIKE FOR LIKE REPLACEMENT 5 TON 13 SEER SPLIT SYSTEM","Closed-CC Issued","0","ePlan",
"ROF2023-03972","5664 EICHEN CIR E, FORT MYERS FL 33919","Install metal roof system over existing shingles. **REVISION-Changing NOA to 21-0629.10***","Closed-CC Issued","1","ePlan",
