"Record Number","Address","Description","Status","Related Records","Submittal Type",
"DOC2023-00026",,"RECORD USED FOR BATCH SCRIPT PROCESSING / CLEAN UP OF RECORD DATA VIA CSV FILES","Closed-Voided","0","Paper Submittal",
"ROF2023-22095","3218 7TH ST SW, LEHIGH ACRES FL 33976","Reroof shingle to shingle","Closed-CC Issued","0","ePlan",
"ROF2023-22094","20706 MYSTIC WAY, NORTH FORT MYERS FL 33917","RE-ROOFING CONCRETE TILE TO CONCRETE TILE","Permit Expired","0","ePlan",
"MEC2023-06795","420 KEENAN AVE, FORT MYERS FL 33919","2 air conditioning change out / like for like *Inspections Done By Private Provider – Universal Engineering*","Permit Expired","0","ePlan",
"RES2023-12468","513 WELLS AVE, LEHIGH ACRES FL 33972","Single family construction.","Permit Expired","2","ePlan",
"FNC2023-02685","2200 E 14TH ST, LEHIGH ACRES FL 33972","672' of 4' CL w/ no gates","Closed-CC Issued","0","ePlan",
"PLU2023-00719","14261 S TAMIAMI TRL, 10, FORT MYERS FL 33912","hook up water and drain for espresso machine, ice machine, cup wash station, coffee maker , hand sink, dump bins. pipe all drains to floor sinks. install hammer / shock arrestors where needed.","Closed-CC Issued","0","ePlan",
"ROF2023-22093","304 COOLIDGE AVE, LEHIGH ACRES FL 33936","RE-ROOF-FLAT ROOF","Waiting on Applicant","0","ePlan",
"OCC2023-00564","16880 MCGREGOR BLVD, 102, FORT MYERS FL 33908","Physical Therapy and Massage Therapy Clinic will be occupying 2 rooms in the unit.","Permit Expired","0",,
"ROF2023-22087","3632 JADE AVE, SAINT JAMES CITY FL 33956","RE/ROOF ASHPHALT SHINGLES","Closed-CC Issued","0","ePlan",
"ELE2023-04012","13933 SOPHOMORE LN, FORT MYERS FL 33912","Network cabling for phone, computer and cameras","Closed-CC Issued","2","ePlan",
"MRV2023-00555","57 STURBRIDGE LN, FORT MYERS FL 33908","Hurricane Ian Replacement Installation of Doublewide","Waiting on Applicant","1","ePlan",
"OPN2023-03143-R01","7380 TWIN EAGLE LN, FORT MYERS FL 33912","Add 14 openings using14604.5, add 2 openings using 17162.1, Add 1 opening using 22363.2, Add 1 opening using 17379.3","Closed-Revision Approved","1","ePlan",
"OPN2023-03108-R01","15789 MISSOURI ST, BOKEELIA FL 33922","Add 8 windows using 16412.3","Closed-Revision Approved","1","ePlan",
"OPN2023-02963-R01","8614 MANDERSTON CT, FORT MYERS FL 33912","Add 7 openings using 16412.3","Closed-Revision Approved","1","ePlan",
"FNC2023-02684","2801 41ST ST W, LEHIGH ACRES FL 33971","6' white vinyl fence with gates","Closed-CC Issued","0","ePlan",
"OPN2023-02849-R01","8440 REDWOOD DR, SAINT JAMES CITY FL 33956","Add 10 openings using 16412.3, Add 2 openings using 14608.3","Closed-Revision Approved","1","ePlan",
"ROF2023-22086","630 HOBART AVE S, LEHIGH ACRES FL 33974","Re-Roof/ Remove & Replace 18 sq ft of existing shingle roof. Install new underlayment, dripedges and shingles.","Closed-CC Issued","0","ePlan",
"FIR2023-01984","2009 HAMILTON AVE, ALVA FL 33920","Install 250 gallon LP tank buried with tie downs and anode, 70' underground gas line from tank to house inlet and portable generator location, install regulators, 1-quick connect hose assembly for generator, line through cabinets for range and final connections","Closed-CC Issued","0","ePlan",
"TMP2023-01060","8051 COLLEGE PKWY, FORT MYERS FL 33919","Run/Walk race that will be 3.1miles. There will be a ceremony at the start of the race that will last about 15 minutes. Refreshment will be provided after the race for the participants, volunteers & spectators. On September 9, 2023 from 6:30AM until 11:30AM","Permit Expired","0","Paper Submittal",
"OPN2023-02802-R01","8795 LATEEN LN, 102, FORT MYERS FL 33919","Remove 2 openings impact panels and add 1 SGD using 14605","Closed-Revision Approved","1","ePlan",
"RES2023-12467","18220 PARKRIDGE CT, FORT MYERS FL 33908","Replacement Screen Enclosure","Closed-CC Issued","0","ePlan",
"OPN2023-02787-R01","9530 BLUE STONE CIR, FORT MYERS FL 33913","Add 2 openings using 16412.3, Add 1 opening using 14608.3","Closed-Revision Approved","1","ePlan",
"ROF2023-22085","2691 PACKINGHOUSE RD, ALVA FL 33920","T/O Old roof, Re-nail to code. Install SA High-Temp underlayment. Install new drip edge/flashings. Install Rib Panel metal to deck per manufactures recommendation's/approvals","Closed-CC Issued","0","ePlan",
"ROF2023-22084","4325 7TH ST W, LEHIGH ACRES FL 33971","RE-ROOF SHINGLES HURRICANE DAMAGE","Closed-CC Issued","0","ePlan",
"COP2023-00337","19048 CORKSCREW RD, ESTERO FL 33928","Approved 3PS sign off for Publix liquor store #1826","Closed-Completed","0","Paper Submittal",
"OPN2023-02776-R01","12082 MOON SHELL DR, MATLACHA ISLES FL 33991","Add 6 openings using FL16412.3, 2 openings using 16804.5, 1 opening using 16804.5, 1 opening using 14609.5, 2 SGD using 14605","Closed-Revision Approved","1","ePlan",
"OPN2023-02757-R01","11460 OLD LODGE LN, CAPTIVA FL 33924","Add 4 openings using FL16804.3, Add 5 openings using 16412.3, Add 4 openings using 14608.3, Add 1 sgd using FL27113.12, Add 3 sidelights FL20468.9","Closed-Revision Approved","1","ePlan",
"OPN2023-02724-R01","15230 CANONGATE DR, FORT MYERS FL 33912","16 windows using FL14604.5 and 2 openings using FL17162.1","Closed-Revision Approved","1","ePlan",
"DEM2023-03258","19001 SAN CARLOS BLVD, FORT MYERS BEACH FL 33931","Complete demolition of all structures including parking lot.","Closed-CC Issued","0","ePlan",
"OPN2023-02612-R01","16106 EDGEMONT DR, FORT MYERS FL 33908","Add 1 SGD FL27113.12","Closed-Revision Approved","1","ePlan",
"DEM2023-03257","5529 SIR WALTER WAY, NORTH FORT MYERS FL 33917","hurricane ian demo","Closed-CC Issued","0","ePlan",
"MEC2023-06794","100 BIG PINE LN, PUNTA GORDA FL 33955","AC REPLACEMENT LIKE FOR LIKE (SPLIT SYSTEM)","Closed-CC Issued","0","ePlan",
"OPN2023-02505-R01","14111 BRANT POINT CIR, 2204, FORT MYERS FL 33919","Add 3 openings with FL16412.3","Closed-Revision Approved","1","ePlan",
"RES2023-12466","180 OAKLEY AVE, NORTH FORT MYERS FL 33903","Set and anchor to ground an 8x6 DCA Shed for storage.","Closed-CO Issued","0","ePlan",
"RES2023-07180-R01","2619 26TH ST SW, LEHIGH ACRES FL 33976","Septic site plan corrected","Closed-Revision Approved","3","ePlan",
"COM2023-02489","505 GUNNERY RD N, LEHIGH ACRES FL 33971","Fitout - Varsity Crossing Retail","Closed-CO Issued","11","ePlan",
"RES2023-12465","8346 PENNY DR, NORTH FORT MYERS FL 33917","Residential culvert installation","Closed-Voided","0","ePlan",
"RES2023-12464","19133 ACORN RD, FORT MYERS FL 33967","Install and anchor to ground a 10x12DCA shed","Closed-CO Issued","0","ePlan",
"RES2023-12463","663 LADD ST, LEHIGH ACRES FL 33974","New single family home","Ready-Documents Required","1","ePlan",
"RES2023-04043-R01","17030 CAPTIVA DR, CAPTIVA FL 33924","Rebuild upper level of back porch","Closed-Revision Approved","2","ePlan",
"ROF2023-22083","12935 STONE TOWER LOOP, FORT MYERS FL 33913","Reroofing of property, SFR, tile to tile","Closed-CC Issued","0","ePlan",
"RESMSTR2023-00098",,"Construction of New Single Family Residence","Closed-Withdrawn","0","ePlan",
"COM2022-01910-R01","16710 PARTRIDGE PLACE RD, 103, FORT MYERS FL 33908","REMOVE THE HVAC. NO HVAC WORK WAS DONE","Closed-Revision Approved","1","Paper Submittal",
"MRV2023-00554","2881 BINNACLE LN, SAINT JAMES CITY FL 33956","HURRICANE REPLACEMENT  INSTALL & SET  UP NEW MOB ILE HOME","Closed-CO Issued","1","ePlan",
"RES2023-12462","18262 PARKSVILLE DR, ESTERO FL 33928","Single Family Residence","Closed-CO Issued","584","ePlan",
"ROF2023-22082","8494 JENNY CAE LN, NORTH FORT MYERS FL 33903","REROOF","Closed-CC Issued","0","ePlan",
"MEC2023-06793","102 BIG PINE LN, PUNTA GORDA FL 33955","AC REPLACEMENT LIKE FOR LIKE (SPLIT SYSTEM)","Closed-CC Issued","0","ePlan",
"ROF2023-22081","15741 QUEENSFERRY DR, FORT MYERS FL 33912","Remove and Replace Tile Roof","Closed-CC Issued","0","ePlan",
"OPN2023-04616","1105 HIGHLAND AVE, LEHIGH ACRES FL 33972","REPLACING 1 WINODW W/IMPACT SIZE FOR SIZE","Closed-CC Issued","0","ePlan",
