"Record Number","Address","Description","Status","Related Records","Submittal Type",
"ROF2023-19120","7554 LAUREL VALLEY RD, FORT MYERS FL 33967","EVO. Re-roof shingle to shingle","Closed-CC Issued","0","ePlan",
"RES2023-09940","3228 58TH ST W, LEHIGH ACRES FL 33971","To construct a new single family home","Closed-CO Issued","2","ePlan",
"RES2023-09939","3226 58TH ST W, LEHIGH ACRES FL 33971","To Construct a new single family home","Closed-CO Issued","2","ePlan",
"MEC2023-05174","12256 STAR SHELL DR, MATLACHA ISLES FL 33991","replace system with new","Closed-CC Issued","0","ePlan",
"MEC2023-05173","9100 SOUTHMONT CV, 109, FORT MYERS FL 33908","REPLACE AC SYSTEM","Closed-CC Issued","0","ePlan",
"RES2023-09938","3224 58TH ST W, LEHIGH ACRES FL 33971","To construct a new single family house","Closed-CO Issued","2","ePlan",
"MEC2023-05172","3962 BLENHEIM ST, FORT MYERS FL 33919","REPLACE AC SYSTEM","Closed-CC Issued","0","ePlan",
"RES2023-09937","404 W 15TH ST, LEHIGH ACRES FL 33972","404 W 15TH ST - NEW SINGLE FAMILY HOME","Permit Issued","1","ePlan",
"ROF2023-19119","3041 RUSTIC LN, NORTH FORT MYERS FL 33917","RE-ROOF. TEAR OFF EXISTING ROOF & REPLACE with NEW SHINGLE ROOF.","Closed-CC Issued","0","ePlan",
"OPN2023-03560","4643 FAIRLOOP RUN, LEHIGH ACRES FL 33973","Installing 5 Standard Alum RD MOT *Inspections Done By Private Provider – Innovative Construction Inspection, Inc*","Closed-CC Issued","0","ePlan",
"RES2023-09936","3400 E 14TH ST, LEHIGH ACRES FL 33972","3400 E 14TH ST - NEW SINGLE FAMILY HOME","Permit Issued","2","ePlan",
"FIR2023-01517","1500 Monroe Street, Fort Myers FL 33901","TEST FOR ACCELA CLOUD MIGRATION","Closed-Voided","0","ePlan",
"FIR2023-01516","1500 Monroe Street, Fort Myers FL 33901","IVR Payments Test","Closed-Voided","0","ePlan",
"SOL2023-00939","1601 HAZEL AVE S, LEHIGH ACRES FL 33976","17.325kW PV Roof Mounted Solar - 45 panels, 45 microinverters. Line side tap interconnection.","Closed-CC Issued","0","ePlan",
"FIR2023-01515","1500 Monroe Street, Fort Myers FL 33901","test","Closed-Voided","0","ePlan",
"OPN2023-03559","8445 CHARTER CLUB CIR, 1, FORT MYERS FL 33919","Installing 2 Storm Catcher Rolldown Screens MOT *Inspections Done By Private Provider – Innovative Construction Inspection, Inc*","Closed-CC Issued","0","ePlan",
"RES2023-09935","17816 SUMMERLAND KEY CT, FORT MYERS FL 33908","SINGLE FAMILY RESIDENCE","Closed-CO Issued","67","ePlan",
"RES2023-09934","17804 SUMMERLAND KEY CT, FORT MYERS FL 33908","SINGLE FAMILY RESIDENCE","Closed-CO Issued","67","ePlan",
"RES2023-09933","1901 E 13TH ST, LEHIGH ACRES FL 33972","NEW SINGLE FAMILY HOME","Permit Issued","3","ePlan",
"ROF2023-19118","5667 EICHEN CIR E, FORT MYERS FL 33919","Re roof with asphalt shingles *Inspections Done By Private Provider – Innovative Construction Inspection, Inc*","Closed-CC Issued","0","ePlan",
"SGN2023-00373","12600 PALM BEACH BLVD, FORT MYERS FL 33905","Illuminated Channel Letters Side Elevation","Closed-CC Issued","0","ePlan",
"FIR2023-01514","15910 KNIGHTSBRIDGE CT, FORT MYERS FL 33908","Remove existing 250 gal u/g tank. Replace w/ 500 gal u/g tank. Run u/g gas line to customer provided generator.","Permit Expired","1","ePlan",
"ROF2023-19117","422 HORIZON DR, NORTH FORT MYERS FL 33903","REROOF MOBILE HOME AND ADDITION WITH SINGLE PLY MEMBRANE.1680sf","Closed-CC Issued","0","ePlan",
"FIR2023-01513","1500 Monroe Street, Fort Myers FL 33901","Phase 1","In Review","0","ePlan",
"RES2023-09932","1000 WABASH CT, NORTH FORT MYERS FL 33917","Replace the carport destroyed by Hurricane Ian","Closed-CC Issued","0","Paper Submittal",
"ROF2023-19116","19 SUNSET CIR, NORTH FORT MYERS FL 33903","REROOF MOBILE HOME AND ADDITIONS WITH SINGLE PLY MEMBRANE.2072sf","Closed-CC Issued","0","ePlan",
"RES2023-09931","1407 OAK AVE, LEHIGH ACRES FL 33972","30x25 garage with 12x25 lean too. Lap Siding","Closed-CO Issued","0","ePlan",
"SGN2023-00372","12600 PALM BEACH BLVD, FORT MYERS FL 33905","Illuminated Wall Sign Front Elevation","Closed-CC Issued","0","ePlan",
"RES2023-09930","2904 23RD ST SW, LEHIGH ACRES FL 33976","New single family residence","Closed-CO Issued","1","ePlan",
"RES2023-09929","17829 SUMMERLAND KEY CT, FORT MYERS FL 33908","SINGLE FAMILY RESIDENCE","Closed-CO Issued","67","ePlan",
"MEC2023-05171","770 VIA DEL SOL, NORTH FORT MYERS FL 33903","INSTALL 4 TON PKG 10 KW 13.4 LENNOX","Closed-CC Issued","0","ePlan",
"RES2023-09928","19655 PANDORA CIR, NORTH FORT MYERS FL 33903","HURRICANE IAN - CARPORT REPLACEMENT","Closed-CC Issued","0","Paper Submittal",
"OPN2023-03558","8817 STOCKBRIDGE DR, FORT MYERS FL 33908","Installing 2 Storm Catcher Rolldown Screens MOT *Inspections Done By Private Provider – Innovative Construction Inspection, Inc*","Closed-CC Issued","0","ePlan",
"MEC2023-05170","6102 AUGUSTA DR, 303, FORT MYERS FL 33907","AC Chane Out like for like","Closed-CC Issued","0","ePlan",
"MEC2023-05169","17130 CALOOSA TRACE CIR, FORT MYERS FL 33967","Replace old system with a new 3 ton 15 seer split system","Closed-CC Issued","0","ePlan",
"OPN2023-03557","1792 AUGUSTA DR, 201, FORT MYERS FL 33907","Remove & Replace Size for Size 8 Windows in 2 Openings with Impact Product","Closed-CC Issued","0","ePlan",
"FIR2023-01512","17534 WELLS RD, NORTH FORT MYERS FL 33917","- (1) 500 gallon propane tank with Cathodic Protection- 1 Set of regulators (1st and 2nd Stage)- 1 Shut off valve- Gas connection to generator- 35' of 3/4"" LP Poly Line from tank to generator.","Closed-CC Issued","1","ePlan",
"ROF2023-19115","816 CHAPEL AVE, LEHIGH ACRES FL 33971","tear off and replace asphalt shingle roof *Inspections Done By Private Provider – Inspected.com*","Closed-CC Issued","0","ePlan",
"ELE2023-03196","17534 WELLS RD, NORTH FORT MYERS FL 33917","200 AMP Automatic Transfer Switch, and Modules to Control Loads","Closed-CC Issued","1","ePlan",
