Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date
RE-ROOF SHINGLES HURRICANE DAMAGE,Closed-CC Issued,0,ePlan,,-81.707690615869,26.587701847114,2023-07-01
RE-ROOFING CONRETE TILE TO CONCRETE TILE,Permit Expired,0,ePlan,,-81.917061387443,26.769627249803,2023-07-01
"Replace meter base , due to damage from a fallen tree",Closed-CC Issued,0,ePlan,,-81.916197352713,26.646282837389,2023-07-01
6FT SOLID BLACK METAL FENCE WITH GATES.,Closed-CC Issued,0,ePlan,,-81.799319045359,26.457591337729,2023-07-01
re roof shingle to shingle,Closed-CC Issued,0,ePlan,,-81.70400522324,26.625922182858,2023-07-01
NEW MOBILE HOME REPLACEMENT26'8X58   2024,Permit Issued,2,ePlan,,-81.939129346891,26.481059233475,2023-07-01
Remove hurricane-damaged shingles and underlayment. Re-nail decking to code. Install self-adhered flashing and underlayment. Install shingles to manufactures specifications.,Closed-CC Issued,0,ePlan,,-81.918823371005,26.537473084126,2023-07-01
"Remove asphalt laminated shingles , full tear off, and replace with asphalt laminated shingles, remove & replace SA Base and cap sheep over attached rear lanai",Closed-CC Issued,0,ePlan,,-81.922050575144,26.760904400573,2023-07-01
Rewire existing boat lift,Closed-CC Issued,0,ePlan,,,,2023-07-01
"Remove and Replace shingle roof *Inspections Done By Private Provider â Sands Engineering, LLC*",Closed-CC Issued,0,ePlan,,-81.91052484285,26.727911904531,2023-07-01
Installing a 15ft round pool above ground,Permit Expired,0,ePlan,,-81.859844024432,26.699245414376,2023-07-01
remove shingles and place new shingles,Closed-CC Issued,0,ePlan,,-81.679475056704,26.590165835621,2023-07-01
ReRoof following hurricane damage.  shingle and underlayment tear off and replace with 5v metal.,Closed-CC Issued,0,ePlan,,-81.874435627346,26.516726294074,2023-07-01
remove shingles and replace with new shingles,Closed-CC Issued,0,ePlan,,-81.675868617435,26.615498353433,2023-07-01
Hurricane Ian Replacement Installation of Singlewide,Closed-CO Issued,1,ePlan,,-82.153041849581,26.683335833702,2023-07-01
remove and replace shingles,Closed-CC Issued,0,ePlan,,-81.676130598036,26.615495138953,2023-07-01
"Hurricane Ian Replacement Installation of Singlewide3388 fifth ave, lot 1sjc, fl shangri-la mobile home park",Closed-CC Issued,1,ePlan,,,,2023-07-01
"Replacement of meter can and disconnect to property, install 2 new ground rods and communications grounding block",Closed-CC Issued,0,ePlan,,-81.938051719566,26.50574585509,2023-07-01
build a private fence,Ready-Documents Required,0,ePlan,,-81.681688561238,26.606735921999,2023-07-01
