"Record Number","Address","Description","Status","Related Records","Submittal Type",
"RES2022-08694","820 RICHMOND AVE N, LEHIGH ACRES FL 33972","New Construction","Closed-Voided","0","ePlan",
"FNC2022-02623","2510 56TH ST W, LEHIGH ACRES FL 33971","296' of 4' CL w/ one 12' double drive gate.","Closed-CC Issued","0","ePlan",
"FNC2022-02622","913 FIFTH AVE, LEHIGH ACRES FL 33972","338' of 6' CL w three gate openings.","Closed-CC Issued","0","ePlan",
"FNC2022-02621","3317 6TH ST SW, LEHIGH ACRES FL 33976","220' of 6' wood privacy w/ one 60"" walk gate.","Closed-CC Issued","0","ePlan",
"MEC2022-06029","14020 EAGLE RIDGE LAKES DR, 102, FORT MYERS FL 33912","Replace AC system like for like","Closed-CC Issued","0","ePlan",
"ROF2022-06587","834 OAKRIDGE AVE S, LEHIGH ACRES FL 33974","RE-ROOFING SHINGLES TO SHINGLES","Permit Expired","0","ePlan",
"SGN2022-00467","11181 KELLY RD, FORT MYERS FL 33908","Install 1 non-illuminated wall sign","Closed-CC Issued","0","ePlan",
"RES2022-08693","17910 LEETANA RD, NORTH FORT MYERS FL 33917","Build steel building for storage with concrete slab","Closed-Withdrawn","0","ePlan",
"RES2022-08692","2800 38TH ST W, LEHIGH ACRES FL 33971","NEW CONSTRUCTION - SINGLE FAMILY RESIDENCE","Closed-CO Issued","3","ePlan",
"FNC2022-02620","6028 JESSICA ST, FORT MYERS FL 33905","Installation of 6' White Vinyl Privacy fence with 1 gate","Closed-CC Issued","0","ePlan",
"RES2022-08691","6144 STRATTON RD, FORT MYERS FL 33905","Enclosure existing lanai covered, Install 2 windows and 2 doors","Closed-Voided","0","ePlan",
"ROF2022-06586","2809 68TH ST W, LEHIGH ACRES FL 33971","Tear off and reroof with shingles.","Closed-CC Issued","0","ePlan",
"FNC2022-02619","3923 CHERRY LN, SAINT JAMES CITY FL 33956","4' HIGH PVC OPEN PICKET FENCE WITH NO GATES.","Closed-CC Issued","0","ePlan",
"COM2022-01324","500 SUNSHINE BLVD N, LEHIGH ACRES FL 33971","Modify existing telecommunications euqipment--Excalibur (6FM1094B)","Closed-CC Issued","0","ePlan",
"SOL2022-01700","887 YOUNGREEN DR, FORT MYERS FL 33913","Roof Mounted Solar Panel Installation  w/service change","Closed-CC Issued","1","ePlan",
"FIR2022-01936","15878 SUMMERLIN RD, #300, FORT MYERS FL 33908","Installation of hood suppression system","Closed-CC Issued","5","ePlan",
"MEC2022-06028","5411 FOREST PARK DR, NORTH FORT MYERS FL 33917","INSTALL 4 TON 10 KW 14 SEER PKG REPLACEMENT","Closed-CC Issued","0","ePlan",
"ROF2022-06585","6751 MATT PLEDGER CT, NORTH FORT MYERS FL 33917","Reroof. Tear off existing shingles & replace with new.","Closed-CC Issued","0","ePlan",
"RES2022-08690","17326 GULF PRESERVE DR, FORT MYERS FL 33908","New Single Family Residence  *Inspections Done By Private Provider, Universal Engineering*","Closed-CO Issued","185","ePlan",
"SOL2022-01699","19833 FRENCHMANS CT, NORTH FORT MYERS FL 33903","INSTALLATION OF SOLAR PV SYSTEM TO ROOFTOP","Permit Expired","0","ePlan",
"SGN2022-00466","5050 BELL TOWER SHOPS AVE, FORT MYERS FL 33907","Installing ten (10) new awnings under building permit number COM2022-01323. Each awning will have a gold vinyl ""Jared"" logo on the valance.","Closed-Voided","1","ePlan",
"RES2021-04825-R01","19142 WILDBLUE BLVD, FORT MYERS FL 33913","***R01*** UPGRADE THE EQUIPMENT, SEER RATING, AND CAPACITY","Closed-Revision Approved","6","ePlan",
"RES2022-08689","5531 ANN ARBOR DR, BOKEELIA FL 33922","16' x 36' Open Carport","Waiting on Applicant","0","ePlan",
"ROF2022-06584","1277 SABAL GARDENS DR, NORTH FORT MYERS FL 33903","Reroof. Tear off existing shingle & replace with new.","Closed-CC Issued","0","ePlan",
"RES2022-08688","16203 LUNAR DR, FORT MYERS FL 33908","Re-Build  56 ft x 12 ft  Carport  destroyed in Tornado with new Code Compliant Panels","Closed-Withdrawn","0","ePlan",
"ELE2022-02686","8100 ARBOR CT, FORT MYERS FL 33908","Riser rated cat6 cabling & RG6 COAX cable","Closed-CC Issued","3","ePlan",
"ROF2022-06583","321 COLUMBUS AVE, LEHIGH ACRES FL 33936","Re Roof","Permit Expired","0","ePlan",
"RES2022-08687","2921 ANN AVE N, LEHIGH ACRES FL 33971","Carport","Closed-CO Issued","0","ePlan",
"PLU2022-00776","12030 WEDGE DR, FORT MYERS FL 33913","Replacement water distribution system w pex water piping","Closed-CC Issued","0","ePlan",
"ROF2022-06582","5236 27TH ST SW, LEHIGH ACRES FL 33973","Shingle Re-roof","Closed-CC Issued","0","ePlan",
"FNC2022-02618","17365 MISSOURI RD, FORT MYERS FL 33967","6'h of PVC fence with gates and 4' high chain link fence, color black.","Closed-CC Issued","0","ePlan",
"PLU2022-00775","16464 RAINBOW MEADOWS CT, FORT MYERS FL 33908","replacement  water distribution system w / pex water piping","Closed-CC Issued","0","ePlan",
"RES2022-08686","16367 GEMINI CT, FORT MYERS FL 33908","16' X 25' CARPORT WITH COMPOSITE ROOF","Closed-Withdrawn","0","ePlan",
"COM2022-01323","5050 BELL TOWER SHOPS AVE, FORT MYERS FL 33907","Install ten (10) new awnings for Jared","Closed-Voided","1","ePlan",
"RES2022-08685","9120 CHERRY HILL CT, FORT MYERS FL 33908","Golf Cart Garage Addition","Waiting on Applicant","0","ePlan",
"ROF2022-06581","17021 UPRIVER DR, NORTH FORT MYERS FL 33917","#235Reroof. Tear off existing shingles & replace with new.","Permit Expired","0","ePlan",
"OPN2022-03177","18788 MATANZAS RD, FORT MYERS FL 33967","REPLACE EXISTING 2 DOORS SIZE FOR SIZE","Closed-CC Issued","0","ePlan",
"ELE2022-02685","290 GULF BLVD, 20, BOCA GRANDE FL 33921","REplace meter base,upgrade grounding system and replace 150amp FPE W/P panel with aQO SquareD brand panel.","Permit Expired","0","ePlan",
"ROF2022-06580","1106 ROBERT AVE, LEHIGH ACRES FL 33936","Reroof. Tear off existing shingles & flat & replace with new.","Closed-CC Issued","0","ePlan",
"ROF2022-06579","121 COTILLION LN, NORTH FORT MYERS FL 33903","TPO ROOF-OVER MOBILE HOME FL12772.1 10SQ","Closed-CC Issued","0","ePlan",
"ELE2022-02684","52 ALAN AVE S, LEHIGH ACRES FL 33976","Install meter and NEMA 3R panel and circuit for RV hookup.","Closed-Withdrawn","0","ePlan",
"MEC2022-06027","2713 52ND ST W, LEHIGH ACRES FL 33971","AC CHANGE OUT 3 TON 14 SEER 8 KW RUUD SPLIT SYSTEM","Closed-CC Issued","0","ePlan",
"SOL2022-01698","16049 BEACHBERRY DR, NORTH FORT MYERS FL 33917","Installing pv solar panels","Closed-CC Issued","0","ePlan",
"MEC2022-06026","7119 LAKERIDGE VIEW CT, 101, FORT MYERS FL 33907","Air conditioning change out / like for like / 14 Seer 8 KW 3 Ton","Permit Expired","0","ePlan",
"RES2021-03190-R02","19054 WILDBLUE BLVD, FORT MYERS FL 33913","***R01*** UPGRADED THE EQUIPMENT, SEER RATING AND CAPACITY - INCOMPLETE","Closed-Voided","4","ePlan",
"ROF2022-06578","7425 DANA LIN CIR, NORTH FORT MYERS FL 33917","Tear off and reroof","Closed-CC Issued","0","ePlan",
"RES2021-03190-R01","19054 WILDBLUE BLVD, FORT MYERS FL 33913","Revision uploaded","Closed-Revision Approved","4","ePlan",
"POL2022-01273","20149 HARTFORD BLVD, ESTERO FL 33928","New construction pool spa.","Closed-CC Issued","1","ePlan",
"ELE2022-02683","290 GULF BLVD, 21, BOCA GRANDE FL 33921","replace meter base,upgrade grounding system,replacing 150amp FPE W/P feed thru panel with a QO brand panel.","Closed-Withdrawn","0","ePlan",
"POL2022-01272","13536 HIDEAWAY PRESERVE CT, FORT MYERS FL 33905","Pool Spa and Deck","Closed-CC Issued","7","ePlan",
"OPN2022-03176","8293 BOUNTY RD, FORT MYERS FL 33967","Remove and Replace size for size 3 windows w/impact","Closed-CC Issued","0","ePlan",
"ELE2022-02682","3066 BINNACLE LN, SAINT JAMES CITY FL 33956","150 amp panel change out","Permit Expired","0","ePlan",
"MEC2022-06025","5230 MANATEE BAY LN, FORT MYERS FL 33905","Replaced A/C @ Crystal Lakes- FM","Closed-CC Issued","0","ePlan",
"COM2021-00248-R02","2320 BRUNER LN, FORT MYERS FL 33912","**R02*** PLANS SHOW LOCAITONS OF 2 EXISTING OPENINGS IN CMU FIRE WALL - SHOW THE OPENINGS TO BE FILLED WITH NEW CMU INFILL WALL TO MAINTAIN FIRE WALL","Closed-Revision Approved","2","ePlan",
"DSH2022-00574","11924 ISLAND AVE, MATLACHA FL 33993","DOCK AND LIFT","Closed-CC Issued","0","ePlan",
"SOL2022-01697","2570 VALPARAISO BLVD, NORTH FORT MYERS FL 33917","Install 6.3 kw PV solar system roof mount","Closed-CC Issued","0","ePlan",
"ELE2022-02681","8181 CHATSWORTH CT, FORT MYERS FL 33912","Replace existing 200 amp panel inside home and install 40 amp 240 volt circuits for tankless water heater.","Closed-CC Issued","0","ePlan",
"COM2022-01322","15051 CASPIAN TERN CT, 101, NORTH FORT MYERS FL 33917","Kamta - Install new screen room","Closed-CO Issued","27","Paper Submittal",
"COM2020-01324-R01","7881 DREW CIR, FORT MYERS FL 33967","***R01***REVISION TO REFLECT CURRENT SITE CONDITIONS - CONSTRUCTION VALUE $1700.00","Closed-Revision Approved","2","ePlan",
"OPN2022-03175","1118 CLARK AVE, LEHIGH ACRES FL 33972","Installing 1 Mot Rd Screen*Inspections Done By Private Provider – Innovative Construction Inspection, Inc*","Closed-CC Issued","0","ePlan",
"OPN2022-03174","11679 SOLANO DR, FORT MYERS FL 33966","Installing 1 Mot Rd Screen *Inspections Done By Private Provider – Innovative Construction Inspection, Inc*","Closed-CC Issued","0","ePlan",
"RES2022-08684","2306 IVY AVE, FORT MYERS FL 33907","Interior Remodel.","Closed-CC Issued","1","ePlan",
"SOL2022-01696","181 GRANT BLVD, LEHIGH ACRES FL 33974","FULL PV SYSTEM ROOF MOUNTED Canadian 450 (x38)Enphase IQ7+","Closed-CC Issued","0","ePlan",
"ROF2022-06577","4015 15TH ST W, LEHIGH ACRES FL 33971","re-roof shingle","Closed-CC Issued","0","ePlan",
"ELE2022-02680","7910 MCDANIEL DR, NORTH FORT MYERS FL 33917","REPLACE PANEL (UPGRADE) AND METER BOX (UPGRADE) MAIN HOUSE","Closed-CC Issued","0","Paper Submittal",
"MEC2022-06024","15880 SUMMERLIN RD, 200, FORT MYERS FL 33908","Grills and Ductwork. Demo one existing kitchen hood and install one new kitchen hood. Equipment provided by Publix, Duct fabricated and installed by Cox. Master Permit COM2022-00066.","Closed-Withdrawn","0","ePlan",
"FIR2022-01935","17890 TOY VAULT LN, BLDG 4, FORT MYERS FL 33967","Install Underground Fireline. Install 40 LF of 6"" DR-14 w/ fittings, 110 LF 8"" DR-14 w/ fittings, (1) 6"" PIV, (1) check valve, (1) FDC, (1)  building riser.","Closed-CC Issued","4","ePlan",
"POL2022-01271","5561 MONTILLA DR, FORT MYERS FL 33919","POOL , SPA, AND DECK","Closed-CC Issued","1","ePlan",
"OCC2022-00537","9681 GLADIOLUS DR, 205, FORT MYERS FL 33908","Provide career camps and other programs for students with disabilities. Mon - Fri 7:30AM - 6:00PM during school vacations Mon - Fri 10AM - 3:00PM the rest of the year","Closed-Cert of Use Issued","0","Paper Submittal",
"ROF2022-06576","243 DAVID AVE, LEHIGH ACRES FL 33936","Reroofing of property, SFR, like to like","Closed-CC Issued","0","ePlan",
"ROF2022-06575","5436 TICE ST, FORT MYERS FL 33905","T/O & RE-ROOF SHINGLE","Closed-CC Issued","0","ePlan",
"ROF2022-06574","18605 TAMPA RD, FORT MYERS FL 33967","Roof replacement shingle and modified bitumen on flat roof","Closed-CC Issued","0","ePlan",
"ELE2022-02679","116 DANLEY DR, FORT MYERS FL 33907","200 amp service to metal building","Closed-CC Issued","0","ePlan",
"COM2022-00903-R01","15666 CARRIEDALE LN, 3, FORT MYERS FL 33912","***R01*** UPDATE ELECTRICAL DETAILS FOR JOB","Closed-Revision Approved","1","ePlan",
"MEC2022-06023","4417 SPANKER CT, 3C, FORT MYERS FL 33919","AC Replacement Like for Like","Closed-CC Issued","0","ePlan",
"RES2022-08683","6908 ERIN MARIE CT, FORT MYERS FL 33919","Construct accessory 13'4"" x 13' pergola structure, non-roofed, above portions of existing pool patio.R01  	Pergola is being changed from wood to aluminum, columns are changed from wood to masonry. Plans have been updated accordingly.","Closed-CC Issued","1","ePlan",
"COM2022-00855-R01","7461 GREEN  SAGE CIR, NORTH FORT MYERS FL 33917","***R01*** Bld 24  TO ADDRESS FIELD CONDITIONS FOR ARCH AND STRUCTURAL PER NARRATIVE LETTER","Closed-Revision Approved","6","ePlan",
"RES2022-08682","6908 ERIN MARIE CT, FORT MYERS FL 33919","Construct accessory structure above a portion of existing pool patio, 19' x 10' roofed structure.","Closed-CC Issued","0","ePlan",
"FNC2022-02617","1468 CARMELLE DR, FORT MYERS FL 33919","Add a 6 Ft vinyl privacy fence with a gate in a small section of our side yard","Waiting on Applicant","0","ePlan",
"ELE2022-02678","14601 JETPORT LOOP, 180, FORT MYERS FL 33913","Phone, data and camera wiring","Closed-CC Issued","4","ePlan",
"COM2022-00854-R01","7440 GREEN SAGE CIR, NORTH FORT MYERS FL 33917","***R01***Bldg 10  ARCH AND STRUCTURAL CHANGES TO ADDRESS FIELD CONDITIONS AS PER NARRATIVE LETTER","Closed-Revision Approved","6","ePlan",
"DSH2022-00573","3333 STABILE RD, SAINT JAMES CITY FL 33956","DOCK AND RE-INSTALL LIFT","Permit Expired","0","ePlan",
"MEC2022-06022","2081 MATECUMBE KEY RD, 1, PUNTA GORDA FL 33955","AC Replacement Like for Like","Closed-CC Issued","0","ePlan",
"RES2022-08681","5313 28TH ST SW, LEHIGH ACRES FL 33973","Shed 10x12","Closed-CO Issued","0","ePlan",
"COM2022-00853-R01","7460 GREEN SAGE CIR, NORTH FORT MYERS FL 33917","***R01***FOR ARCH AND STRUCTURAL CHANGES IN THE FIELD PER ATTACHED NARRATIVE","Closed-Revision Approved","6","ePlan",
"FNC2022-02616","4545 25TH ST SW, LEHIGH ACRES FL 33973","6FT PVC FENCE WITH GATES","Closed-CC Issued","0","Paper Submittal",
"DSH2022-00572","2605 SECOND ST, MATLACHA FL 33993","REMOVE & DISPOSE OF PILINGS - NEW DOCK AND PILING FOR FUTURE LIFT","Closed-CC Issued","0","ePlan",
"POL2022-01270","2648 EIGHTH AVE, SAINT JAMES CITY FL 33956","New Pool with paver deck with footers","Closed-CC Issued","1","ePlan",
"POL2022-01269","918 BROADWAY AVE, LEHIGH ACRES FL 33972","NEW POOL CONSTRUCTION","Permit Expired","0","ePlan",
"ELE2022-02677","3537 CELESTIAL WAY, NORTH FORT MYERS FL 33903","Replace and relocate from LCEC pole 150 amp meter can and disconnect.","Closed-CC Issued","0","ePlan",
"MEC2022-06021","11140 CARAVEL CIR, 306, FORT MYERS FL 33908","AC CHANGEOUT 2 TON SPLIT SYSTEM LIKE FOR LIKE","Closed-CC Issued","0","ePlan",
"COM2022-00852-R01","7491 SPRING SAGE WAY, NORTH FORT MYERS FL 33917","***R01*** BUILDING 16  ARCH AND STRUCTURAL CHANGES PER NARRATIVE LETTER","Closed-Revision Approved","6","ePlan",
"RES2022-06343-R01","16306 EDGEMONT DR, FORT MYERS FL 33908","***R01*** SCOPE OF WORK CHANGED TO REPLACMENT SCREEN ENCLOSURE ON EXISTING PAVER DECK","Closed-Revision Approved","1","ePlan",
"MEC2022-06020","6400 TOPAZ CT, FORT MYERS FL 33966","AC CHANGE OUT 4 TON 14 SEER 5 KW RUUD SPLIT SYSTEM","Closed-CC Issued","0","ePlan",
"ELE2022-02676","4908 LEE CIR S, LEHIGH ACRES FL 33971","INSTALL NEW 200 AMP SERVICE FOR EXISTING BUILDING","Closed-Withdrawn","0","ePlan",
"RES2022-08680","837 DA VINCI AVE S, LEHIGH ACRES FL 33974","New modular residence *Inspections Done By Private Provider – Bristol Engineering Services*","Closed-CO Issued","3","ePlan",
"ROF2022-06573","18106 ADAMS CIR, FORT MYERS FL 33967","SHINGLE AND PLY RE ROOF","Closed-CC Issued","0","ePlan",
"ELE2022-02675","4761 LAKESIDE CLUB BLVD, 4, FORT MYERS FL 33905","Replace old Federal Pacific panel with a new 125 amp panel including new breakers and panel schedule.","Closed-CC Issued","0","ePlan",
"RES2022-08679","868 CLOW ST E, LEHIGH ACRES FL 33974","New Modular residence*Inspections Done By Private Provider – Bristol Engineering Services*","Permit Issued","1","ePlan",
"MEC2022-06019","7156 BLANQUILLA CT, 11, FORT MYERS FL 33908","Replace old system with a new 2 ton 14 seer split system.","Closed-CC Issued","0","ePlan",
"RES2021-01927-R02","458 STATE ST, NORTH FORT MYERS FL 33903","location of existing bathroom","Waiting on Applicant","3","ePlan",
"RES2022-08678","1105 MICHAEL AVE, LEHIGH ACRES FL 33936","SFR","Closed-CO Issued","1","Paper Submittal",
"RES2021-01923-R01","462 STATE ST, NORTH FORT MYERS FL 33903","location of existing bathroom**R01-change location of kitchen, bath and provide serial numbers","Waiting on Applicant","3","ePlan",
"FNC2022-01403-R01","13822 BANYAN DR, BOKEELIA FL 33922","***R01 CORRECTION ON THE LAYOUT OF THE FENCE, SEPTCI TANK IN THE WAY","Closed-Revision Approved","1","ePlan",
"RES2022-08677","8134 MAIN ST, BOKEELIA FL 33922","Modification to a twin home converting it to a single family. Upgrade of windows, garage area and site work***R01- add electric panel, stairs, window & door locations***","Closed-CO Issued","1","ePlan",
"MEC2022-06018","3407 E 15TH ST, LEHIGH ACRES FL 33972","2.5 TON SPLIT SYSTEM LIKE FOR LIKE","Closed-CC Issued","0","ePlan",
"OPN2022-03173","3558 ODYSSEA CT, NORTH FORT MYERS FL 33917","Provide & install (2) electric hurricane storm tex screens and (2) electric hurricane 55mm shutters","Closed-CC Issued","0","ePlan",
"MEC2022-06017","659 BOCA BAY DR, BOCA GRANDE FL 33921","Replace 2 Existing A/C System Like for Like","Closed-CC Issued","0","ePlan",
"RES2022-04127-R01","6695 PLANTATION PINES BLVD, FORT MYERS FL 33966","***R01*** ADDED PICTURE WINDOW","Closed-Revision Approved","1","ePlan",
"RES2022-08676","860 JOPONICA TER, LEHIGH ACRES FL 33974","New modular residence*Inspections Done By Private Provider – Bristol Engineering Services*","Permit Issued","2","ePlan",
"ROF2022-06572","1829 LANDALE LOOP, LEHIGH ACRES FL 33972","roof replacement","Closed-CC Issued","0","ePlan",
"FNC2022-02615","6086 COCOS DR, FORT MYERS FL 33908","Install 28' of 6' high black chain link","Closed-CC Issued","0","ePlan",
"POL2022-01268","9729 CASA MAR CIR, FORT MYERS FL 33919","New Pool, Travertine deck","Closed-CC Issued","2","ePlan",
"ROF2022-06571","20011 PETRUCKA CIR N, LEHIGH ACRES FL 33936","Tear off and reroof shingles","Closed-CC Issued","0","ePlan",
"ROF2022-06570","2134 OXFORD RIDGE CIR, LEHIGH ACRES FL 33973","Roof replacement Tile to Tile","Closed-CC Issued","0","ePlan",
