"Record Number","Address","Description","Status","Related Records","Submittal Type",
"RES2023-06823","2515 19TH ST SW, LEHIGH ACRES FL 33976","12x30 Shed","Closed-CO Issued","0","ePlan",
"ROF2023-14390","2505 10TH ST W, LEHIGH ACRES FL 33971","re roof with dimensional shingle","Closed-CC Issued","0","ePlan",
"DEM2023-02459","19681 SUMMERLIN RD, 684, FORT MYERS FL 33908","Demo","Closed-CC Issued","0","ePlan",
"DEM2023-02458","117 ASH LN, FORT MYERS FL 33908","Demo","Closed-CC Issued","0","ePlan",
"RES2021-11683-R02","13899 RIVER FOREST DR, FORT MYERS FL 33905","revised the Typical Wall Section to show the Piling and Grade Beam and rev-clouded it, changing FFE of house","Closed-Revision Approved","8","ePlan",
"ROF2023-14389","15051 ORANGE RIVER RD, FORT MYERS FL 33905","New Roof System/ **R01**Change from metal to shingle 21-1209.01","Closed-CC Issued","1","ePlan",
"ROF2023-14388","2790 N TAMIAMI TRL, NORTH FORT MYERS FL 33903","FLAT ROOF INSTALLATION (TPO)","Closed-CC Issued","0","ePlan",
"MRV2023-00288","19281 SAN CARLOS BLVD, 13, FORT MYERS BEACH FL 33931","Park Model Tie Down","Waiting on Applicant","1","ePlan",
"POL2023-00475","720 HENRY AVE, LEHIGH ACRES FL 33972","Pool addition to the home","Permit Expired","1","Paper Submittal",
"RES2023-03689-R01","11321 VENETIAN LAGOON DR, FORT MYERS FL 33913","Revised site plan push house away from street","Closed-Revision Approved","4","ePlan",
"RES2023-02742-R01","9595 DUNKIRK DR, FORT MYERS FL 33919","Revised engineering picture window to back wall no footprint change","Closed-Revision Approved","1","ePlan",
"RES2022-14153-R01","17538 TERRACINA DR, FORT MYERS FL 33913","Revised window schedule and product approval to show impact glass front elevation and shutters on side and rear elevation","Closed-Revision Approved","4","ePlan",
"ROF2023-14387","630 HOMESTEAD RD S, LEHIGH ACRES FL 33974","Hurricane IanRe-Roof Shingle 2435 Sq ft No Flat5/12","Closed-CC Issued","0","ePlan",
"FNC2023-01227","7626 GRADY DR, NORTH FORT MYERS FL 33917","6' Privacy Wood Fence Perimeter of Yard.","Closed-CC Issued","0","ePlan",
"ROF2023-04853-R01","65 PERCY ST, FORT MYERS FL 33908","Revision: from shingle roof metal to single ply tpo","Waiting on Applicant","1","ePlan",
"MEC2023-03442","9908 GULF COAST MAIN ST, C-155, FORT MYERS FL 33913","Changeout 5 Ton Package unit and 5 Ton Split system","Permit Expired","0","ePlan",
"ROF2023-14386","1165 PALM AVE, 6A, NORTH FORT MYERS FL 33903","MANSARD REROOF ONLY - ShinglesTear off Address: 1165 Palm Ave, North Fort MyersBuilding 6 - Units 6A, 6B, 6C, 6D","Closed-CC Issued","0","ePlan",
"ROF2023-14385","4016 9TH ST W, LEHIGH ACRES FL 33971","Shingle roof replacement from Hurrican            ian","Closed-CC Issued","0","ePlan",
"RES2023-06822","13659 HARBOUR RIDGE DR, FORT MYERS FL 33908","Size for size pool cage replacement, size for size sliding glass door and windows replacement.","Closed-Voided","0","ePlan",
"ROF2023-14384","1165 PALM AVE, 3A, NORTH FORT MYERS FL 33903","MANSARD REROOF ONLY - ShinglesTear off shingles at mansards only (4 per building)shinglesAddress: 1165 Palm Ave, North Fort MyersBuilding 3 - Units 3A, 3B, 3C, 3D","Closed-CC Issued","0","ePlan",
"RES2023-06821","21 NANCY LN, FORT MYERS BEACH FL 33931","Remodel damaged home from Hurricane Ian","Closed-Voided","0","ePlan",
"OPN2023-02332","11600 COURT OF PALMS, 604, FORT MYERS FL 33908","Size for size window and door replacement.","Closed-Withdrawn","0","ePlan",
"ROF2023-14383","1070 MATECUMBE KEY RD, PUNTA GORDA FL 33955","TILE TO TILE REROOF","Closed-CC Issued","0","ePlan",
"ROF2023-14382","17220 WRIGLEY CIR, FORT MYERS FL 33908","tile to tile reroof","Closed-CC Issued","0","ePlan",
"SOL2022-01677-R03","3555 SABAL SPRINGS BLVD, NORTH FORT MYERS FL 33917","1. breakers in the new backup load panel needs to be shown on plans.2. rapid disconnect switch needs to be shown on plans.3 plans needs to show six black and red wires coming out the IQ loader controller 1 going toeach breaker.4. IQ load controller 2 need to show empty.","Closed-Revision Approved","3","ePlan",
"RES2023-06820","8223 MAIN ST, BOKEELIA FL 33922","replace non-impact rated windows and doors with impact rated energy saving Pella windows","Closed-Withdrawn","0","ePlan",
"SOL2023-00560","2608 39TH ST W, LEHIGH ACRES FL 33971","Install solar pool heat tie into existing auto control","Closed-CC Issued","0","ePlan",
"RES2023-00588-R01","95 BLACKBEARD WAY, FORT MYERS BEACH FL 33931","Add shingle re-roof","Closed-Revision Approved","1","ePlan",
"MEC2023-03441","2254 E 9TH ST, LEHIGH ACRES FL 33936","REPLACE AC SYSTEM","Closed-CC Issued","0","ePlan",
"ROF2023-14381","3214 39TH ST W, LEHIGH ACRES FL 33971","Squares: 33Pitch: 5/12Stories: 1Shingles/Material: Tamko Titan XT","Closed-CC Issued","0","ePlan",
"RES2022-09111-R01","11891 ISLAND AVE, MATLACHA FL 33993","add ac","Closed-Revision Approved","1","ePlan",
"DSH2022-00518-R01","12110 SIESTA DR, FORT MYERS BEACH FL 33931","Will not demo existing dock the 560 sq ft dock will remain","Closed-Revision Approved","1","ePlan",
"DSH2023-00267","393 PARKWAY CT, FORT MYERS FL 33919","Add a boat lift and dock to the West seawall on the property.","Permit Expired","1","ePlan",
"RES2022-06828-R01","8751 LAKEFRONT CT, FORT MYERS FL 33908","adjusted a couple of the elevation marks on the site plan","Closed-Revision Approved","4","ePlan",
"RES2022-02360-R01","8072 ALBATROSS RD, FORT MYERS FL 33967","Change from non impact windows and shutters to impact windows","Closed-Revision Approved","3","ePlan",
"OPN2023-02138-R01","19500 ESTERO POINTE LN, FORT MYERS FL 33908","Adding 9 single hung vinyl windows FL239.2","Closed-Revision Approved","1","ePlan",
"OPN2023-02078-R01","9911 PERIWINKLE PRESERVE LN, FORT MYERS FL 33919","Changing opening #3 to a storm catcher RD screen FL11291.1","Closed-Revision Approved","1","ePlan",
"FIR2023-00975","11220 MARBLEHEAD MANOR CT, FORT MYERS FL 33908","Install Underground LP Tank and LIne to Generator","Closed-CC Issued","0","ePlan",
"ELE2023-02302","11220 MARBLEHEAD MANOR CT, FORT MYERS FL 33908","Install Generator and QTY 2 - Transfer switches","Closed-CC Issued","0","ePlan",
"ROF2023-09429-R01","11 TANGERINE CT, LEHIGH ACRES FL 33936","Revision: Tear off old shingle roof and re-roof with new dimensional shingles to Tear off old flat roof and re-roof with new flat roof 22-0706.09 10/11/2027","Closed-Revision Approved","1","ePlan",
"FIR2023-00974","18530 CYPRESS HAVEN DR, FORT MYERS FL 33908","Replace LP Riser and surface mounted piping to generator","Closed-CC Issued","0","ePlan",
"ELE2023-02301","18530 CYPRESS HAVEN DR, FORT MYERS FL 33908","Replace Existing Generator","Closed-CC Issued","0","ePlan",
"POL2023-00474","1119 ANZA AVE, LEHIGH ACRES FL 33971","New residential pool","Waiting on Applicant","0","ePlan",
"ROF2023-14380","606 COLUMBUS AVE, LEHIGH ACRES FL 33972","Remove and Install Shingle Roof.","Closed-CC Issued","0","ePlan",
"ROF2023-14379","764 HOMESTEAD RD S, LEHIGH ACRES FL 33974","Remove and install Shingle Roof","Closed-CC Issued","0","ePlan",
"FNC2023-01226","3410 20TH ST W, LEHIGH ACRES FL 33971","6' coated galvanized metal fence with 2 gates","Closed-CC Issued","0","ePlan",
"RES2022-02409-R01","18439 FERN RD, FORT MYERS FL 33967","Revision - Non impact windows and shutters to Impact Glass","Closed-Revision Approved","3","ePlan",
"OPN2023-00823-R01","8990 GREENWICH HILLS WAY, 201, FORT MYERS FL 33908","Revised floor plan - corrected floor openings are 9, 10, 11, 12 to have electric roll down shutters","Closed-Revision Approved","1","ePlan",
"ROF2023-14378","952 HIBISCUS LN, NORTH FORT MYERS FL 33903","REROOF, 22 SQS","Permit Expired","0","ePlan",
"RES2023-06819","2242 WESTWOOD RD, NORTH FORT MYERS FL 33917","Cut flooded drywall and replace with new drywall , replace flooded electrical","Payment Required","0","ePlan",
"ROF2023-14377","1204 CLAYTON AVE, LEHIGH ACRES FL 33972","Remove shingle system to decking, renail, install new shingle system to code","Closed-CC Issued","0","ePlan",
"OPN2023-02331","510 GREENWOOD AVE, LEHIGH ACRES FL 33972","4X Electric Roll-Downs","Closed-CC Issued","0","ePlan",
"ROF2023-14376","1165 PALM AVE, 8A, NORTH FORT MYERS FL 33903","Shingle reroof,Tear off existing roof,1165 Palm Ave, North Fort MyersBuild 8 - Units 8A, 8B, 8C, 8D","Closed-CC Issued","0","ePlan",
"ROF2023-14375","1165 PALM AVE, 7A, NORTH FORT MYERS FL 33903","Shingle reroofTear off , install shinglesAddress: 1165 Palm Ave, North Fort Myers, FLBuilding 7 - Units 7A, 7B, 7C, 7D","Closed-CC Issued","0","ePlan",
"ROF2023-14374","9591 LITTLETON RD, NORTH FORT MYERS FL 33903","Roof Replacement","Closed-CC Issued","0","ePlan",
"RES2022-08550-R01","5205 30TH ST SW, LEHIGH ACRES FL 33973","CONSTRUCTION PLANS AND TRUSS LAYOUT REVISED TO 1196 MODEL CHANGING GARAGE LENGTH TO 62-7","Closed-Revision Approved","3","ePlan",
"RES2022-07842-R01","4424 24TH ST SW, LEHIGH ACRES FL 33973","CONSTRUCTION PLANS AND TRUSS LAYOUT REVISED TO 1196 MODEL CHANGING GARAGE LENGTH TO 62-7","Closed-Revision Approved","3","ePlan",
"RES2022-08015-R01","5228 29TH ST SW, LEHIGH ACRES FL 33973","TRUSS LAYOUT REVISED TO 1196 MODEL CHANGING GARAGE LENGTH TO 62-7","Closed-Revision Approved","3","ePlan",
"RES2022-08012-R01","5204 29TH ST SW, LEHIGH ACRES FL 33973","TRUSS LAYOUT REVISED TO 1196 MODEL CHANGING GARAGE LENGTH TO 62-7","Closed-Revision Approved","3","ePlan",
"COM2021-01060-R03","15901 ROYAL POINTE, FORT MYERS FL 33908","Change of Electrical Engineer - Unit Panels were changed from 3 phase to single phase - The feeders and busway were changed from Copper to Aluminum The Magnolia modes had the 175 AMP breakers changed to 200 Amps. This unit type will have copper feeders.","Closed-Revision Approved","9","ePlan",
"ROF2023-14373","511 PANGOLA DR, NORTH FORT MYERS FL 33903","15 sq shingle reroof","Closed-CC Issued","0","ePlan",
"ROF2023-14372","509 PANGOLA DR, NORTH FORT MYERS FL 33903","SHINGLE REROOF & 4 SQ OF MOD BIT ON FLAT ROOF OVER DRIVEWAY","Closed-CC Issued","0","ePlan",
"RES2023-06818","1122 MAIN ST, FORT MYERS BEACH FL 33931","Remodel/repair due to Hurricane Ian","Closed-Withdrawn","0","ePlan",
"RES2023-06817","845 OAK ST, FORT MYERS BEACH FL 33931","Remodel/repair due to Hurricane Ian","Closed-Withdrawn","0","ePlan",
"RES2023-06816","853 OAK ST, FORT MYERS BEACH FL 33931","Interior remodel/repairs due to Hurricane Ian.","Closed-Withdrawn","0","ePlan",
"RES2023-06815","6198 COCOS DR, FORT MYERS FL 33908","Remove current structure and build stilt single family home: keep existing block walls intact. Adding square footage & second story.","Closed-CO Issued","2","ePlan",
"RES2023-06814","5550 BURR ST, LEHIGH ACRES FL 33971","New Single Family Residence","Closed-CO Issued","1","ePlan",
"RES2023-06813","5548 BURR ST, LEHIGH ACRES FL 33971","New Single Family Residence","Closed-CO Issued","3","ePlan",
"OPN2022-01079-R01","13387 SYLVAN AVE, FORT MYERS FL 33919","Change opening 1 & 3 to (2) 2LS instead of SH Fl11411.2","Closed-Revision Approved","1","ePlan",
"OPN2022-04482-R01","2168 TREEHAVEN CIR N, FORT MYERS FL 33907","Remove PP","Closed-Revision Approved","1","ePlan",
"DSH2022-00666-R01","3082 TRAWLER LN, SAINT JAMES CITY FL 33956","Revised site plan","Closed-Revision Approved","1","ePlan",
"RES2022-02353-R01","8353 TRILLIUM RD, FORT MYERS FL 33967","Need revision - Revision NON impact windows and shutters to Impact Glass Windows","Closed-Revision Approved","3","ePlan",
"RES2022-08089-R01","16660 ELKHORN CORAL DR, NORTH FORT MYERS FL 33903","revision new options","Closed-Revision Approved","3","ePlan",
"RES2022-08084-RPI02","16652 ELKHORN CORAL DR, NORTH FORT MYERS FL 33903","Outlet change in kitchen, shower option changed, adding lights in great room.","Closed-Voided","3","ePlan",
"RES2022-08091-R01","16668 ELKHORN CORAL DR, NORTH FORT MYERS FL 33903","revision to remove old options and add new options","Closed-Revision Approved","3","ePlan",
"ROF2023-14371","10809 MEADOWS CT, NORTH FORT MYERS FL 33903","Hurricane Damage:  Re-roof Asphalt Shingleshomeowner: Alfred Solvang","Closed-CC Issued","0","ePlan",
"FNC2023-01225","539 THEODORE VAIL ST E, LEHIGH ACRES FL 33974","4' picket fence with gates","Closed-CC Issued","0","ePlan",
"OPN2023-02330","2412 KENT AVE, FORT MYERS FL 33907","5 Impact Windows2 Impact Doors","Closed-CC Issued","0","ePlan",
"MRV2023-00287","3793 DEWBERRY LN, SAINT JAMES CITY FL 33956","Park 40' 5th Wheel RV on our lot; connect electric and water utilities and sewer drain line to RV","Closed-Withdrawn","0","ePlan",
"ROF2023-14370","3907 3RD ST W, LEHIGH ACRES FL 33971","Hurricane Iantotal sq 3,096Pitched 2,781Flat 3155/12Re-Roof Shingle","Closed-CC Issued","0","ePlan",
"RES2023-06812","2611 24TH ST SW, LEHIGH ACRES FL 33976","New Construction","Closed-CO Issued","40","ePlan",
"RES2023-06811","4311 DOUGLAS LN, LEHIGH ACRES FL 33976","Single Family Residence","Closed-CO Issued","22","ePlan",
"OPN2023-02329","18191 PARKSIDE GREENS DR, FORT MYERS FL 33908","REPLACE SIZE FOR SIZE 14 WINDOWS & 1 SLIDING GLASS DOOR & INSTALL 1 ELECTRIC ROLL SHUTTER","Closed-CC Issued","0","ePlan",
"RES2023-06810","4307 DOUGLAS LN, LEHIGH ACRES FL 33976","Single Family Residence","Closed-CO Issued","22","ePlan",
"ROF2023-14369","1121 CAPP AVE, LEHIGH ACRES FL 33971","ROOF REPLACEMENT","Permit Expired","0","ePlan",
"ELE2023-02300","3701 BLUEBERRY LN, SAINT JAMES CITY FL 33956","REPLACE 2 GANG METER BANK|GROUNDING SYSTEM|UNDERGROUD DOWN PIPE","Closed-CC Issued","0","ePlan",
"COM2023-01503","11891 PALM BEACH BLVD, FORT MYERS FL 33905","Installation of new parking bollards to ensure building & customer safety.","Closed-CC Issued","0","ePlan",
"ROF2023-14368","3611 GLOXINIA DR, NORTH FORT MYERS FL 33917","R&R existing roof system with GAF Weather Watch Ice & Water Leak Barrier & Timberline HDZ Shingles, 130 MPH wind rated.","Closed-CC Issued","0","ePlan",
"OPN2023-02328","700 ASTARIAS CIR, FORT MYERS FL 33919","Installing 11 Accordion Shutters & 2 Storm Catcher Easy Screens *Inspections Done By Private Provider – Innovative Construction Inspection, Inc*","Closed-CC Issued","0","ePlan",
"MEC2023-03440","8818 NEW CASTLE DR, FORT MYERS FL 33908","A/C CHANGE OUT DUCT SYSTEM CHANGE OUT","Waiting on Applicant","0","ePlan",
"ROF2023-14367","116 LAS PALMAS BLVD, NORTH FORT MYERS FL 33903","Remove hurricane damage shingles and underlayment.  Re-nail decking to code.  Install self adhered underlayment and flashing.  Install shingles to manufacturers specifications","Closed-CC Issued","1","ePlan",
