Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date
Replace split system,Permit Expired,0,ePlan,,-81.971201998856,26.490275088794,2022-12-01
RE ROOF SHINGLE TO METAL/FLAT SECTION ROLL TO ROLL (MODBIT),Closed-CC Issued,0,ePlan,,-81.960216053353,26.522203511569,2022-12-01
RE ROOFSHINGLE TO SHINGLE,Closed-CC Issued,0,ePlan,,-81.746442537817,26.629233763571,2022-12-01
Remove existing roofing system. Install peel n stick underlayment and GAF HDZ shingles,Closed-CC Issued,0,ePlan,,-81.944513665936,26.501791911294,2022-12-01
"Hurricane Disaster Repair/Replacing cabinets, flooring, insulation.  Rewire damaged wires due to hurricane damage.",Closed-Voided,0,ePlan,,-81.947646290339,26.461208158733,2022-12-01
remove existing shingle roofing system. Install peel n stick underlayment and Atlas pinnacle shingles,Closed-CC Issued,0,ePlan,,-81.676075796753,26.583967111076,2022-12-01
Remodel due to hurricane Ian - 53 Primero,Closed-CC Issued,0,ePlan,,-81.95911828906,26.493492066404,2022-12-01
Replace split system,Closed-Withdrawn,0,ePlan,,-81.959618905735,26.497588701866,2022-12-01
modify existing telecommunciatiosn equipment-Excalibur (6FM1214),Closed-CC Issued,0,ePlan,,,,2022-12-01
Replace split system,Closed-CC Issued,0,ePlan,,-81.971201998856,26.490275088794,2022-12-01
Remodel due to hurricane Ian,Closed-Voided,0,ePlan,,,,2022-12-01
5 Ton split system changeout,Closed-CC Issued,0,ePlan,,,,2022-12-01
SHINGLE RE ROOF: 18SQS2 (2X4) SKYLIGHT REPLACEMENTS,Closed-CC Issued,0,ePlan,,-81.909527190768,26.747599809016,2022-12-01
SHINGLE RE ROOF: 28SQS,Closed-CC Issued,0,ePlan,,,,2022-12-01
rebuild after hurracane,Closed-Voided,0,ePlan,,-81.943222273081,26.489315600557,2022-12-01
3.5 ton split system change out,Closed-CC Issued,0,ePlan,,,,2022-12-01
replace split system,Closed-CC Issued,0,ePlan,,,,2022-12-01
replace power pole for mobile home due to hurricane Ian,Closed-Voided,0,ePlan,,,,2022-12-01
30x50 garage lap siding,Closed-CO Issued,0,ePlan,,-81.695470095361,26.631655942613,2022-12-01
HURRICANE IAN DAMAGE!!!!DEMOLISH HOUSE AND GAZEBO AND HAUL AWAY DEBRIS,Closed-CC Issued,0,ePlan,,-81.847240515998,26.687499096591,2022-12-01
replace split system,Closed-CC Issued,0,ePlan,,-81.864057989874,26.571552071493,2022-12-01
301 TEMP POLE,Closed-Voided,0,ePlan,,-81.978340799154,26.496352133359,2022-12-01
Temporary RV  due to Ian,Permit Issued,0,ePlan,,-81.978340799154,26.496352133359,2022-12-01
Single family residential home,Closed-CO Issued,2,ePlan,,-81.607050794458,26.647933032452,2022-12-01
Re-Roofing,Closed-Withdrawn,0,ePlan,,-81.716217715631,26.593372704779,2022-12-01
Interior Remodel.,Closed-CC Issued,0,ePlan,,-81.856029140083,26.478828793217,2022-12-01
Interior Remodel,Permit Expired,0,ePlan,,-81.888231108677,26.658691189932,2022-12-01
Replace like for like ac,Closed-Voided,0,ePlan,,-81.625012657657,26.610760282349,2022-12-01
Remodel from flood damage Hurricane Ian,Closed-Voided,0,ePlan,,,,2022-12-01
repair electric - replace drywall - replace floorcovering - replace base cabinets - replace heat/ac unit - replace insulation,Closed-Voided,1,ePlan,,,,2022-12-01
Replace split system,Permit Expired,0,ePlan,,-81.957932258196,26.501067561624,2022-12-01
Commercial roof repair - remove/replace like for like material. No structural changes Building 5 on aerial view,Closed-CC Issued,0,ePlan,,,,2022-12-01
New single family residential home,Closed-CO Issued,2,ePlan,,,,2022-12-01
31-672: Ellon Walters re-roo,Closed-CC Issued,0,ePlan,,-81.637882046439,26.648024442848,2022-12-01
Re-Roof Shingle Hurricane Ian DamageShingle - FL10674-R17Underlayment - FL34539.1Vent - FL10758-R8,Closed-Voided,0,ePlan,,,,2022-12-01
Remove and replace shingles with new,Closed-CC Issued,0,ePlan,,-81.79590221389,26.460477616507,2022-12-01
Replace windows for Building 4,Closed-CC Issued,0,ePlan,,-81.87522192542,26.574517319573,2022-12-01
HVAC change out,Closed-Voided,0,ePlan,,-81.970607448768,26.491896037651,2022-12-01
FULL PV SOLAR SYSTEM ROOF MOUNTED,Closed-CC Issued,1,ePlan,,-81.741974554452,26.605353522936,2022-12-01
Interior Remodel,Closed-CC Issued,0,ePlan,,-81.84803581678,26.472455302828,2022-12-01
Installation of a ground-mounted solar PV system 16.65 kW,Closed-CC Issued,0,ePlan,,-81.616770229068,26.676268824952,2022-12-01
ROOF REPLACEMENT DUE TO HURRICANE IAN,Closed-CC Issued,0,ePlan,,-81.624789502819,26.558869296713,2022-12-01
14x40 shed lap siding,Closed-CO Issued,0,ePlan,,-81.894179833177,26.684232444774,2022-12-01
Replace damaged sheetrock and flooring.,Closed-CC Issued,0,ePlan,,,,2022-12-01
"Note that there has been NO structural damage from Ian, all roof, windows, walls, exterior siding, concrete remains intact and secure and does not need repaired or replaced; all plumbing remains intact and secure and is working and does not need repaired or replaced. Owner is only doing some cosmetic replacement of interior wall paneling/insulation, vinyl flooring, cabinets. Owner has an electrician who will pull electrical permit and perform any electrical needing replaced.",Closed-Voided,0,ePlan,,,,2022-12-01
"Replace flooring in Living room due to flood of Hurricane Ian.  Condo is on a concrete slab.  Most flooring is undamaged ceramic tile. Replace appliances - Refrigerator, stove/oven, washer and dryer,  Replace button kitchen cabinets, and bathroom cabinets in master bath 1st floor.Drywall and electric has been restored to condo and is working fine.",Closed-Voided,0,ePlan,,-81.85791618183,26.499135377067,2022-12-01
Hurricane Ian tear off shingle replace with shngle,Closed-CC Issued,0,ePlan,,-81.745394295789,26.714063834092,2022-12-01
Repair the interior damages from Hurricane IAN,Closed-Voided,0,ePlan,,-81.940734380962,26.495232127497,2022-12-01
Interior remodel,Permit Expired,0,ePlan,,-81.946932114643,26.462753198961,2022-12-01
Demolition of mobile home damaged by Hurricane Ian,Permit Expired,0,ePlan,,-81.946359807501,26.461530212376,2022-12-01
Shingle Re-Roof,Closed-CC Issued,0,ePlan,,-81.90042847284,26.528171194958,2022-12-01
"Installing 4 Storm Catcher RD screen & Replacing 3 SXS  Impact Windows *Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,0,ePlan,,,,2022-12-01
HVAC change out,Closed-CC Issued,0,ePlan,,-81.970607448768,26.491896037651,2022-12-01
Demolition of structure,Closed-CC Issued,0,ePlan,,,,2022-12-01
ROOF REPLACEMENT DUE TO HURRICANE IAN,Closed-CC Issued,0,ePlan,,,,2022-12-01
REPLACE METERCAN & PANEL FOR IRRIGATION EQUIPMENT,Closed-CC Issued,0,ePlan,,-81.951791719002,26.496917916028,2022-12-01
replace package unit,Closed-CC Issued,0,ePlan,,-81.885772395442,26.699955703124,2022-12-01
Repair damages from Hurricane IAN,Closed-Voided,0,ePlan,,-81.940927372999,26.495088647419,2022-12-01
