"Record Number","Address","Description","Status","Related Records","Submittal Type",
"ROF2023-11537","8510 BELLE MEADE DR, FORT MYERS FL 33908","Reroofing Home","Closed-Withdrawn","0","ePlan",
"MEC2023-02547","19333 SUMMERLIN RD, FORT MYERS FL 33908","Correct permit address is for 19333 Summerlin Rd. Unit #49Remove and replace, like for like, 3 ton, 14.3 seer, 5 kw package air conditioning system.","Waiting on Applicant Updates","0","ePlan",
"ROF2023-11563","1706 MARINA TER, NORTH FORT MYERS FL 33903","Remove hurricane-damaged shingles and underlayment. Re-nail decking to code. Install self-adhered flashing and underlayment. Install shingles to manufactures specifications.","Closed-CC Issued","0","ePlan",
"ELE2023-01878","122 LENAPE TRAIL, FORT MYERS FL 33931","repair electrical outlets replace switches and out lets","Closed-Withdrawn","0","ePlan",
"ROF2023-11562","3534 HERITAGE LN, FORT MYERS FL 33908","Remove asphalt shingles. Re-nail decking. Install double synthetic felt. Install dimensional shingles: Detatched Structure","Closed-CC Issued","0","ePlan",
"RES2023-05159","3811 5TH ST SW, LEHIGH ACRES FL 33976","Construction of New Single-Family Home","Closed-CO Issued","2","ePlan",
"ROF2023-11561","233 NAUTILUS AVE S, LEHIGH ACRES FL 33974","Remove and replace existing shingle roof*Inspections done by Private Provider- Coastal Code Services*","Closed-CC Issued","0","ePlan",
"RES2023-05158","801 MONET ST, LEHIGH ACRES FL 33936","roof tear off and replaced with new","Closed-Withdrawn","0","ePlan",
"RES2023-05157","1914 RICHMOND AVE N, LEHIGH ACRES FL 33972","Construction of New Duplex","Closed-CO Issued","3","ePlan",
"OPN2023-01843","1607 S MAYFAIR RD, FORT MYERS FL 33919","New impact windows & SGD's","Closed-CC Issued","0","ePlan",
"ROF2023-11560","13641 HICKORY RUN LN, FORT MYERS FL 33912","Tear off and Reroof","Closed-CC Issued","0","ePlan",
"RES2023-05156","1915 VILLIA ST, LEHIGH ACRES FL 33972","Construction of New Duplex","Closed-CO Issued","3","ePlan",
"ROF2023-11559","2616 8TH ST SW, LEHIGH ACRES FL 33976","SHINGLE REROOF","Closed-CC Issued","0","ePlan",
"SOL2023-00154-R01","19029 ELSTON WAY, ESTERO FL 33928","Homeowner wanted to add enphase smart switch for sunlight backup","Closed-Revision Approved","1","ePlan",
"MRV2023-00214","7822 EBSON DR, NORTH FORT MYERS FL 33917","HURRICANE IAN REPLACEMENT INSTALL OF MOBILE HOME","Closed-CO Issued","1","ePlan",
"ROF2023-08568-R01","18480 ORLANDO RD, FORT MYERS FL 33967","Include flat roof portion 16545.1","Closed-Revision Approved","1","ePlan",
