"Record Number","Address","Description","Status","Related Records","Submittal Type",
"ROF2023-23311","613 LEROY AVE, LEHIGH ACRES FL 33972","reroof house","Closed-CC Issued","0","ePlan",
"RES2023-08104-R01","9140 FLAMINGO CIR, NORTH FORT MYERS FL 33903","Pan carport extending 10' farther towards the road","Closed-Revision Approved","1","ePlan",
"RES2023-05373-R01","2814 3RD ST SW, LEHIGH ACRES FL 33976","Change from non-impact to impact","Closed-Revision Approved","3","ePlan",
"RES2023-05369-R01","2926 3RD ST SW, LEHIGH ACRES FL 33976","Change from non-impact to impact windows","Closed-Revision Approved","3","ePlan",
"RES2023-03881-R01","508 HARRISON DR, LEHIGH ACRES FL 33936","Change from non-impact to impact windows","Closed-Revision Approved","2","ePlan",
"RES2023-03879-R01","504 HARRISON DR, LEHIGH ACRES FL 33936","Change from non-impact to impact windows","Closed-Revision Approved","3","ePlan",
"RES2023-03878-R01","3104 SALLY AVE S, LEHIGH ACRES FL 33976","Change from non impact to impact windows","Closed-Revision Approved","3","ePlan",
"RES2023-03676-R01","10970 SHIRLEY LN, NORTH FORT MYERS FL 33917","Change in insulation and energy calculations, moved wall separating living space and garage","Closed-Revision Approved","2","ePlan",
"RES2023-03228-R01","700 CONNECTICUT LN, LEHIGH ACRES FL 33936","Change from non-impact to impact windows","Closed-Revision Approved","3","ePlan",
"RES2023-03223-R01","2517 22ND ST W, LEHIGH ACRES FL 33971","Change from non-impact to impact windows","Closed-Revision Approved","2","ePlan",
"ROF2023-23310","2701 17TH ST SW, LEHIGH ACRES FL 33976","Reroof Home","Closed-CC Issued","0","ePlan",
"RES2023-03222-R01","2515 22ND ST W, LEHIGH ACRES FL 33971","Change from non-impact to impact windows","Closed-Revision Approved","5","ePlan",
"RES2023-02229-R01","1409 ALAN AVE S, LEHIGH ACRES FL 33976","Change from non-impact to impact windows","Closed-Revision Approved","3","ePlan",
"RES2023-02228-R01","55 SARA AVE S, LEHIGH ACRES FL 33976","Revise to non-impact to impact windows","Closed-Revision Approved","3","ePlan",
"RES2023-02225-R01","3217 31ST ST W, LEHIGH ACRES FL 33971","Revise from non-impact to impact windows","Closed-Revision Approved","3","ePlan",
"RES2023-01195-R01","3514 4TH ST SW, LEHIGH ACRES FL 33976","Revise from non-impact to impact windows","Closed-Revision Approved","3","ePlan",
"RES2023-01190-R01","2507 32ND ST SW, LEHIGH ACRES FL 33976","Revise from non-impact to impact windows","Closed-Revision Approved","3","ePlan",
"MEC2023-07557","8760 PASEO DE VALENCIA ST, FORT MYERS FL 33908","EXACT CHANGE OUT OF A 2 TON 16 SEER2 5 KW  LIKE FOR LIKE","Closed-CC Issued","0","ePlan",
