Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date
reroof house,Closed-CC Issued,0,ePlan,,-81.578739762727,26.62223290602,2023-09-01
Pan carport extending 10' farther towards the road,Closed-Revision Approved,1,ePlan,,-81.908349910965,26.702851506666,2023-09-01
Change from non-impact to impact,Closed-Revision Approved,3,ePlan,,-81.670477720147,26.610388432029,2023-09-01
Change from non-impact to impact windows,Closed-Revision Approved,3,ePlan,,-81.673093356837,26.610381997099,2023-09-01
Change from non-impact to impact windows,Closed-Revision Approved,2,ePlan,,-81.636987752802,26.611076488137,2023-09-01
Change from non-impact to impact windows,Closed-Revision Approved,3,ePlan,,-81.636936196315,26.61105734338,2023-09-01
Change from non impact to impact windows,Closed-Revision Approved,3,ePlan,,-81.686430324507,26.584384379699,2023-09-01
"Change in insulation and energy calculations, moved wall separating living space and garage",Closed-Revision Approved,2,ePlan,,-81.771126997828,26.753876730062,2023-09-01
Change from non-impact to impact windows,Closed-Revision Approved,3,ePlan,,-81.639659810431,26.61219646513,2023-09-01
Change from non-impact to impact windows,Closed-Revision Approved,2,ePlan,,-81.663607205883,26.633925834635,2023-09-01
Reroof Home,Closed-CC Issued,0,ePlan,,-81.667688216452,26.597789338894,2023-09-01
Change from non-impact to impact windows,Closed-Revision Approved,5,ePlan,,-81.663556738308,26.633925834634,2023-09-01
Change from non-impact to impact windows,Closed-Revision Approved,3,ePlan,,-81.698506183311,26.60027359877,2023-09-01
Revise to non-impact to impact windows,Closed-Revision Approved,3,ePlan,,-81.689153958044,26.612679091781,2023-09-01
Revise from non-impact to impact windows,Closed-Revision Approved,3,ePlan,,-81.680360737832,26.64215183298,2023-09-01
Revise from non-impact to impact windows,Closed-Revision Approved,3,ePlan,,-81.689679534895,26.609486508693,2023-09-01
Revise from non-impact to impact windows,Closed-Revision Approved,3,ePlan,,-81.662538961038,26.583939847014,2023-09-01
EXACT CHANGE OUT OF A 2 TON 16 SEER2 5 KW  LIKE FOR LIKE,Closed-CC Issued,0,ePlan,,-81.906658008285,26.514304446781,2023-09-01
Corrected NOA sheet and ecals to show metal sheet,Closed-Revision Approved,4,ePlan,,,,2022-09-01
Install approximately 121lft of 4ft high aluminum fence with gates,Closed-CC Issued,0,ePlan,,-81.96336993514,26.510064242229,2023-09-01
Remove and replace roof system due to damage.Squares: 30.3Pitch: 5/12Stories: 1Shingles/Material: Tamko TitanFelt: syntheticValleys: ice&water,Closed-CC Issued,0,ePlan,,-81.682321057821,26.603190842689,2023-09-01
Changing rusted panel,Closed-CC Issued,0,ePlan,,-81.909053648966,26.560154436764,2023-09-01
Replacing damaged wooden fence with 6' chain link fence & 6' Aluminum Picket.,Closed-CC Issued,0,ePlan,,-81.865812410805,26.565262995253,2023-09-01
Reroof Home,Closed-CC Issued,0,ePlan,,-81.627137746484,26.673346182353,2023-09-01
Premier prefab 12x20 lofted shed with concrete floor,Closed-CO Issued,0,ePlan,,-81.816269488841,26.465315878279,2023-09-01
Mobile Home Install,Closed-CO Issued,1,ePlan,,-81.852060023004,26.709946136187,2023-09-01
Mobile Home Install,Closed-CO Issued,2,ePlan,,-81.85179305519,26.709669820213,2023-09-01
"INSTALL NEW MOBILE HOME INCLUDES BLOCKING/ANCHORING, PLUMBING, SKIRTING, HVAC, ELECTRICAL",Closed-CO Issued,1,ePlan,,-81.85173791124,26.710746888545,2023-09-01
"INSTALL NEW MOBILE HOME INCLUDES BLOCKING/ANCHORING, SKIRTING, PLUMBING, HVAC, ELECTRICAL",Closed-CO Issued,1,ePlan,,-81.852352631938,26.710701001002,2023-09-01
