Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date
SALE OF AUTOMOBILESINSTALLATION OF 1200 SQ FT TENT,Ready,0,ePlan,,-81.604029703688,26.60901594137,2022-10-01
Mast and Meter Can Replacement,Closed-Voided,0,ePlan,,-81.911022425159,26.6364710802,2022-10-01
"COMPLETE INTERIOR, ELECTRIC, MECHANICNAL, PLUMBING, EXTERIOR DOOR",Closed-CC Issued,0,Paper Submittal,,-81.947774290959,26.461618760328,2022-10-01
RE-ROOF SHINGLES,Closed-CC Issued,0,ePlan,,-81.844457218486,26.55231053526,2022-10-01
RE-ROOF SHINGLES,Closed-CC Issued,0,ePlan,,-81.845395361078,26.552005506905,2022-10-01
complete demo of mobile home after Ian destruction,Closed-Voided,0,ePlan,,,,2022-10-01
Single Family Home,Closed-CO Issued,1,ePlan,,,,2022-10-01
Over Head Service Repaired to well,Closed-CC Issued,0,ePlan,,,,2022-10-01
Tearoff and Re-Roof,Closed-CC Issued,0,ePlan,,,,2022-10-01
Replace hurricane damaged Lanai,Waiting on Applicant,0,ePlan,,-81.891532832098,26.537207688175,2022-10-01
replace drywall & baseboards & interior structures from flooding,Closed-CC Issued,1,ePlan,,-81.916271654163,26.644977837713,2022-10-01
a/c changeout,Closed-CC Issued,0,ePlan,,-81.878063139913,26.519306780849,2022-10-01
Pool enclosure replacement,Closed-CO Issued,0,ePlan,,-81.8904576195,26.519968365597,2022-10-01
Reroof Shingle,Closed-CC Issued,0,ePlan,,-81.617766641748,26.599036958897,2022-10-01
REMOVE SHINGLES AND INSTALL NEW SHINGLESREROOF,Closed-CC Issued,0,ePlan,,-81.805734326659,26.46900807237,2022-10-01
REPLACING SPLIT AC SYSTEM,Closed-CC Issued,0,ePlan,,-81.956138604654,26.496682124162,2022-10-01
Replace 5 ton package unit,Closed-CC Issued,0,ePlan,,-81.711537420436,26.617060152021,2022-10-01
Tear off & Re-roof Shingle,Closed-CC Issued,0,ePlan,,-81.82933037123,26.4770224615,2022-10-01
Roof Install,Closed-Voided,0,ePlan,,-81.893849015493,26.721164286467,2022-10-01
a/c changeout,Closed-CC Issued,0,ePlan,,-81.950215285869,26.500088631016,2022-10-01
REROOF-REMOVE AND REPLACE SHINGLE ROOF,Closed-CC Issued,0,ePlan,,-81.914924617999,26.537228888164,2022-10-01
Replace AC package unit like for like,Closed-CC Issued,0,ePlan,,-81.928849703782,26.50344170287,2022-10-01
Remove the existing damaged roof and replace it with a new roof,Closed-CC Issued,0,ePlan,,-81.914911822112,26.561600277988,2022-10-01
Roof Install,Closed-Voided,0,ePlan,,-81.893991376295,26.721704980573,2022-10-01
"Replacement,  condenser only",Closed-CC Issued,0,ePlan,,-81.906403067143,26.485241934615,2022-10-01
"Flood damage repairs including insulation, drywall, and finishes.",Permit Expired,0,ePlan,,-81.862212554704,26.685299944198,2022-10-01
Replacement- condenser only,Closed-CC Issued,0,ePlan,,-81.951869783673,26.503781811138,2022-10-01
Roof Install,Closed-Voided,0,ePlan,,-81.893914298355,26.720031673168,2022-10-01
New Single Family Home,Closed-Withdrawn,1,ePlan,,-81.733431831535,26.616738102783,2022-10-01
Re-Roof Shingles Hurricane Ian Damage,Closed-CC Issued,0,ePlan,,-81.673641754296,26.62353742884,2022-10-01
Replumb entire property.Install new Viega Pex piping.,Closed-CC Issued,1,ePlan,,-81.906072036638,26.489689467367,2022-10-01
Convert garage in a living space,Permit Issued,0,ePlan,,-81.707645932343,26.637697472449,2022-10-01
"4 besdrooms,3 1/2 Bathroom new construction home",Closed-Voided,0,ePlan,,-81.577627544053,26.595659896066,2022-10-01
Removal of existing roofing material. renailing sheathing. Install synthetic underlayment installation of 26ga Gulf Rib panels.,Closed-CC Issued,0,ePlan,,-81.938147951338,26.503694504417,2022-10-01
"drywall, trim, insulation, ductwork, electric, vapor barrier and condenser due to hurricane damage",Closed-CC Issued,0,Paper Submittal,,-81.967873123043,26.506378827474,2022-10-01
Repair meter due to hurricane damage,Closed-CC Issued,0,ePlan,,-81.675621147457,26.577635381445,2022-10-01
New Construction of Single Family Home*RPI01- Utilizing a new truss manufacturing company called Tibbetts Lumber Co. Inc. New structural foundation to accommodate trusses*,Ready-Documents Required,2,ePlan,,-81.740846650717,26.614886880395,2022-10-01
Professional Staffing/Temporary Help Services,Closed-Cert of Use Issued,0,,,-81.806744584147,26.549168617684,2022-10-01
Re-Roof Shingles Hurricane Ian Damage,Closed-CC Issued,0,ePlan,,-81.640505460456,26.621407631772,2022-10-01
RE-ROOF,Closed-Voided,0,ePlan,,-81.913634762025,26.534736964285,2022-10-01
TEAR OFF AND RE-SHINGLE ROOF,Closed-CC Issued,0,ePlan,,,,2022-10-01
Tile to Metal Re-Roof (FL29523.02-R1)(FL9777-R16),Closed-CC Issued,0,ePlan,,-81.978213741318,26.510180856947,2022-10-01
"Reroofing of property, SFR, like to like",Closed-CC Issued,0,ePlan,,-81.66458871544,26.663642696759,2022-10-01
Modifications to equipment on existing communication tower,Closed-Voided,0,ePlan,,-81.933612368653,26.511270868448,2022-10-01
"REVISE DUE TO HURRICANE: DRYWALL, INTERIOR DOORS, PLUMBING, ELECTRIC, HVAC",Closed-Revision Approved,1,Paper Submittal,,-81.861624606683,26.480864868658,2021-10-01
Split System Change out,Closed-CC Issued,0,ePlan,,-81.913824336141,26.518565604097,2022-10-01
5-V Metal Roof Replacement,Closed-CC Issued,0,ePlan,,-81.971754022822,26.503720087399,2022-10-01
Install new mobile home,Closed-CO Issued,1,ePlan,,-81.808304806604,26.654403375287,2022-10-01
ROOF MOUNTED SOLAR PANELS INSTALL,Closed-CC Issued,1,ePlan,,-81.660538480684,26.560489593167,2022-10-01
Installation of motorized Hurricane Screen System to existing Residential Structure with electrical for Screens.,Closed-CC Issued,0,ePlan,,,,2022-10-01
Inspected electrical for FPL power reconnect,Closed-Withdrawn,0,ePlan,,-81.948456593463,26.460007908432,2022-10-01
Metal over Shingle-FL33818-R2,Permit Expired,0,ePlan,,-81.791322383259,26.745301335585,2022-10-01
Emergency reconstruction of damage caused by hurricane Ian.,Closed-Voided,0,ePlan,,-81.95518317487,26.501886231198,2022-10-01
Installing generator onto existing concrete pad and connecting to existing transfer switch.,Closed-Withdrawn,0,ePlan,,-81.736996029939,26.471320980697,2022-10-01
Electrical Panel & associated ground floor wiring.,Closed-Voided,0,ePlan,,-81.956272775824,26.479273911237,2022-10-01
"DRYWALL, CABINETS, INTERIOR DOORS AND INSULATION",Closed-CC Issued,0,ePlan,,-81.908539103681,26.640894047809,2022-10-01
Reroof Shingles,Closed-CC Issued,0,ePlan,,-81.820358761699,26.488251590587,2022-10-01
INSTALL 3 TON 10 KW 14 SEER PKG REPLACEMENT,Closed-Withdrawn,0,ePlan,,-81.935786275584,26.50588559558,2022-10-01
Re-roof single-family residence from shingle to 24 gauge metal panels.,Closed-Voided,0,ePlan,,,,2022-10-01
DEMO MOBILE HOME DUE TO HURRICANE IAN,Closed-CC Issued,0,Paper Submittal,,,,2022-10-01
Electric Meter/Disconnect ReplacementSupply and replace existing meter and disconnect with new meter/main combo.,Closed-Voided,0,ePlan,,-81.940213321905,26.482467532736,2022-10-01
Enclosed detached garage- 2 doors replaced. Re-roof detached garage Metal over Shingle,Closed-Abandoned,0,Paper Submittal,,-81.791322383259,26.745301335585,2022-10-01
Hurricane Ian Damage - Re-model,Closed-Administrative,0,Paper Submittal,,-81.978587387871,26.500639009943,2022-10-01
Emergency reconstruction of damage caused by hurricane Ian.,Closed-Voided,0,ePlan,,-81.959618905735,26.497588701866,2022-10-01
"Repair plumbing, electrical, replace interior from flooding including kitchen bathroom,s floors and walls, replace carport, replace front porch, fix pool and pool equipment, fix dock, roof repairs, driveway repairs",Waiting on Applicant,0,ePlan,,-82.073178439951,26.626903589745,2022-10-01
Shingle Re-Roof,Closed-CC Issued,0,ePlan,,-81.809852157296,26.656948921132,2022-10-01
Publix # 1407 FA Remodel 1-70TF99R 1. Remove existing POC to ANSUL for existing grease hood #2 which is being removed. 2. Replace (10) existing duct smoke det with (10) new duct smoke det for new AC-1 to AC-5. 3a. Replace (5) existing control relays with (5) new control relays for new AC-1 to AC-5. 3b. Provide global shutdown through programming for all AC units. Programming. Test and inspection with AHJ.,Closed-CC Issued,0,ePlan,,-81.905198917798,26.721877501685,2022-10-01
Reroof - Shingle,Closed-CC Issued,0,ePlan,,-81.878630454635,26.515106579374,2022-10-01
Roof replacement shingle and modified flat roof,Closed-CC Issued,0,ePlan,,-81.602011913832,26.605875036431,2022-10-01
Remodeling of Mfg home due to damage of Hurricane Ian,Closed-Voided,0,ePlan,,-81.947646290326,26.461673722743,2022-10-01
Drywall Repairs and re-roof underlayment,Closed-CC Issued,1,ePlan,,-81.752122995691,26.711167933375,2022-10-01
Split system replacement,Closed-CC Issued,0,ePlan,,-81.903100397156,26.499793222978,2022-10-01
Replace Condenser Only,Closed-CC Issued,0,ePlan,,-81.959268913909,26.49804583585,2022-10-01
Hurricane Ian - Repair Service - No Other Work,Closed-CC Issued,0,ePlan,,,,2022-10-01
Interior Remodel,Closed-CC Issued,0,ePlan,,-81.955188675166,26.494581379892,2022-10-01
"electric, insulation, drywall, cabinets, door and trim and hvac due to hurricane damage",Closed-CC Issued,0,Paper Submittal,,-81.948655325302,26.462423438048,2022-10-01
New shingle roof,Permit Expired,1,Paper Submittal,,-81.901713722115,26.66789215951,2022-10-01
A/C change out; damaged from Hurricane Ian; like for like; 5 ton split system,Permit Expired,0,ePlan,,-81.847771313877,26.469517954751,2022-10-01
Hurricane Ian Damage - Re-model,Closed-CC Issued,0,Paper Submittal,,-81.936216140719,26.481311471324,2022-10-01
Installation of motorized Hurricane Screen System - 3 Motorized - 1 Fixed,Closed-CC Issued,0,ePlan,,-81.949847373063,26.52802713731,2022-10-01
HURRICANE IAN EMERGENCY STORM DAMAGE PERMIT. Install temporary pole per order of LCEC. House was damaged. Pole is for RV hookup.,Closed-Voided,0,ePlan,,,,2022-10-01
REPLACE MAST METER WITH NEW,Closed-CC Issued,0,ePlan,,-82.124055922525,26.62518503335,2022-10-01
Interior Remodel,Permit Expired,0,ePlan,,-81.953281204002,26.494612467221,2022-10-01
"Face change on existing pylon/LIKI TIKI BBQ, 17650.",Closed-CC Issued,0,ePlan,,-81.94467137453,26.483956388582,2022-10-01
New single family residence,Closed-CO Issued,2,ePlan,,-81.848242334273,26.479918445014,2022-10-01
Shingle Re-Roof and Flat Re-Roof,Closed-CC Issued,0,ePlan,,-81.862470752102,26.561348052921,2022-10-01
replacing 2 doors damaged in Hurricane. Re-roof- Metal over ShingleDoor NOAI013747.030R2 AND NI009861-R5,Closed-Voided,0,Paper Submittal,,-81.791322383259,26.745301335585,2022-10-01
"replacing riser, se wire and weather head that were damaged by the storm.",Closed-CC Issued,0,ePlan,,-82.069715472175,26.630462556256,2022-10-01
REPLACE MAST AND METER AND FEEDERS WITH NEW,Closed-CC Issued,0,ePlan,,-82.123134496127,26.625816356839,2022-10-01
Change to Certaineed Mod Bit FL 2533-R26 exp 9/15/2023,Closed-Revision Approved,1,ePlan,,-81.917891951369,26.661605399931,2022-10-01
New single family home,Permit Issued,4,Paper Submittal,,-81.707948260699,26.600928987699,2022-10-01
SPLIT SYSTEM REPLACMENT DUE TO HURRUCANE,Permit Expired,0,Paper Submittal,,,,2022-10-01
"DRYWALL, INTERIOR DOORS, CABINETS AND ELECTRICAL OUTLETS",Closed-CC Issued,0,ePlan,,-81.80630389268,26.688727418367,2022-10-01
Change out like for like Package Unit,Closed-CC Issued,0,ePlan,,-81.880660528119,26.565536214515,2022-10-01
replace riser,Closed-CC Issued,0,ePlan,,-81.741086969286,26.708464784463,2022-10-01
Installation of wall sign/ LIKI TIKI BBQ,Closed-CC Issued,0,ePlan,,-81.94467137453,26.483956388582,2022-10-01
"repairs from Hurricane Damage on 1st floor unitswork to include drywall, paint, flooring, mechanical, plumbing, electrical, windows, doors. Address of work to be performed:16585 Lake Cir Drbuilding 1unit 118",Waiting on Applicant,0,ePlan,,-81.933709557501,26.499164822213,2022-10-01
"3FT HORIZONTAL WOOD PRIVACY FENCE, 4FT HORIZONTAL WOOD PRIVACY FENCE WITH GATES",Closed-CC Issued,0,ePlan,,-81.845187415316,26.584019896027,2022-10-01
"R01 2 gang meter can with 2 separate main breakers, addition of a 2nd service on a single family dwelling",Closed-Withdrawn,1,ePlan,,-81.88165183773,26.679116517827,2022-10-01
Tear off & Re-roof Shingle,Closed-CC Issued,0,ePlan,,-81.894937889183,26.725248340427,2022-10-01
"repairs from Hurricane Damage on 1st floor unitswork to include drywall, paint, flooring, mechanical, plumbing, electrical, windows, doors. Address of work to be performed:16585 Lake Cir DrBuilding 1Unit 117",Waiting on Applicant,0,ePlan,,-81.933709557501,26.499164822213,2022-10-01
New Concrete Slab for New Shed damaged by hurricane,Permit Expired,0,ePlan,,-81.819384034388,26.681380543022,2022-10-01
Air conditioning change out / like for like / 14 Seer 5 Kw 2.5 Ton,Payment Required,0,ePlan,,-81.918992066207,26.535430129408,2022-10-01
hvac change out 2.5 ton 14seer goodman,Closed-CC Issued,0,ePlan,,-81.724108218003,26.716042445971,2022-10-01
"roof, drywall, insulation, cabinets, trim, windows, electric and plumbing due to hurricane damage",Closed-CC Issued,0,Paper Submittal,,-81.859292529429,26.478887600874,2022-10-01
Remove and replace tile roof system.,Closed-Voided,0,ePlan,,-81.796927841192,26.554364867865,2022-10-01
Hurricane Ian Damage - Re-model,Closed-CC Issued,0,Paper Submittal,,-81.941765355506,26.481303561187,2022-10-01
"repairs from Hurricane Damage on 1st floor unitswork to include drywall, paint, flooring, mechanical, plumbing, electrical, windows, doors. Address of work to be performed:16585 Lake Cir Drbuilding 1unit 116",Waiting on Applicant,0,ePlan,,-81.933709557501,26.499164822213,2022-10-01
inground pool no deck,Closed-CC Issued,2,ePlan,,-81.896976712139,26.580447853253,2022-10-01
New Carport,Closed-CO Issued,0,Paper Submittal,,-81.67324118798,26.588783451516,2022-10-01
Emergency reconstruction of damage caused by hurricane Ian.,Closed-CC Issued,0,ePlan,,-81.95847719824,26.500916990471,2022-10-01
New pool screen enclosure,Closed-CO Issued,1,ePlan,,,,2022-10-01
100% Removal of single family home from the property.,Closed-CC Issued,0,ePlan,,-81.88938444776,26.538318592552,2022-10-01
INSTALL 4 TON 10 KW 14 SEER PKG REPLACEMENT,Closed-CC Issued,0,ePlan,,-81.935722005049,26.486630734281,2022-10-01
change the meter can,Closed-CC Issued,0,ePlan,,-81.739226095122,26.674951084406,2022-10-01
"inground pool, paver deck",Closed-CC Issued,3,ePlan,,-81.897021784003,26.580447853254,2022-10-01
Demo house and carport due to Ian,Closed-CC Issued,0,Paper Submittal,,,,2022-10-01
"DRYWALL, INSULATION, INTERIOT DOORS, CABINETS, ROOFING",Permit Issued,1,ePlan,,-81.732597217902,26.71657940714,2022-10-01
replacing meter pole due to Hurricane Ian,Closed-CC Issued,0,ePlan,,,,2022-10-01
"repairs from Hurricane Damage on 1st floor unitswork to include drywall, paint, flooring, mechanical, plumbing, electrical, windows, doors. Address of work to be performed:16585 Lake Cir DrBuilding 1Unit 115",Waiting on Applicant,0,ePlan,,-81.933709557501,26.499164822213,2022-10-01
Installation of 5 motorized roll down screens impact rated,Closed-CC Issued,0,ePlan,,-81.623589625884,26.614813736478,2022-10-01
revised product approvals,Closed-Revision Approved,3,ePlan,,,,2021-10-01
Remove and replace Tile Roof,Closed-CC Issued,0,ePlan,,-81.744716696801,26.687299678197,2022-10-01
Remove Ian destroyed home,Closed-Voided,0,ePlan,,,,2022-10-01
Remove and replace tile roof system.,Closed-CC Issued,0,ePlan,,,,2022-10-01
Wall outlets and one floor outlet needed to be changed out due to water damage from Ian,Closed-Voided,0,ePlan,,-81.948265014483,26.505396873035,2022-10-01
Rebuild 116 sq. ft. section of dock damaged by hurricane Ian.,Closed-CC Issued,0,ePlan,,-81.925942930812,26.546457037392,2022-10-01
REROOF,Closed-CC Issued,0,ePlan,,-81.811910853926,26.486581743586,2022-10-01
Hurricane Ian Damage - Re-model,Closed-CC Issued,1,Paper Submittal,,-81.948664058958,26.463087197411,2022-10-01
Inspected electrical for FPL power reconnect.,Permit Expired,0,ePlan,,-81.949028726236,26.460887399398,2022-10-01
Demo mobile home,Closed-CC Issued,0,Paper Submittal,,,,2022-10-01
New House Construction,Closed-CO Issued,4,ePlan,,-81.702953887886,26.593233032526,2022-10-01
"DRYWALL, INTERIOR DOORS, ELECTRICAL OUTLETS, CABINETS, PLUMBING AND INSULATION",Closed-CC Issued,1,ePlan,,-81.892578109259,26.512973227567,2022-10-01
Wireless antenna upgrade to existing cell tower,Closed-CC Issued,0,ePlan,,-81.919703252318,26.69690541634,2022-10-01
Tearoff/re-roof,Permit Expired,0,ePlan,,-81.914781491717,26.632250284562,2022-10-01
Replaced A/C @ Del Tura/ 6015 Tierra Entrada,Closed-CC Issued,0,ePlan,,-81.922736386506,26.738427993401,2022-10-01
Hurricane Ian - Replace Breakers in Service - No other work,Closed-CC Issued,0,ePlan,,-81.954650770786,26.465702138215,2022-10-01
"repairs from Hurricane Damage on 1st floor unitswork to include drywall, paint, flooring, mechanical, plumbing, electrical, windows, doors. Address of work to be performed:16585 Lake Cir DrBuilding 1Unit 114",Waiting on Applicant,0,ePlan,,-81.933709557501,26.499164822213,2022-10-01
"Windows, Roof, Siding and drywall , insulation Shingles FL39780 R1, Windows FL14104.8",Permit Expired,0,Paper Submittal,,,,2022-10-01
Like for like 5T package unit,Closed-CC Issued,0,ePlan,,-81.943422396476,26.501728619841,2022-10-01
"repairs from Hurricane Damage on 1st floor unitswork to include drywall, paint, flooring, mechanical, plumbing, electrical, windows, doors. Address of work to be performed:16585 Lake Cir DrBuilding 1Unit 113",Waiting on Applicant,0,ePlan,,-81.933709557501,26.499164822213,2022-10-01
Tile Reroof,Closed-CC Issued,0,ePlan,,-81.823787416395,26.543631212176,2022-10-01
Shingle Re-roof,Closed-CC Issued,0,ePlan,,-81.864384569729,26.686408506619,2022-10-01
Install 200AMP ATS and modules to control generator load.,Closed-CC Issued,0,ePlan,,,,2022-10-01
Re-roof,Closed-CC Issued,0,ePlan,,-81.964479016886,26.508728854217,2022-10-01
MASTER BATHROOM REMODEL,Closed-CC Issued,0,Paper Submittal,,-81.661132898298,26.607139923062,2022-10-01
"TEAR OFF OLD SHINGLE ROOF AND REROOF WITH NEW DIMENSIONAL SHINGLES AT 4014 AVENIDA DEL TURA, NORTH FORT MYERS",Closed-CC Issued,0,ePlan,,-81.916233994131,26.735253943062,2022-10-01
ELECTRICAL METER REPLACEMENT,Closed-CC Issued,0,ePlan,,,,2022-10-01
remove and replace tile roof,Closed-CC Issued,0,ePlan,,-81.845019401571,26.484681857786,2022-10-01
"REMOVE EXISTING CONCRETE TILE, FLAT ROOF AND UNDERLAYMENT, REPLACE WITH METAL ROOF TILE UNDERLAYMENT AND SINGLE PLY TPO",Closed-CC Issued,0,ePlan,,-81.956139317011,26.476092977663,2022-10-01
Applied Behavior Analysis (Behavior Therapy for Children),Closed-Cert of Use Issued,0,,,,,2022-10-01
Shingle Re-Roof,Closed-CC Issued,0,ePlan,,-81.692628631181,26.601496434743,2022-10-01
Hook up existing natural gas meter with line to new generator.,Closed-CC Issued,0,ePlan,,,,2022-10-01
