Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date
Reroofing Home,Closed-Withdrawn,0,ePlan,,-81.888223225429,26.490992512042,2023-03-01
"Correct permit address is for 19333 Summerlin Rd. Unit #49Remove and replace, like for like, 3 ton, 14.3 seer, 5 kw package air conditioning system.",Waiting on Applicant Updates,0,ePlan,,,,2023-03-01
Remove hurricane-damaged shingles and underlayment. Re-nail decking to code. Install self-adhered flashing and underlayment. Install shingles to manufactures specifications.,Closed-CC Issued,0,ePlan,,-81.908740234566,26.64078704225,2023-03-01
repair electrical outlets replace switches and out lets,Closed-Withdrawn,0,ePlan,,-81.947761023702,26.489931991947,2023-03-01
Remove asphalt shingles. Re-nail decking. Install double synthetic felt. Install dimensional shingles: Detatched Structure,Closed-CC Issued,0,ePlan,,-81.88877616446,26.514305958064,2023-03-01
Construction of New Single-Family Home,Closed-CO Issued,2,ePlan,,-81.699141236407,26.608326833129,2023-03-01
Remove and replace existing shingle roof*Inspections done by Private Provider- Coastal Code Services*,Closed-CC Issued,0,ePlan,,-81.570124728753,26.58799712189,2023-03-01
roof tear off and replaced with new,Closed-Withdrawn,0,ePlan,,-81.619170226644,26.600159720318,2023-03-01
Construction of New Duplex,Closed-CO Issued,3,ePlan,,-81.625340535744,26.675465240917,2023-03-01
New impact windows & SGD's,Closed-CC Issued,0,ePlan,,-81.891478387871,26.541756503421,2023-03-01
Tear off and Reroof,Closed-CC Issued,0,ePlan,,-81.821306245281,26.543476693641,2023-03-01
Construction of New Duplex,Closed-CO Issued,3,ePlan,,,,2023-03-01
SHINGLE REROOF,Closed-CC Issued,0,ePlan,,-81.665677878284,26.605968420615,2023-03-01
Homeowner wanted to add enphase smart switch for sunlight backup,Closed-Revision Approved,1,ePlan,,,,2023-03-01
HURRICANE IAN REPLACEMENT INSTALL OF MOBILE HOME,Closed-CO Issued,1,ePlan,,-81.874189692584,26.706476496665,2023-03-01
Include flat roof portion 16545.1,Closed-Revision Approved,1,ePlan,,-81.800527761699,26.469029097609,2023-03-01
Duct work and system change out.,Closed-Withdrawn,0,ePlan,,-81.907898528814,26.554437859951,2023-03-01
Hurricane damage Shingle Reroof. Tear off to decking and replace and damage. Install all underlayment and shingles to code.,Closed-CC Issued,0,ePlan,,-81.88731368663,26.578486810147,2023-03-01
Duct work and system change out,Closed-Withdrawn,0,ePlan,,-81.907898528814,26.554437859951,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. *Inspections Done By Private Provider â Apex Engineering Services*,Closed-CC Issued,0,ePlan,,-81.915308354921,26.550644192251,2023-03-01
Change in underlayment 19-0305.04,Closed-Voided,2,ePlan,,-81.636138607157,26.608272311006,2023-03-01
"Aluminum Screen Room with insulated roof#3"" over existing concrete",Closed-CO Issued,0,ePlan,,-81.904295086565,26.522139212918,2023-03-01
Duct work and system,Closed-Withdrawn,0,ePlan,,-81.907898528814,26.554437859951,2023-03-01
Interior Remodel and Addition of Porch and Storage Room.,Permit Expired,0,ePlan,,-81.626451399401,26.605523321994,2023-03-01
pool cage replacement,Closed-CO Issued,0,ePlan,,,,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. .*Inspections Done By Private Provider â Apex Engineering Services*,Closed-CC Issued,0,ePlan,,-81.915433534681,26.550545275381,2023-03-01
Duct work and system change,Closed-Withdrawn,0,ePlan,,-81.907898528814,26.554437859951,2023-03-01
Duct work and system changeout,Closed-Withdrawn,0,ePlan,,-81.907898528814,26.554437859951,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. Remove modified bitumen roof and install new TPO - *Inspections Done By Private Provider â Apex Engineering Services*,Closed-CC Issued,0,ePlan,,-81.913990066271,26.552006100559,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. Remove modified bitumen roof and install new TPO - *Inspections Done By Private Provider â Apex Engineering Services*,Closed-CC Issued,0,ePlan,,-81.913074951378,26.551624528512,2023-03-01
Duct work and system replacement,Closed-Withdrawn,0,ePlan,,-81.907898528814,26.554437859951,2023-03-01
tear off shingles and underlayment . Replace with new,Closed-CC Issued,0,ePlan,,-81.600074791277,26.565571335625,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. Remove modified bitumen roof and install new TPO - *Inspections Done By Private Provider â Apex Engineering Services*,Closed-CC Issued,0,ePlan,,-81.913040051946,26.551740216773,2023-03-01
Re-roof Shingle to Shingle,Closed-CC Issued,0,ePlan,,-81.704182107077,26.624979837786,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile.  *Inspections Done By Private Provider â Apex Engineering Services*,Closed-CC Issued,0,ePlan,,-81.914591946623,26.551081349905,2023-03-01
"Strip off old roof, Re-roof",Closed-Voided,0,ePlan,,-81.716746937855,26.626061393791,2023-03-01
Change Out,Closed-CC Issued,0,ePlan,,,,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile.  *Inspections Done By Private Provider â Apex Engineering Services*,Closed-CC Issued,0,ePlan,,-81.914719887637,26.551074607984,2023-03-01
Construction of New Single-Family Home,Closed-CO Issued,2,ePlan,,-81.669712655744,26.636526576537,2023-03-01
Re-Roof Shingle tear off,Closed-CC Issued,0,ePlan,,-81.740838208316,26.613993818451,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. Remove modified bitumen roof and install new TPO - *Inspections Done By Private Provider â Apex Engineering Services*,Closed-CC Issued,0,ePlan,,-81.913396514903,26.550648861016,2023-03-01
Residential Reroof,Closed-CC Issued,0,ePlan,,-82.140656610971,26.664394779198,2023-03-01
"Hurricane Damage. Reroof, Residing, Windows/Doors , Interior Repair. All work up to code.",Permit Expired,0,ePlan,,-81.954789505525,26.466903497717,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. Remove modified bitumen roof and install new TPO - *Inspections Done By Private Provider â Apex Engineering Services*,Closed-CC Issued,0,ePlan,,-81.913350351755,26.550763452384,2023-03-01
metal reroof,Closed-CC Issued,0,ePlan,,-81.868159635106,26.684738845664,2023-03-01
"Remove old equipment and dispose. Install new 2 ton 14.3 air handler to existing copper, drain, ductwork, and electrical. Install new T1 basic tstat inside home. Install new condenser to existing copper and electrical. Pull vacuum on system and release refrigerant into units.",Waiting on Applicant,0,ePlan,,-81.859080719595,26.491133143225,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. Remove modified Bitumen roof and install new TPO - *Inspections Done By Private Provider â Apex Engineering Services*,Closed-CC Issued,0,ePlan,,-81.913341119129,26.550648861015,2023-03-01
Interior remodel,Permit Expired,0,ePlan,,-81.858292816423,26.499040634613,2023-03-01
INSTALL (6) MANUAL ROLL UPS AND (3) ELECTRIC ARMOR SCREEN ROLL UPS,Closed-CC Issued,0,ePlan,,,,2023-03-01
LIKE FOR LIKE AC CHANGEOUT/ REPLACEMENTSPLIT SYSTEM 2.5 TON--- 16 SEER--- 5 KW,Closed-CC Issued,0,ePlan,,-81.899247498148,26.483359575855,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. Remove TPO roof and install new TPO - substrate is wood.,Closed-Voided,0,ePlan,,-81.915369741646,26.549872452651,2023-03-01
"Remove old equipment and dispose. Install new air handler to existing copper, drain, ductwork, and electrical. Install new T1 basic tstat inside home. Install new condenser to existing copper and electrical. Pull vacuum on system and release refrigerant into units.",Waiting on Applicant,0,ePlan,,-81.859185658167,26.491135200846,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. Remove TPO roof and install new TPO - substrate is wood.,Closed-Voided,0,ePlan,,-81.91530381226,26.54987245265,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. Remove TPO roof and install new TPO - substrate is wood.,Closed-Voided,0,ePlan,,-81.915270847567,26.549872452649,2023-03-01
"Installing 6 Storm Catcher Screens & 3 Panels *Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,0,ePlan,,,,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. Remove TPO roof and install new TPO - substrate is wood.,Closed-Voided,0,ePlan,,-81.915142747623,26.549757493258,2023-03-01
***CLOSED/WITHDRAWN***Install screen enclosure replacement,Closed-Withdrawn,0,ePlan,,-82.074328984065,26.635391250032,2023-03-01
"remove and replace roof, METAL to METAL**R01 Include flat roof**",Closed-CC Issued,1,ePlan,,-81.910853086939,26.672851003558,2023-03-01
Change 2 Stack Meter Can like for like,Closed-CC Issued,0,ePlan,,-81.955459375853,26.479252000405,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. Remove TPO roof and install new TPO *Inspections Done By Private Provider â Apex Engineering Services*,Closed-CC Issued,0,ePlan,,-81.915142747623,26.549756757219,2023-03-01
Change 2 Stack Meter Can like for like,Closed-CC Issued,0,ePlan,,-81.955472308659,26.479254723102,2023-03-01
INSTALLING ROOF MOUNTED SOLAR PHOTOVOLTAIC SYSTEM,Closed-CC Issued,0,ePlan,,-81.65527731435,26.622943987357,2023-03-01
SHINGLE RE ROOF AND TEAR OFF,Closed-CC Issued,0,Paper Submittal,,-81.806943507683,26.684000008821,2023-03-01
4 foot wood country style fence no gates,Closed-CC Issued,1,Paper Submittal,,,,2023-03-01
install 3 ton pkg 10 kw 13.4,Closed-CC Issued,0,ePlan,,-81.910214203659,26.700797980675,2023-03-01
Construction of New Single-Family Home,Closed-CO Issued,3,ePlan,,-81.669687632452,26.636526749409,2023-03-01
"Re-roof, tear-off - Metal",Closed-CC Issued,0,ePlan,,,,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. Remove TPO roof and install new TPO - substrate is wood.,Closed-Voided,0,ePlan,,-81.915312358665,26.549757861281,2023-03-01
remove and replace roof tile to tile,Closed-CC Issued,1,ePlan,,-81.871763569462,26.509072217368,2023-03-01
"ADDING RE-ROOF- NOA:22-0429.02 EXP:12/01/2025, NOA:21-1217.02 EXP:09/13/2027,NOA22-0706.09 10-11-2027 $9000",Closed-Revision Approved,1,Paper Submittal,,-81.799955517458,26.690104524068,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. Remove TPO roof and install new TPO - substrate is wood.,Closed-Voided,0,ePlan,,-81.915291603117,26.549757861281,2023-03-01
SHINGLE RE ROOF,Closed-CC Issued,0,Paper Submittal,,-81.69125419216,26.612630001266,2023-03-01
New Single Family Home,Closed-CO Issued,569,ePlan,,,,2023-03-01
Replace old system with a new 4 ton 15 seer split system,Closed-CC Issued,0,ePlan,,-81.735197354204,26.584984573158,2023-03-01
Install screen enclosure due to hurrican Ian,Closed-CO Issued,0,ePlan,,-81.901639421568,26.49893691873,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. Remove TPO roof and install new TPO - *Inspections Done By Private Provider â Apex Engineering Services*,Closed-CC Issued,0,ePlan,,-81.915270847499,26.54975786128,2023-03-01
Furnish and Install 1x200A AT'S for a 24kw Generac Air Cooled Unit,Closed-CC Issued,0,ePlan,,-81.918607013105,26.765386078636,2023-03-01
shingle reroof,Closed-CC Issued,0,ePlan,,-81.898851292502,26.723594329385,2023-03-01
RV placement for temporary housing due to hurricane Ian,Permit Issued,0,Paper Submittal,,-81.833275313894,26.505389812605,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. Remove TPO roof and install new TPO - substrate is wood.,Closed-Voided,0,ePlan,,-81.914153267997,26.549975462199,2023-03-01
NEW SINGLE FAMILY HOME,Closed-CO Issued,2,ePlan,,-81.896004496329,26.686296827019,2023-03-01
"Installing 2 Storm Catcher Rolldown Screens MOT *Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,0,ePlan,,,,2023-03-01
Remodel,Closed-CC Issued,3,ePlan,,,,2023-03-01
shingle reroof,Closed-CC Issued,0,ePlan,,-81.842957720583,26.700744697589,2023-03-01
Construction of a new Single Family Residence *Inspections Done By Private Provider â eAtlantic Engineering*,Closed-CO Issued,2,ePlan,,-81.682434942292,26.678455415425,2023-03-01
Reroof Tear off old roof. put down underlayment. dispose of debris. Apply new shingle,Closed-CC Issued,0,ePlan,,-81.708077726419,26.61505965269,2023-03-01
Remove Stone coated metal and install 2-ply polyglass and concrete tile. Remove TPO roof and install new TPO*Inspections Done By Private Provider â Apex Engineering Services*,Closed-CC Issued,0,ePlan,,-81.914152693641,26.549971728884,2023-03-01
"Aluminum Canopy on the back side of the house. Includes insulated EPS panels, gutters, and downspouts.",Closed-CC Issued,0,ePlan,,-81.633471004024,26.599599344994,2023-03-01
Replace front Lanai and rear screen room,Closed-CC Issued,0,ePlan,,,,2023-03-01
PV Solar Panel Installation Roof Mounted,Closed-CC Issued,0,ePlan,,-81.886635266284,26.680588971907,2023-03-01
shingle reroof-7635 garage,Closed-CC Issued,0,ePlan,,-81.82304228003,26.484959644189,2023-03-01
Interior remodel due to hurricane,Closed-CC Issued,0,Paper Submittal,,-81.864676967569,26.682848319824,2023-03-01
REPLACE HVAC SPLIT SYSTEM2 TON - 14.3 SEER2 - 5 KWLIKE FOR LIKE,Closed-CC Issued,0,ePlan,,,,2023-03-01
Reroof shingle to shingle,Closed-CC Issued,0,ePlan,,-81.807653339398,26.477333270433,2023-03-01
New Single Family Home,Closed-CO Issued,2,Paper Submittal,,-81.902809648145,26.744517812778,2023-03-01
