Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date
New Construction,Closed-Voided,0,ePlan,,-81.625060189855,26.629348075597,2022-08-01
296' of 4' CL w/ one 12' double drive gate.,Closed-CC Issued,0,ePlan,,-81.665028989854,26.667180615392,2022-08-01
338' of 6' CL w three gate openings.,Closed-CC Issued,0,ePlan,,-81.623876891425,26.632664329227,2022-08-01
"220' of 6' wood privacy w/ one 60"" walk gate.",Closed-CC Issued,0,ePlan,,-81.684477276269,26.607616100671,2022-08-01
Replace AC system like for like,Closed-CC Issued,0,ePlan,,-81.832289343389,26.538452231181,2022-08-01
RE-ROOFING SHINGLES TO SHINGLES,Permit Expired,0,ePlan,,-81.623700422462,26.543826240299,2022-08-01
Install 1 non-illuminated wall sign,Closed-CC Issued,0,ePlan,,-81.939682393894,26.508842021312,2022-08-01
Build steel building for storage with concrete slab,Closed-Withdrawn,0,ePlan,,-81.821017701571,26.725524023394,2022-08-01
NEW CONSTRUCTION - SINGLE FAMILY RESIDENCE,Closed-CO Issued,3,ePlan,,-81.673458970492,26.649394422422,2022-08-01
Installation of 6' White Vinyl Privacy fence with 1 gate,Closed-CC Issued,0,ePlan,,-81.709573094721,26.673438106799,2022-08-01
"Enclosure existing lanai covered, Install 2 windows and 2 doors",Closed-Voided,0,ePlan,,-81.69622395582,26.683688070164,2022-08-01
Tear off and reroof with shingles.,Closed-CC Issued,0,ePlan,,-81.674218879428,26.679057386413,2022-08-01
4' HIGH PVC OPEN PICKET FENCE WITH NO GATES.,Closed-CC Issued,0,ePlan,,,,2022-08-01
Modify existing telecommunications euqipment--Excalibur (6FM1094B),Closed-CC Issued,0,ePlan,,-81.683279887808,26.617719446876,2022-08-01
Roof Mounted Solar Panel Installation  w/service change,Closed-CC Issued,1,ePlan,,-81.6581438907,26.542511738235,2022-08-01
Installation of hood suppression system,Closed-CC Issued,5,ePlan,,-81.907327473056,26.506669192141,2022-08-01
INSTALL 4 TON 10 KW 14 SEER PKG REPLACEMENT,Closed-CC Issued,0,ePlan,,-81.86887640252,26.694871415667,2022-08-01
Reroof. Tear off existing shingles & replace with new.,Closed-CC Issued,0,ePlan,,-81.846933362454,26.694850393625,2022-08-01
"New Single Family Residence  *Inspections Done By Private Provider, Universal Engineering*",Closed-CO Issued,185,ePlan,,,,2022-08-01
INSTALLATION OF SOLAR PV SYSTEM TO ROOFTOP,Permit Expired,0,ePlan,,-81.93655624786,26.752612616039,2022-08-01
"Installing ten (10) new awnings under building permit number COM2022-01323. Each awning will have a gold vinyl ""Jared"" logo on the valance.",Closed-Voided,1,ePlan,,-81.87048522535,26.547913939539,2022-08-01
"***R01*** UPGRADE THE EQUIPMENT, SEER RATING, AND CAPACITY",Closed-Revision Approved,6,ePlan,,-81.74612604992,26.476666137391,2021-08-01
16' x 36' Open Carport,Waiting on Applicant,0,ePlan,,-82.11835558186,26.630912827303,2022-08-01
Reroof. Tear off existing shingle & replace with new.,Closed-CC Issued,0,ePlan,,,,2022-08-01
Re-Build  56 ft x 12 ft  Carport  destroyed in Tornado with new Code Compliant Panels,Closed-Withdrawn,0,ePlan,,-81.957661830298,26.504143905195,2022-08-01
Riser rated cat6 cabling & RG6 COAX cable,Closed-CC Issued,3,ePlan,,,,2022-08-01
Re Roof,Permit Expired,0,ePlan,,-81.58713667009,26.611357514281,2022-08-01
Carport,Closed-CO Issued,0,ePlan,,-81.663286804275,26.641920013126,2022-08-01
