"Record Number","Address","Description","Status","Related Records","Submittal Type",
"MEC2022-10434","20041 SANIBEL VIEW CIR, 202, FORT MYERS FL 33908","Replace split system","Permit Expired","0","ePlan",
"ROF2022-15731","15018 BONAIRE CIR, FORT MYERS FL 33908","RE ROOF SHINGLE TO METAL/FLAT SECTION ROLL TO ROLL (MODBIT)","Closed-CC Issued","0","ePlan",
"ROF2022-15730","1018 APPLE AVE, LEHIGH ACRES FL 33971","RE ROOFSHINGLE TO SHINGLE","Closed-CC Issued","0","ePlan",
"ROF2022-15729","11520 ARIANA DR, FORT MYERS FL 33908","Remove existing roofing system. Install peel n stick underlayment and GAF HDZ shingles","Closed-CC Issued","0","ePlan",
"RES2022-14783","19 NANCY LN, FORT MYERS BEACH FL 33931","Hurricane Disaster Repair/Replacing cabinets, flooring, insulation.  Rewire damaged wires due to hurricane damage.","Closed-Voided","0","ePlan",
"ROF2022-15728","3105 KAREN AVE S, LEHIGH ACRES FL 33976","remove existing shingle roofing system. Install peel n stick underlayment and Atlas pinnacle shingles","Closed-CC Issued","0","ePlan",
"RES2022-14782","53 PRIMERO LN, FORT MYERS FL 33908","Remodel due to hurricane Ian - 53 Primero","Closed-CC Issued","0","ePlan",
"MEC2022-10433","12621 KELLY SANDS WAY, 301, FORT MYERS FL 33908","Replace split system","Closed-Withdrawn","0","ePlan",
"COM2022-02825","1835 THE THOMPSONS WAY, LEHIGH ACRES FL 33972","modify existing telecommunciatiosn equipment-Excalibur (6FM1214)","Closed-CC Issued","0","ePlan",
"MEC2022-10432","20041 SANIBEL VIEW CIR, 203, FORT MYERS FL 33908","Replace split system","Closed-CC Issued","0","ePlan",
"MRV2022-00453","19333 SUMMERLIN RD, FORT MYERS FL 33908","Remodel due to hurricane Ian","Closed-Voided","0","ePlan",
"MEC2022-10431","2861 EIGHTH AVE, SAINT JAMES CITY FL 33956","5 Ton split system changeout","Closed-CC Issued","0","ePlan",
"ROF2022-15727","2838 CLOISTER ST, NORTH FORT MYERS FL 33903","SHINGLE RE ROOF: 18SQS2 (2X4) SKYLIGHT REPLACEMENTS","Closed-CC Issued","0","ePlan",
"ROF2022-15726","2216 PIGEON PLUM WAY, NORTH FORT MYERS FL 33917","SHINGLE RE ROOF: 28SQS","Closed-CC Issued","0","ePlan",
"MRV2022-00452","17340 SAN CARLOS BLVD, FORT MYERS BEACH FL 33931","rebuild after hurracane","Closed-Voided","0","ePlan",
"MEC2022-10430","3321 SUNSET KEY CIR, 603, PUNTA GORDA FL 33955","3.5 ton split system change out","Closed-CC Issued","0","ePlan",
"MEC2022-10429","3333 SUNSET KEY CIR, 707, PUNTA GORDA FL 33955","replace split system","Closed-CC Issued","0","ePlan",
"ELE2022-05471","5735 SPRINGFIELD AVE, BOKEELIA FL 33922","replace power pole for mobile home due to hurricane Ian","Closed-Voided","0","ePlan",
"RES2022-14781","1923 WANDA AVE N, LEHIGH ACRES FL 33971","30x50 garage lap siding","Closed-CO Issued","0","ePlan",
"DEM2022-02058","7152 REYMOOR DR, NORTH FORT MYERS FL 33917","HURRICANE IAN DAMAGE!!!!DEMOLISH HOUSE AND GAZEBO AND HAUL AWAY DEBRIS","Closed-CC Issued","0","ePlan",
"MEC2022-10428","2205 DELTA ST, FORT MYERS FL 33907","replace split system","Closed-CC Issued","0","ePlan",
"TMP2022-00699","13650 GANNET DR, FORT MYERS FL 33908","301 TEMP POLE","Closed-Voided","0","ePlan",
"TMP2022-00698","13650 GANNET DR, FORT MYERS FL 33908","Temporary RV  due to Ian","Permit Issued","0","ePlan",
"RES2022-14780","1307 DAYTON AVE, LEHIGH ACRES FL 33972","Single family residential home","Closed-CO Issued","2","ePlan",
"ROF2022-15725","4520 21ST ST SW, LEHIGH ACRES FL 33973","Re-Roofing","Closed-Withdrawn","0","ePlan",
"RES2022-14779","6079 PLUMOSA AVE, FORT MYERS FL 33908","Interior Remodel.","Closed-CC Issued","0","ePlan",
"COM2022-02824","3338 NORTH KEY DR, 2, NORTH FORT MYERS FL 33903","Interior Remodel","Permit Expired","0","ePlan",
