Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date
New screen enclosure with flat aluminum roof,Closed-CO Issued,1,ePlan,,-81.890729897221,26.563444550973,2022-07-01
Reroof Shingles,Closed-CC Issued,0,ePlan,,-81.601100694024,26.603851843634,2022-07-01
Install New Mobile Home,Ready-Documents Required,2,ePlan,,-81.796565011992,26.67022702367,2022-07-01
Install New Mobile Home,Closed-CO Issued,3,ePlan,,-81.797547089487,26.669545455788,2022-07-01
Install New Mobile Home,Ready-Documents Required,2,ePlan,,-81.796681627484,26.670211812956,2022-07-01
Install New Mobile Home,Closed-CO Issued,1,ePlan,,-81.797261048985,26.67013148637,2022-07-01
Install New Mobile Home,Ready-Documents Required,2,ePlan,,-81.79800670582,26.669508388284,2022-07-01
Install New Mobile Home,Permit Expired,2,ePlan,,-81.79789454481,26.669511251804,2022-07-01
Install New Mobile Home,Permit Expired,2,ePlan,,-81.797658961754,26.669534235512,2022-07-01
install new mobile home,Closed-CO Issued,4,ePlan,,-81.797430977004,26.669566567146,2022-07-01
Install New Mobile Home,Permit Expired,2,ePlan,,-81.797198752039,26.669608789863,2022-07-01
Install New Mobile Home,Closed-CC Issued,3,ePlan,,-81.796961594857,26.66964645157,2022-07-01
Flat Reroof,Closed-Withdrawn,0,ePlan,,,,2022-07-01
Shingle Reroof,Closed-CC Issued,0,ePlan,,-81.908181260393,26.660567491858,2022-07-01
AFTER WORK PERMIT APPLICATION A DIFFERENT CONTRACTOR PERFORMED WORK WITHOUT A PERMIT,Closed-Voided,0,ePlan,,,,2022-07-01
replace condenser only,Closed-CC Issued,0,ePlan,,-81.726725457271,26.652962986205,2022-07-01
Like for lie change out of condenser and air handler,Closed-CC Issued,0,ePlan,,-81.627712368653,26.67131771863,2022-07-01
replace split system,Closed-CC Issued,0,ePlan,,-81.614731548515,26.60560986669,2022-07-01
"Installation of Elite Aluminum Panel Roof over existing 4"" concrete slab.",Closed-CO Issued,0,ePlan,,-81.656839801495,26.605543886883,2022-07-01
install 4 feet high fence around back yard for kids play area,Closed-CC Issued,0,ePlan,,-81.57867439629,26.619004704281,2022-07-01
Deck and Screen room,Closed-CO Issued,0,ePlan,,-81.791843652903,26.693046774076,2022-07-01
Change out ac system,Closed-CC Issued,0,ePlan,,-82.010489768731,26.485606731042,2022-07-01
Change out of ac,Closed-CC Issued,0,ePlan,,-81.748495760682,26.596718717978,2022-07-01
MODIFY EXISTING POOL SCREEN ENCLOSURE FOR PANORAMIC OPENING,Closed-CO Issued,0,ePlan,,-81.88134553811,26.535206589124,2022-07-01
Install Hurricane Protection on 2 Openings.,Closed-CC Issued,0,ePlan,,-81.914640956971,26.765709345947,2022-07-01
EMERGENCY!!!! Replace pole and meter combo due to lightning strike and breaker disconnect under meter base burnt up.,Closed-CC Issued,0,ePlan,,,,2022-07-01
Install a round pool in my backyard 18',Payment Required,1,ePlan,,-81.713736975052,26.626611148528,2022-07-01
"Installing 1 motorized roll down screen and 1 manual roll down screen***INSPECTIONS DONE BY PRIVATE PROVIDER-INNOVATIVE CONSTRUCTION INSPECTION, INC***",Closed-CC Issued,0,ePlan,,-81.726480668823,26.46920017124,2022-07-01
