"Record Number","Address","Description","Status","Related Records","Submittal Type",
"ROF2022-07140","14580 Ocean Bluff Dr, FORT MYERS FL 33908","Re-roof tile to tile","Closed-CC Issued","1","ePlan",
"OPN2022-03520","5688 BOLLA CT, FORT MYERS FL 33919","REPLACE 4 WINDOWS WITH IMPACT, SIZE FOR SIZE.","Closed-CC Issued","0","ePlan",
"SOL2022-01923","100 FLOYD AVE S, LEHIGH ACRES FL 33976","FULL PV SOLAR INSTALLATION ROOF MOUNTED","Closed-CC Issued","0","ePlan",
"FNC2022-02854","1930 VILLIA ST, LEHIGH ACRES FL 33972","Install black chain link fence around backyard beginning at the front of the home building structure.","Waiting on Applicant","0","ePlan",
"SOL2022-01922","4106 34TH ST SW, LEHIGH ACRES FL 33976","INSTALLING ROOF MOUNTED SOLAR PHOTOVOLTAIC SYSTEM","Closed-Withdrawn","0","ePlan",
"SOL2022-01921","12591 FAIRINGTON WAY, FORT MYERS FL 33913","roof mounted solar pv system*Private Provider & Inspections Done By Private Provider – Inspection Solutions*","Closed-CC Issued","0","ePlan",
"ROF2022-07139","3916 5TH ST SW, LEHIGH ACRES FL 33976","REROOF SHINGLE ROOF TO SHINGLE ROOF-Hurricane Ian","Closed-CC Issued","0","ePlan",
"ROF2022-07138","10051 ALICO RD, FORT MYERS FL 33913","Emergency Roof Replacement from Hurricane Ian","Closed-CC Issued","0","ePlan",
"SOL2022-01920","915 DIXIE AVE, LEHIGH ACRES FL 33972","Roof mounted solar system.","Closed-CC Issued","0","ePlan",
"POL2022-01392","3092 HERITAGE PINES DR, FORT MYERS FL 33905","POOL SPA AND DECK","Closed-CC Issued","1","ePlan",
"POL2022-01391","13577 HERITAGE PRESERVE DR, FORT MYERS FL 33905","POOL SPA AND DECK","Closed-CC Issued","4","ePlan",
"POL2022-01390","13529 HERITAGE PRESERVE DR, FORT MYERS FL 33905","POOL SPA AND DECK","Closed-CC Issued","4","ePlan",
"OPN2022-03519","13973 VILLAGE CREEK DR, FORT MYERS FL 33908","REPLACE 1 DOOR WITH IMPACT, SIZE FOR SIZE. R01****Adding 1 additional door","Closed-CC Issued","1","ePlan",
"POL2022-01389","13585 HERITAGE PRESERVE DR, FORT MYERS FL 33905","POOL SPA AND DECK","Closed-CC Issued","1","ePlan",
"SGN2022-00528","17830 BEN HILL GRIFFIN PKWY, FORT MYERS FL 33913","TENANT PANEL GRAPHICS FOR MCDONALD'S","Closed-CC Issued","0","ePlan",
"OPN2022-03518","3283 SEVENTH AVE, SAINT JAMES CITY FL 33956","REPLACE 10 WINDOWS WITH IMPACT, SIZE FOR SIZE","Closed-CC Issued","0","ePlan",
"RES2022-09504","831 WABASH ST, LEHIGH ACRES FL 33974","The project consists in the construction of a new single-family residence (1 story) with an approximate area of 2000 s.f.","Closed-Withdrawn","0","ePlan",
"SOL2022-01919","4017 13TH ST W, LEHIGH ACRES FL 33971","INSTALL ROOF MOUNTED PV SOLAR SYSTEM","Closed-CC Issued","0","ePlan",
"OPN2022-03517","1402 GRAHAM CIR, LEHIGH ACRES FL 33936","REPLACE 8 WINDOWS WITH IMPACT, SIZE FOR SIZE.","Closed-CC Issued","0","ePlan",
"OPN2022-03516","1120 ATHERTON AVE, LEHIGH ACRES FL 33971","REPLACE 4 WINDOWS WITH IMPACT, SIZE FOR SIZE.","Closed-CC Issued","0","ePlan",
"RES2022-09503","2703 E 17TH ST, LEHIGH ACRES FL 33972","New single family home","Waiting on Applicant","1","ePlan",
"OPN2022-03515","18155 HILDA DR, FORT MYERS FL 33967","REPLACE 11 WINDOWS WITH IMPACT SIZE FOR SIZE","Closed-CC Issued","0","ePlan",
"OPN2022-03514","9164 HAMLIN RD E, FORT MYERS FL 33967","REPLACE 10 WINDOWS WITH IMPACT SIZE FOR SIZE","Closed-CC Issued","0","ePlan",
"RES2022-09502","13474 CARIBBEAN BLVD, FORT MYERS FL 33905","Construction of New Single Family Home","Permit Expired","2","ePlan",
"MEC2022-06634","2301 FLORA AVE, FORT MYERS FL 33907","Rheem, 2.5 Tons 14 seer 8.79KW","Permit Expired","0","ePlan",
"MEC2022-06633","1721 CLUB HOUSE RD, NORTH FORT MYERS FL 33917","Goodman 3 Tons 14 Seer 10.55 KW Straight Cool *Inspections Done By Private Provider – Inspected.com*","Closed-CC Issued","0","ePlan",
"COM2022-01458","2718 4TH ST W, LEHIGH ACRES FL 33971","New Tires Plus Store","Closed-Withdrawn","4","ePlan",
"MEC2022-06632","6997 HIGHLAND PARK CIR, FORT MYERS FL 33966","Straight Cool - Goodman 3.5 Tons, 14 Seer, 12.3 KW*Inspections Done By Private Provider – Inspected.com*","Closed-CC Issued","0","ePlan",
"MEC2022-06631","3510 ODYSSEA CT, NORTH FORT MYERS FL 33917","2 Ton 14 Seer 8.79 KW Straight Cool system, *Inspections Done By Private Provider – Inspected.com*","Closed-CC Issued","0","ePlan",
"SOL2022-01918","11730 RANCHETTE RD, FORT MYERS FL 33966","Roof Top Solar Panel Install 28.440 kW 72 panels and Miro inverter","Closed-Withdrawn","0","ePlan",
