Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date
RECORD USED FOR BATCH SCRIPT PROCESSING / CLEAN UP OF RECORD DATA VIA CSV FILES,Closed-Voided,0,Paper Submittal,,,,2023-08-01
Reroof shingle to shingle,Closed-CC Issued,0,ePlan,,-81.681941387479,26.606849639396,2023-08-01
RE-ROOFING CONCRETE TILE TO CONCRETE TILE,Permit Expired,0,ePlan,,-81.90834853002,26.762978904535,2023-08-01
2 air conditioning change out / like for like *Inspections Done By Private Provider â Universal Engineering*,Permit Expired,0,ePlan,,-81.913098812266,26.564851140735,2023-08-01
Single family construction.,Permit Expired,2,ePlan,,-81.571516240877,26.618660026364,2023-08-01
672' of 4' CL w/ no gates,Closed-CC Issued,0,ePlan,,-81.598937555582,26.65135685656,2023-08-01
"hook up water and drain for espresso machine, ice machine, cup wash station, coffee maker , hand sink, dump bins. pipe all drains to floor sinks. install hammer / shock arrestors where needed.",Closed-CC Issued,0,ePlan,,-81.871111923794,26.534765351036,2023-08-01
RE-ROOF-FLAT ROOF,Waiting on Applicant,0,ePlan,,-81.634043279067,26.607022273539,2023-08-01
Physical Therapy and Massage Therapy Clinic will be occupying 2 rooms in the unit.,Permit Expired,0,,,-81.971187174009,26.497259523353,2023-08-01
RE/ROOF ASHPHALT SHINGLES,Closed-CC Issued,0,ePlan,,,,2023-08-01
"Network cabling for phone, computer and cameras",Closed-CC Issued,2,ePlan,,-81.816472525228,26.54084230377,2023-08-01
Hurricane Ian Replacement Installation of Doublewide,Waiting on Applicant,1,ePlan,,-81.840617888626,26.477051267156,2023-08-01
"Add 14 openings using14604.5, add 2 openings using 17162.1, Add 1 opening using 22363.2, Add 1 opening using 17379.3",Closed-Revision Approved,1,ePlan,,-81.832468880802,26.525568095321,2023-08-01
Add 8 windows using 16412.3,Closed-Revision Approved,1,ePlan,,-82.145796265158,26.691162984018,2023-08-01
Add 7 openings using 16412.3,Closed-Revision Approved,1,ePlan,,-81.813264592003,26.559323374532,2023-08-01
6' white vinyl fence with gates,Closed-CC Issued,0,ePlan,,,,2023-08-01
"Add 10 openings using 16412.3, Add 2 openings using 14608.3",Closed-Revision Approved,1,ePlan,,,,2023-08-01
"Re-Roof/ Remove & Replace 18 sq ft of existing shingle roof. Install new underlayment, dripedges and shingles.",Closed-CC Issued,0,ePlan,,-81.585616535311,26.557457251233,2023-08-01
"Install 250 gallon LP tank buried with tie downs and anode, 70' underground gas line from tank to house inlet and portable generator location, install regulators, 1-quick connect hose assembly for generator, line through cabinets for range and final connections",Closed-CC Issued,0,ePlan,,,,2023-08-01
"Run/Walk race that will be 3.1miles. There will be a ceremony at the start of the race that will last about 15 minutes. Refreshment will be provided after the race for the participants, volunteers & spectators. On September 9, 2023 from 6:30AM until 11:30AM",Permit Expired,0,Paper Submittal,,-81.886539679014,26.556839408703,2023-08-01
Remove 2 openings impact panels and add 1 SGD using 14605,Closed-Revision Approved,1,ePlan,,-81.900858726315,26.523635428194,2023-08-01
Replacement Screen Enclosure,Closed-CC Issued,0,ePlan,,-81.847089038658,26.476228664927,2023-08-01
"Add 2 openings using 16412.3, Add 1 opening using 14608.3",Closed-Revision Approved,1,ePlan,,-81.756190414731,26.602357845765,2023-08-01
"T/O Old roof, Re-nail to code. Install SA High-Temp underlayment. Install new drip edge/flashings. Install Rib Panel metal to deck per manufactures recommendation's/approvals",Closed-CC Issued,0,ePlan,,,,2023-08-01
RE-ROOF SHINGLES HURRICANE DAMAGE,Closed-CC Issued,0,ePlan,,-81.710775339483,26.619615839268,2023-08-01
Approved 3PS sign off for Publix liquor store #1826,Closed-Completed,0,Paper Submittal,,,,2023-08-01
"Add 6 openings using FL16412.3, 2 openings using 16804.5, 1 opening using 16804.5, 1 opening using 14609.5, 2 SGD using 14605",Closed-Revision Approved,1,ePlan,,-82.050830855897,26.639796698443,2023-08-01
"Add 4 openings using FL16804.3, Add 5 openings using 16412.3, Add 4 openings using 14608.3, Add 1 sgd using FL27113.12, Add 3 sidelights FL20468.9",Closed-Revision Approved,1,ePlan,,,,2023-08-01
16 windows using FL14604.5 and 2 openings using FL17162.1,Closed-Revision Approved,1,ePlan,,-81.811094500209,26.522914074573,2023-08-01
Complete demolition of all structures including parking lot.,Closed-CC Issued,0,ePlan,,-81.951384286046,26.465421045064,2023-08-01
Add 1 SGD FL27113.12,Closed-Revision Approved,1,ePlan,,-81.910176599157,26.496571846122,2023-08-01
hurricane ian demo,Closed-CC Issued,0,ePlan,,-81.860979271561,26.678866983138,2023-08-01
AC REPLACEMENT LIKE FOR LIKE (SPLIT SYSTEM),Closed-CC Issued,0,ePlan,,,,2023-08-01
Add 3 openings with FL16412.3,Closed-Revision Approved,1,ePlan,,-81.91775475751,26.534501896787,2023-08-01
Set and anchor to ground an 8x6 DCA Shed for storage.,Closed-CO Issued,0,ePlan,,-81.887559620235,26.675546970034,2023-08-01
Septic site plan corrected,Closed-Revision Approved,3,ePlan,,-81.665458291705,26.589903386483,2023-08-01
Fitout - Varsity Crossing Retail,Closed-CO Issued,11,ePlan,,,,2023-08-01
