Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date
12x30 Shed,Closed-CO Issued,0,ePlan,,-81.662904537293,26.596233002029,2023-04-01
re roof with dimensional shingle,Closed-CC Issued,0,ePlan,,-81.662822125161,26.622647557159,2023-04-01
Demo,Closed-CC Issued,0,ePlan,,,,2023-04-01
Demo,Closed-CC Issued,0,ePlan,,-81.967285155416,26.501468867427,2023-04-01
"revised the Typical Wall Section to show the Piling and Grade Beam and rev-clouded it, changing FFE of house",Closed-Revision Approved,8,ePlan,,-81.736607596374,26.718701330687,2021-04-01
New Roof System/ **R01**Change from metal to shingle 21-1209.01,Closed-CC Issued,1,ePlan,,-81.709837768352,26.655323770626,2023-04-01
FLAT ROOF INSTALLATION (TPO),Closed-CC Issued,0,ePlan,,-81.896473701213,26.706046267742,2023-04-01
Park Model Tie Down,Waiting on Applicant,1,ePlan,,-81.953319828586,26.458106885443,2023-04-01
Pool addition to the home,Permit Expired,1,Paper Submittal,,-81.639135691546,26.625448413661,2023-04-01
Revised site plan push house away from street,Closed-Revision Approved,4,ePlan,,,,2023-04-01
Revised engineering picture window to back wall no footprint change,Closed-Revision Approved,1,ePlan,,-81.913683203438,26.534749881997,2023-04-01
Revised window schedule and product approval to show impact glass front elevation and shutters on side and rear elevation,Closed-Revision Approved,4,ePlan,,,,2022-04-01
Hurricane IanRe-Roof Shingle 2435 Sq ft No Flat5/12,Closed-CC Issued,0,ePlan,,-81.624193161893,26.561037593922,2023-04-01
6' Privacy Wood Fence Perimeter of Yard.,Closed-CC Issued,0,ePlan,,-81.861478035607,26.701212439738,2023-04-01
Revision: from shingle roof metal to single ply tpo,Waiting on Applicant,1,ePlan,,-81.940403787329,26.501879461553,2023-04-01
Changeout 5 Ton Package unit and 5 Ton Split system,Permit Expired,0,ePlan,,,,2023-04-01
"MANSARD REROOF ONLY - ShinglesTear off Address: 1165 Palm Ave, North Fort MyersBuilding 6 - Units 6A, 6B, 6C, 6D",Closed-CC Issued,0,ePlan,,-81.891205925032,26.665348069679,2023-04-01
