"Record Number","Address","Description","Status","Related Records","Submittal Type",
"COM2022-02353","11841 VENETIAN LAGOON DR, BLDG 10, FORT MYERS FL 33913","Vercelli Bldg 10, 8 Unit Multifmaily","Closed-CO Issued","40","ePlan",
"ELE2022-04922","3394 STRINGFELLOW RD, SAINT JAMES CITY FL 33956","replace meter, riser, weather head and se wire that were damaged in the hurricane","Closed-CC Issued","0","ePlan",
"ELE2022-04921","8708 WHISPERING PINES DR, SAINT JAMES CITY FL 33956","TEMP SERVICE FOR FEMA TRAILER","Closed-Voided","0","ePlan",
"COM2022-02352","11831 VENETIAN LAGOON DR, BLDG 9, FORT MYERS FL 33913","Vercelli Bldg 9,8 Plex Multi Family, 11831 Venetian Lagoon","Closed-CO Issued","40","ePlan",
"RES2022-12790","20 GLENMONT DR W, NORTH FORT MYERS FL 33917","temp pole for fema trailer","Closed-Voided","0","ePlan",
"RES2022-12789","17610 PRIMROSE CT, FORT MYERS BEACH FL 33931","Roof over home, due to hurricane damage.","Closed-Voided","0","ePlan",
"ROF2022-12210","8109 BOONESBORO RD, NORTH FORT MYERS FL 33917","HURRICANE IAN REROOF OF BARN  - Douglas","Permit Expired","0","ePlan",
"COM2022-02351","80 PONDELLA RD, NORTH FORT MYERS FL 33903","RE-ROOFING THE BACK PORTION OF THE BUILDING WITH SHINGLES.","Closed-Voided","0","ePlan",
"RES2022-12788","2424 ANSEL AVE S, LEHIGH ACRES FL 33973","New construction duplex *R01 - ***Revision to change impact resistance glazing to Impact Resistant Covering ***","Closed-CO Issued","3","ePlan",
"COM2022-02350","15466 ADMIRALTY CIR, 2, NORTH FORT MYERS FL 33917","Replace already removed drywall, up to approx 3' off floor","Closed-Withdrawn","0","ePlan",
"COM2022-02349","15464 ADMIRALTY CIR, 4, NORTH FORT MYERS FL 33917","Replace already removed drywall, approx 3' off the floor, due to water damage from Hurricane Ian. Also repair/replace flooring and replace damaged cabinets","Closed-CC Issued","0","ePlan",
"DEM2022-01316","7820 EBSON DR, NORTH FORT MYERS FL 33917","Demolition and remove","Closed-CC Issued","0","ePlan",
