Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date
"Vercelli Bldg 10, 8 Unit Multifmaily",Closed-CO Issued,40,ePlan,,,,2022-11-01
"replace meter, riser, weather head and se wire that were damaged in the hurricane",Closed-CC Issued,0,ePlan,,,,2022-11-01
TEMP SERVICE FOR FEMA TRAILER,Closed-Voided,0,ePlan,,,,2022-11-01
"Vercelli Bldg 9,8 Plex Multi Family, 11831 Venetian Lagoon",Closed-CO Issued,40,ePlan,,,,2022-11-01
temp pole for fema trailer,Closed-Voided,0,ePlan,,-81.875728734714,26.674225811807,2022-11-01
"Roof over home, due to hurricane damage.",Closed-Voided,0,ePlan,,-81.93674342594,26.485652868709,2022-11-01
HURRICANE IAN REROOF OF BARN  - Douglas,Permit Expired,0,ePlan,,-81.824162653596,26.725671740776,2022-11-01
RE-ROOFING THE BACK PORTION OF THE BUILDING WITH SHINGLES.,Closed-Voided,0,ePlan,,,,2022-11-01
New construction duplex *R01 - ***Revision to change impact resistance glazing to Impact Resistant Covering ***,Closed-CO Issued,3,ePlan,,-81.732657837756,26.596921956754,2022-11-01
"Replace already removed drywall, up to approx 3' off floor",Closed-Withdrawn,0,ePlan,,-81.848952658869,26.689065294463,2022-11-01
"Replace already removed drywall, approx 3' off the floor, due to water damage from Hurricane Ian. Also repair/replace flooring and replace damaged cabinets",Closed-CC Issued,0,ePlan,,-81.848981546454,26.689065100588,2022-11-01
Demolition and remove,Closed-CC Issued,0,ePlan,,-81.874189755511,26.706413948292,2022-11-01
Replace (10) windows size for size Impact*Inspections Done By Private Provider â Skytec Engineering Services*,Closed-CC Issued,0,ePlan,,-81.750006469321,26.573597507548,2022-11-01
"Primary Structure, Re-roof Shingles",Closed-CC Issued,0,ePlan,,,,2022-11-01
"Remove existing 1 layer Roof, install New TPO Roofing*REVISED TO METAL TO ROOFNOA 18-0830.03 AND NOA 20-0331.01",Closed-CC Issued,0,ePlan,,-81.887927346181,26.698125460894,2022-11-01
"Remove existing 1 layer Roof, install New TPO Roofing*REVISED TO METAL TO ROOF- NOA 18-0830.03 AND NOA 20-0331.01",Permit Expired,0,ePlan,,-81.887928826762,26.698160994875,2022-11-01
Remove and Replace roof on main yacht club storage building,Closed-Withdrawn,0,ePlan,,-82.011229843747,26.485789499054,2022-11-01
"Remove existing, new underlayment, new metal roof",Closed-CC Issued,0,ePlan,,-81.888013289096,26.698010849129,2022-11-01
4ft chain link fence with gates,Closed-CC Issued,0,ePlan,,-81.738232477798,26.630765528902,2022-11-01
"Remove existing, new underlayment, new metal roof",Permit Expired,0,ePlan,,-81.885780514716,26.698154026424,2022-11-01
Replace ac system,Closed-CC Issued,0,ePlan,,-81.738874972281,26.602138325579,2022-11-01
Re-Roof Slope Roof With Dimensional Shingles,Closed-Voided,0,ePlan,,-81.865688402699,26.680872561234,2022-11-01
Re-roof Asphalt Shingles,Closed-CC Issued,0,ePlan,,-81.929205743891,26.741276618535,2022-11-01
Re-roof Asphalt Shingles,Permit Expired,0,ePlan,,-81.923008018226,26.744913813149,2022-11-01
"Re-Roof Home, Metal",Closed-CC Issued,0,ePlan,,-81.908679251249,26.694303720117,2022-11-01
Re-roof Asphalt shingles,Closed-CC Issued,0,ePlan,,-81.929197197449,26.745672996368,2022-11-01
Repairing electrical meter to return power.,Closed-CC Issued,0,ePlan,,-81.951867534625,26.464255689445,2022-11-01
Shingle & Flat Re-Roof,Closed-CC Issued,0,ePlan,,-81.894383708928,26.578885840371,2022-11-01
Re-roof,Closed-Voided,0,ePlan,,-82.123870019644,26.614970087107,2022-11-01
INSTALL TPO SYSTEM OVER METAL DECK,Waiting on Applicant,0,ePlan,,-81.860448204442,26.68032028263,2022-11-01
"Installing 1 Storm Catcher Rolldown Screen*Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,0,ePlan,,-82.115121244427,26.63302402705,2022-11-01
Remove and install shingle roof.,Closed-CC Issued,0,ePlan,,-81.732425905356,26.61942735937,2022-11-01
"Installing 6 Storm Catcher Rolldown Screens*Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,0,ePlan,,-81.810006700042,26.514088756073,2022-11-01
SHINGLE REROOF OF A SINGLE FAMILY HOME,Closed-CC Issued,0,ePlan,,-81.964617925769,26.515278488093,2022-11-01
"Installing 2 Storm Catcher Rolldown Screens *Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,0,ePlan,,-81.923572913907,26.550458403832,2022-11-01
Replace old tiles roof with new Flat Tiles Roof (Full Replacement),Closed-CC Issued,0,ePlan,,,,2022-11-01
"Remove existing roof covering to bare decking, haul away and dispose debris.Install one layer underlayment, Install shingles.",Closed-CC Issued,0,ePlan,,-81.702835293973,26.59666454464,2022-11-01
Re roof.,Closed-CC Issued,0,ePlan,,-81.913712306397,26.658909505364,2022-11-01
Re roof.,Closed-CC Issued,0,ePlan,,-81.90922878699,26.66089974254,2022-11-01
Re-Roof,Closed-Voided,0,ePlan,,-81.822314286498,26.465123056291,2022-11-01
"Install 1 wall sign, Rear, LED to connect to existing electric at 10952 Village Center Dr, #460",Closed-Withdrawn,0,ePlan,,-81.774134198314,26.45386818145,2022-11-01
Shingle Re-roof,Closed-CC Issued,0,ePlan,,-81.914212047152,26.658504509105,2022-11-01
A/C CHANGE OUT SPLIT SYSTEM LIKE FOR LIKE,Closed-CC Issued,0,ePlan,,-81.959042833269,26.498979810465,2022-11-01
Shingle Re-roof,Closed-CC Issued,0,ePlan,,-81.914200046401,26.658689185612,2022-11-01
"Install 1 wall sign, front, LED to connect to existing electric at 10952 Village Center Drive, #460",Closed-Withdrawn,0,ePlan,,-81.774134198314,26.45386818145,2022-11-01
"Demolish all (mobile home, carport, shed, screen room)",Closed-CC Issued,0,ePlan,,-81.861579405836,26.518277199803,2022-11-01
"Re-roof of metal roof main house only, does not include flat section.*R01 - Change type of roof from metal to shingle*",Closed-CC Issued,1,ePlan,,-81.918365025868,26.696161676102,2022-11-01
"A/C Split System Change Out- 3 Ton, 16 Seer, 8 kw",Closed-CC Issued,0,ePlan,,-81.873493007521,26.534504962317,2022-11-01
"Demolish all (mobile home, carport, shed, screen room)",Closed-CC Issued,0,ePlan,,-81.866749129279,26.524135452019,2022-11-01
SHINGLE RE ROOF,Waiting on Applicant,0,ePlan,,-81.659473688707,26.583140183781,2022-11-01
Hurricane Ian - replace 65' of seawall,Closed-CC Issued,0,ePlan,,-82.073021209721,26.627072984939,2022-11-01
"Storm Repair - Like for Like reinstatement. Drywall, flooring, baseboards, interior doors, paint, cabinets, countertops, shower tile",Closed-CC Issued,0,ePlan,,-81.848944101616,26.686398202535,2022-11-01
"15006 2nd St, Bokeelia, FL 33922, Lot #17Cre-roof with shingle",Waiting on Applicant,0,ePlan,,-82.149292278444,26.678434502893,2022-11-01
HVAC Change out,Closed-CC Issued,0,ePlan,,-81.645092711057,26.656396916496,2022-11-01
Re-roof,Closed-CC Issued,0,ePlan,,-81.692252180642,26.608479112774,2022-11-01
"Install new panels to existing pole sign, face-change D/F, LED, to connect to existing electric",Closed-CC Issued,0,ePlan,,-81.825834617867,26.458121013049,2022-11-01
Reroof Shingle,Closed-Voided,0,ePlan,,-81.911304928343,26.701108768721,2022-11-01
Re Roof,Closed-CC Issued,0,ePlan,,-81.671197662078,26.604178433586,2022-11-01
"Storm Repair - Like for Like reinstatement. Drywall, flooring, baseboards, interior doors, paint, cabinets, counter-tops, shower tile",Closed-CC Issued,0,ePlan,,-81.848944101616,26.686398202535,2022-11-01
Interior Remodel including Re-Roof Shingle Tear Off-Drywall-Cabinets-Electric-HVAC,Closed-CC Issued,0,Paper Submittal,,-81.8555335763,26.483362923033,2022-11-01
Shingle to Metal roof,Closed-CC Issued,0,Paper Submittal,,-81.678988200103,26.587524446909,2022-11-01
"RE-ROOFING OF PROPERTY, METAL TO METALPARTIAL REPLACEMENT OF 26.48 SQ",Closed-CC Issued,0,ePlan,,-81.846270788915,26.68863564715,2022-11-01
Locate a temporary RV on property,Permit Issued,0,ePlan,,,,2022-11-01
6' wood fence with gate,Closed-Revision Approved,1,Paper Submittal,,-81.588756759799,26.622187906261,2022-11-01
Installation of motorized Hurricane Screen System to existing Residential Structure with Electrical for Screens.,Closed-CC Issued,0,ePlan,,-81.750469780109,26.469511489946,2022-11-01
"Storm Repair - Like for Like reinstatement. Drywall, paint - INSULATION",Closed-CC Issued,0,Paper Submittal,,-81.848634895439,26.689067427096,2022-11-01
"Install 1 wall sign, LED, to be connected to existing electric",Closed-CC Issued,0,ePlan,,-81.825834617867,26.458121013049,2022-11-01
SHINGLE & FLAT RE-ROOF,Closed-CC Issued,1,ePlan,,-81.922394280665,26.655282835304,2022-11-01
Re-Roof; Remove the Existing Flat Roof; Install New Flat Roof. (Over The World Gym Section),Closed-CC Issued,0,ePlan,,-81.651466931822,26.608297163332,2022-11-01
Replace 200 amp meter main combo & 200 amp panel replacement w/ grounding update,Closed-CC Issued,0,ePlan,,,,2022-11-01
Hurricane Ian - replace 45' of seawall,Closed-CC Issued,0,ePlan,,-82.07294317818,26.627158427296,2022-11-01
"Reroofing of property, SFR, like to like",Closed-CC Issued,0,ePlan,,-81.620213826442,26.561146389127,2022-11-01
Reroof Shingle,Closed-Voided,0,ePlan,,-81.929787197001,26.528963443494,2022-11-01
"Storm Repair - Like for Like reinstatement. Drywall, flooring, baseboards, interior doors, paint, cabinets, counter-tops, shower tile",Closed-Voided,0,ePlan,,-81.848634895439,26.689067427096,2022-11-01
Remove damaged home and all debris from Hurricane Ian,Permit Expired,0,ePlan,,-81.937360549117,26.504512737187,2022-11-01
Single Family Residential New Construction,Permit Expired,84,ePlan,,,,2022-11-01
Temporary tent for Christmas party,Closed-Administrative,0,ePlan,,,,2022-11-01
Split System A/C Unit Change Out - Like for Like Replacement - Cross Creek Estates,Closed-CC Issued,0,ePlan,,-81.820133328579,26.554731762202,2022-11-01
SHINGLE RE ROOF,Closed-CC Issued,0,ePlan,,-81.919070327857,26.656728567674,2022-11-01
