Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date
ELECTRICAL SERVICE REPAIRSFPL SAFETY CHECK,Closed-Withdrawn,0,ePlan,,-81.946926440323,26.462185765344,2023-01-01
Re-roof,Closed-Withdrawn,0,ePlan,,-81.977914136593,26.504180418358,2023-01-01
"Replace Roof: Remove existing roof to original decking, re-nail decking to code, replace with shingles",Closed-CC Issued,0,ePlan,,-81.724803948689,26.635551231728,2023-01-01
reroof modified roof,Permit Expired,0,ePlan,,,,2023-01-01
Re-roof shingle to metal,Closed-CC Issued,0,ePlan,,-82.151163823712,26.671193003058,2023-01-01
"Install shower pan, water heater, stackable washer/dryer, lav, and kitchen sink*Inspections Done By Private Provider â eAtlantic Engineering*",Closed-CC Issued,0,ePlan,,-81.996996450474,26.520343461463,2023-01-01
REPLACE 6 WINDOWS WITH IMPACT,Closed-CC Issued,0,ePlan,,-81.908896200076,26.524267496442,2023-01-01
New construction Single Family Home,Closed-Voided,0,ePlan,,-81.699956976626,26.602981723676,2023-01-01
"Reroof the metal roof *Inspections Done By Private Provider â ECS Florida, LLC*",Closed-CC Issued,0,ePlan,,-81.883808323221,26.702011398293,2023-01-01
Outdoor recreational patio made with with wooden post and tin roof. Made for the purpose of spending time outdoors with family under some shade. Also Constructed a cover made of wooden post and tin roof for protection of water system and AC unit.,Waiting on Applicant,0,ePlan,,-81.698840109243,26.583651847917,2023-01-01
12x40 shed with lap siding,Closed-CC Issued,0,ePlan,,-81.667568109647,26.606736841471,2023-01-01
RE ROOF SHINGLE ROOF AND REPLACE WITH NEW SHINGLE ROOF. 33.70 SQ,Closed-CC Issued,0,ePlan,,-81.601057949326,26.605572497055,2023-01-01
Replace 13 windows size for size,Permit Expired,0,ePlan,,-81.902289340168,26.537938754856,2023-01-01
SHINGLES,Closed-Voided,0,ePlan,,-81.721485493358,26.629641823296,2023-01-01
Shingle  Re-Roof,Closed-CC Issued,0,ePlan,,-81.705377443557,26.602789441157,2023-01-01
ROOF MOUNTED SOLAR SYSTEM.,Closed-Withdrawn,0,ePlan,,-81.811465342533,26.485746874286,2023-01-01
Remove/Replace 15 sq metal panels,Closed-CC Issued,0,ePlan,,-81.908302409576,26.692638897515,2023-01-01
re-roof 24 squares of shingles and 35 squares of flat roof2 layers coming off.,Closed-CC Issued,0,ePlan,,-81.887809812253,26.592829988855,2023-01-01
"Shingle re-roofTear off existing roof, install self-adhered underlayment, install architectural shingles to code",Closed-CC Issued,0,ePlan,,-81.898757541835,26.726704408485,2023-01-01
Replace screen enclosure due to hurricane Ian,Closed-CO Issued,1,ePlan,,,,2023-01-01
REPLACE SHINGLE ON HOUSE,Closed-CC Issued,0,ePlan,,-81.692349043224,26.615174111925,2023-01-01
"Metal reroofTear off existing roof, install self-adhered underlayment, install 1 in snap lock metal panels to code.",Closed-CC Issued,0,ePlan,,-81.895739970391,26.71119741225,2023-01-01
25 squares of metal roofing installed,Closed-Voided,0,ePlan,,,,2023-01-01
4ft chain link fence,Closed-CC Issued,0,ePlan,,-81.621341014773,26.651583370688,2023-01-01
"Shingle reroofTear off existing roof, install self-adhered underlayment, install architectural shingles as per code",Permit Expired,0,ePlan,,-81.895381878504,26.708101378312,2023-01-01
replace the roof,Closed-Withdrawn,0,ePlan,,-81.82730997649,26.477084567763,2023-01-01
"Metal reroofTear off existing roof, install self-adhered underlayment, install 1 in snap lock metal panels as per code",Closed-Withdrawn,0,ePlan,,-81.892309661632,26.706456050338,2023-01-01
