Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date
Re-roof tile to tile,Closed-CC Issued,1,ePlan,,-81.939813914007,26.529210375647,2022-09-01
"REPLACE 4 WINDOWS WITH IMPACT, SIZE FOR SIZE.",Closed-CC Issued,0,ePlan,,-81.888845459746,26.568876931989,2022-09-01
FULL PV SOLAR INSTALLATION ROOF MOUNTED,Closed-CC Issued,0,ePlan,,-81.713454200346,26.611439512863,2022-09-01
Install black chain link fence around backyard beginning at the front of the home building structure.,Waiting on Applicant,0,ePlan,,-81.624178694622,26.675723194339,2022-09-01
INSTALLING ROOF MOUNTED SOLAR PHOTOVOLTAIC SYSTEM,Closed-Withdrawn,0,ePlan,,-81.702427422812,26.581962751344,2022-09-01
roof mounted solar pv system*Private Provider & Inspections Done By Private Provider â Inspection Solutions*,Closed-CC Issued,0,ePlan,,-81.745771159788,26.586316377609,2022-09-01
REROOF SHINGLE ROOF TO SHINGLE ROOF-Hurricane Ian,Closed-CC Issued,0,ePlan,,-81.70192809102,26.608348657373,2022-09-01
Emergency Roof Replacement from Hurricane Ian,Closed-CC Issued,0,ePlan,,-81.787497499761,26.49310046382,2022-09-01
Roof mounted solar system.,Closed-CC Issued,0,ePlan,,-81.658011782551,26.630210826423,2022-09-01
POOL SPA AND DECK,Closed-CC Issued,1,ePlan,,,,2022-09-01
POOL SPA AND DECK,Closed-CC Issued,4,ePlan,,,,2022-09-01
POOL SPA AND DECK,Closed-CC Issued,4,ePlan,,,,2022-09-01
"REPLACE 1 DOOR WITH IMPACT, SIZE FOR SIZE. R01****Adding 1 additional door",Closed-CC Issued,1,ePlan,,-81.968605693182,26.510336323219,2022-09-01
POOL SPA AND DECK,Closed-CC Issued,1,ePlan,,,,2022-09-01
TENANT PANEL GRAPHICS FOR MCDONALD'S,Closed-CC Issued,0,ePlan,,-81.784636806227,26.484481022329,2022-09-01
"REPLACE 10 WINDOWS WITH IMPACT, SIZE FOR SIZE",Closed-CC Issued,0,ePlan,,,,2022-09-01
The project consists in the construction of a new single-family residence (1 story) with an approximate area of 2000 s.f.,Closed-Withdrawn,0,ePlan,,-81.6034459496,26.591412116498,2022-09-01
INSTALL ROOF MOUNTED PV SOLAR SYSTEM,Closed-CC Issued,0,ePlan,,-81.704363765453,26.62497983779,2022-09-01
"REPLACE 8 WINDOWS WITH IMPACT, SIZE FOR SIZE.",Closed-CC Issued,0,ePlan,,-81.60822017342,26.600222537085,2022-09-01
"REPLACE 4 WINDOWS WITH IMPACT, SIZE FOR SIZE.",Closed-CC Issued,0,ePlan,,-81.735259761296,26.634281198709,2022-09-01
New single family home,Waiting on Applicant,1,ePlan,,,,2022-09-01
REPLACE 11 WINDOWS WITH IMPACT SIZE FOR SIZE,Closed-CC Issued,0,ePlan,,-81.822767949372,26.472867209466,2022-09-01
REPLACE 10 WINDOWS WITH IMPACT SIZE FOR SIZE,Closed-CC Issued,0,ePlan,,-81.799317372688,26.459816540412,2022-09-01
Construction of New Single Family Home,Permit Expired,2,ePlan,,-81.73591102667,26.71314802196,2022-09-01
"Rheem, 2.5 Tons 14 seer 8.79KW",Permit Expired,0,ePlan,,-81.863830815135,26.559008809787,2022-09-01
Goodman 3 Tons 14 Seer 10.55 KW Straight Cool *Inspections Done By Private Provider â Inspected.com*,Closed-CC Issued,0,ePlan,,-81.832364535742,26.702142703846,2022-09-01
New Tires Plus Store,Closed-Withdrawn,4,ePlan,,-81.677901586304,26.61636139415,2022-09-01
"Straight Cool - Goodman 3.5 Tons, 14 Seer, 12.3 KW*Inspections Done By Private Provider â Inspected.com*",Closed-CC Issued,0,ePlan,,-81.84001962908,26.55856943899,2022-09-01
"2 Ton 14 Seer 8.79 KW Straight Cool system, *Inspections Done By Private Provider â Inspected.com*",Closed-CC Issued,0,ePlan,,-81.901225608929,26.762934361493,2022-09-01
Roof Top Solar Panel Install 28.440 kW 72 panels and Miro inverter,Closed-Withdrawn,0,ePlan,,-81.841025979845,26.573074576254,2022-09-01
Mini Split -  Brand: Gree 16 seer 5.274 KW,Permit Expired,0,ePlan,,-81.731733101826,26.465533023032,2022-09-01
"Goodman, 3.5 Tons 14 Seer 12.30 KW",Permit Expired,0,ePlan,,-81.714262520197,26.722055680984,2022-09-01
FULL PV SYSTEM ROOF MOUNTED,Closed-CC Issued,1,ePlan,,-81.732166757899,26.678622541659,2022-09-01
"Gas Piping Inside Home to:TANKED W/H, DRYER & RANGE(DWOC03200)",Closed-CC Issued,2,ePlan,,,,2022-09-01
"Gas Piping Inside Home to:TANKLESS W/H, DRYER, RANGE, POOL HEATER & FUTURE ODK(VV56600)",Closed-CC Issued,4,ePlan,,,,2022-09-01
New Residential Single Family Home,Inspections Ongoing,2,ePlan,,-81.674198580627,26.592172397763,2022-09-01
"Gas Piping Inside Home to:TANKED W/H, DRYER & RANGE(ELCD44500)",Closed-CC Issued,3,ePlan,,,,2022-09-01
"Gas Piping Inside Home to:TANKED W/H, DRYER & RANGE(ELCD44400)",Closed-CC Issued,3,ePlan,,,,2022-09-01
"Gas Piping Inside Home to:TANKED W/H, DRYER & RANGE(VV55200)",Closed-CC Issued,3,ePlan,,,,2022-09-01
"Gas piping Inside Home to:TANKED W/H, DRYER & RANGE(DWOC16000)",Closed-CC Issued,2,ePlan,,,,2022-09-01
"Gas Piping Inside Home to:TANKED W/H, DRYER & COOKTOP(VV35900)",Closed-CC Issued,3,ePlan,,,,2022-09-01
"Gas Piping Inside Home to:TANKED W/H, DRYER, COOKTOP & FUTURE ODK(DWOC11300)",Closed-CC Issued,2,ePlan,,,,2022-09-01
Roof Top Solar Panel Install 31 panels and Micro Inverters 12.40 kw,Permit Expired,0,ePlan,,-81.665358898945,26.589021877524,2022-09-01
New Single family residence,Closed-CO Issued,2,ePlan,,-81.692226959073,26.586156569327,2022-09-01
New Single family residence,Closed-CO Issued,2,ePlan,,-81.658351817673,26.569218932044,2022-09-01
