"Record Number","Address","Description","Status","Related Records","Submittal Type",
"RES2022-07579","1402 BEECHWOOD TRL, FORT MYERS FL 33919","New screen enclosure with flat aluminum roof","Closed-CO Issued","1","ePlan",
"ROF2022-05877","91 LYNNE ST, LEHIGH ACRES FL 33936","Reroof Shingles","Closed-CC Issued","0","ePlan",
"MRV2022-00165","5157 FIDDLELEAF DR, FORT MYERS FL 33905","Install New Mobile Home","Ready-Documents Required","2","ePlan",
"MRV2022-00164","9679 SUGARBERRY WAY, FORT MYERS FL 33905","Install New Mobile Home","Closed-CO Issued","3","ePlan",
"MRV2022-00163","5163 FIDDLELEAF DR, FORT MYERS FL 33905","Install New Mobile Home","Ready-Documents Required","2","ePlan",
"MRV2022-00162","5193 FIDDLELEAF DR, FORT MYERS FL 33905","Install New Mobile Home","Closed-CO Issued","1","ePlan",
"MRV2022-00161","9647 SUGARBERRY WAY, FORT MYERS FL 33905","Install New Mobile Home","Ready-Documents Required","2","ePlan",
"MRV2022-00160","9655 SUGARBERRY WAY, FORT MYERS FL 33905","Install New Mobile Home","Permit Expired","2","ePlan",
"MRV2022-00159","9671 SUGARBERRY WAY, FORT MYERS FL 33905","Install New Mobile Home","Permit Expired","2","ePlan",
"MRV2022-00158","9687 SUGARBERRY WAY, FORT MYERS FL 33905","install new mobile home","Closed-CO Issued","4","ePlan",
"MRV2022-00157","9703 SUGARBERRY WAY, FORT MYERS FL 33905","Install New Mobile Home","Permit Expired","2","ePlan",
"MRV2022-00156","9719 SUGARBERRY WAY, FORT MYERS FL 33905","Install New Mobile Home","Closed-CC Issued","3","ePlan",
"ROF2022-05876","2259 DATE ST, SAINT JAMES CITY FL 33956","Flat Reroof","Closed-Withdrawn","0","ePlan",
"ROF2022-05875","9288 PALM ISLAND CIR, NORTH FORT MYERS FL 33903","Shingle Reroof","Closed-CC Issued","0","ePlan",
"RES2022-07578","2180 BANANA ST, SAINT JAMES CITY FL 33956","AFTER WORK PERMIT APPLICATION A DIFFERENT CONTRACTOR PERFORMED WORK WITHOUT A PERMIT","Closed-Voided","0","ePlan",
"MEC2022-05152","6200 ARBOR AVE, FORT MYERS FL 33905","replace condenser only","Closed-CC Issued","0","ePlan",
"MEC2022-05151","1862 VALMONT ST, LEHIGH ACRES FL 33972","Like for lie change out of condenser and air handler","Closed-CC Issued","0","ePlan",
"MEC2022-05150","1101 E JASMINE RD, LEHIGH ACRES FL 33936","replace split system","Closed-CC Issued","0","ePlan",
"RES2022-07577","1437 ALWYNNE DR N, LEHIGH ACRES FL 33936","Installation of Elite Aluminum Panel Roof over existing 4"" concrete slab.","Closed-CO Issued","0","ePlan",
"FNC2022-02294","523 LEROY AVE, LEHIGH ACRES FL 33972","install 4 feet high fence around back yard for kids play area","Closed-CC Issued","0","ePlan",
"RES2022-07576","1203 FIRST ST, FORT MYERS FL 33905","Deck and Screen room","Closed-CO Issued","0","ePlan",
"MEC2022-05149","15031 PUNTA RASSA RD, 105, FORT MYERS FL 33908","Change out ac system","Closed-CC Issued","0","ePlan",
"MEC2022-05148","12645 STONE VALLEY LOOP, FORT MYERS FL 33913","Change out of ac","Closed-CC Issued","0","ePlan",
"RES2022-07575","14174 REFLECTION LAKES DR, FORT MYERS FL 33907","MODIFY EXISTING POOL SCREEN ENCLOSURE FOR PANORAMIC OPENING","Closed-CO Issued","0","ePlan",
"OPN2022-02823","2450 PALO DURO BLVD, NORTH FORT MYERS FL 33917","Install Hurricane Protection on 2 Openings.","Closed-CC Issued","0","ePlan",
"ELE2022-02341","5300 FLAMINGO DR, SAINT JAMES CITY FL 33956","EMERGENCY!!!! Replace pole and meter combo due to lightning strike and breaker disconnect under meter base burnt up.","Closed-CC Issued","0","ePlan",
"POL2022-01115","4327 15TH ST W, LEHIGH ACRES FL 33971","Install a round pool in my backyard 18'","Payment Required","1","ePlan",
"OPN2022-02822","14427 BLUE BAY CIR, FORT MYERS FL 33913","Installing 1 motorized roll down screen and 1 manual roll down screen***INSPECTIONS DONE BY PRIVATE PROVIDER-INNOVATIVE CONSTRUCTION INSPECTION, INC***","Closed-CC Issued","0","ePlan",
"OPN2022-02821","1861 INLET DR, NORTH FORT MYERS FL 33903","INSTALL (1) HURRICANE-RATED FABRIC ELECTRIC ROLL DOWN (FL16380-R3), (1) ALUMINUM ELECTRIC ROLL DOWN (FL22558-R6), AND (4) HURRICANE-RATED BAHAMA SHUTTERS (FL8523-R9)","Closed-CC Issued","0","ePlan",
