Occupancy,DamageLevel,DamageType,FloodDepth,assessment_level,BldgValue,EstLoss
single_family,Major,Flood,58,Major,112721,56360.5
single_family,Major,Flood,62,Major,93212,46606
single_family,Minor,Non-Flood,,Minor,203721,50930.25
single_family,Major,Flood,66,Major,71303,35651.5
single_family,Major,Flood,54,Major,381738,190869
single_family,Minor,Non-Flood,,Minor,118348,29587
single_family,Affected,Non-Flood,,Affected,167121,25068.15
single_family,Major,Flood,45,Major,149491,74745.5
single_family,Major,Flood,43,Major,272825,136412.5
single_family,Affected,Non-Flood,,Affected,198843,29826.45
single_family,Major,Flood,76,Major,521940,260970
multi_family,Major,Flood,58,Major,107503,53751.5
single_family,Affected,Non-Flood,,Affected,198843,29826.45
single_family,Major,Flood,77,Major,289989,144994.5
single_family,Major,Flood,69,Major,131585,65792.5
single_family,Affected,Non-Flood,,Affected,207261,31089.15
single_family,Minor,Non-Flood,,Minor,181186,45296.5
multi_family,Major,Flood,46,Major,186972,93486
single_family,Affected,Non-Flood,,Affected,200750,30112.5
single_family,Major,Flood,74,Major,108112,54056
single_family,Major,Flood,45,Major,93820,46910
single_family,Affected,Non-Flood,,Affected,279916,41987.4
single_family,Affected,Non-Flood,,Affected,231362,34704.3
single_family,Major,Flood,38,Major,161119,80559.5
single_family,Major,Flood,40,Major,74120,37060
single_family,Inaccessible,Inaccessible,,,103207,0
single_family,Inaccessible,Inaccessible,,,233877,0
single_family,Minor,Non-Flood,,Minor,75533,18883.25
single_family,Major,Flood,76,Major,232652,116326
single_family,Affected,Non-Flood,,Affected,150034,22505.1
single_family,Major,Flood,45,Major,71734,35867
single_family,Affected,Non-Flood,,Affected,389691,58453.65
single_family,Minor,Non-Flood,,Minor,57052,14263
single_family,Major,Flood,78,Major,80478,40239
single_family,Major,Flood,53,Major,45272,22636
single_family,Inaccessible,Inaccessible,,,117941,0
single_family,Minor,Non-Flood,,Minor,158097,39524.25
single_family,Major,Flood,76,Major,325399,162699.5
single_family,Minor,Non-Flood,,Minor,84420,21105
single_family,Affected,Non-Flood,,Affected,289671,43450.65
single_family,Major,Flood,73,Major,181268,90634
single_family,Affected,Non-Flood,,Affected,52444,7866.6
single_family,Major,Flood,39,Major,89723,44861.5
single_family,Major,Non-Flood,,Major,54044,27022
single_family,Affected,Non-Flood,,Affected,158097,23714.55
single_family,Affected,Non-Flood,,Affected,110395,16559.25
single_family,Major,Flood,75,Major,108112,54056
single_family,Minor,Non-Flood,,Minor,0,0
single_family,Major,Flood,73,Major,137998,68999
single_family,Affected,Non-Flood,,Affected,168041,25206.15
single_family,Major,Flood,28,Major,90206,45103
single_family,Affected,Non-Flood,,Affected,160295,24044.25
single_family,Affected,Non-Flood,,Affected,179894,26984.1
single_family,Minor,Non-Flood,,Minor,227664,56916
single_family,Affected,Non-Flood,,Affected,241742,36261.3
single_family,Minor,Flood,6,Minor,60878,15219.5
single_family,Major,Flood,24,Major,108787,54393.5
single_family,Affected,Non-Flood,,Affected,145048,21757.2
single_family,Minor,Non-Flood,,Minor,110511,27627.75
single_family,Affected,Non-Flood,,Affected,233679,35051.85
single_family,Minor,Non-Flood,,Minor,198843,49710.75
single_family,Affected,Non-Flood,,Affected,237668,35650.2
single_family,Minor,Flood,6,Minor,73100,18275
single_family,Inaccessible,Inaccessible,,,,
single_family,Minor,Non-Flood,,Minor,128489,32122.25
single_family,Minor,Non-Flood,,Minor,202316,50579
single_family,Affected,Non-Flood,,Affected,77299,11594.85
single_family,Affected,Non-Flood,,Affected,192438,28865.7
single_family,Affected,Non-Flood,,Affected,120354,18053.1
single_family,Major,Flood,42,Major,88267,44133.5
single_family,Minor,Non-Flood,,Minor,182509,45627.25
single_family,Affected,Non-Flood,,Affected,77299,11594.85
single_family,Affected,Non-Flood,,Affected,130152,19522.8
single_family,Major,Flood,41,Major,18346,9173
single_family,Affected,Non-Flood,,Affected,200279,30041.85
single_family,Affected,Non-Flood,,Affected,118050,17707.5
single_family,Affected,Non-Flood,,Affected,241667,36250.05
manufactured_home,Minor,Non-Flood,,Minor,218993,54748.25
single_family,Affected,Non-Flood,,Affected,306972,46045.8
single_family,Affected,Non-Flood,,Affected,262305,39345.75
single_family,Affected,Non-Flood,,Affected,119880,17982
single_family,Minor,Flood,,Minor,79034,19758.5
single_family,Minor,Non-Flood,,Minor,183471,45867.75
single_family,Major,Flood,42,Major,111363,55681.5
single_family,Minor,Non-Flood,,Minor,134880,33720
single_family,Affected,Non-Flood,,Affected,290801,43620.15
single_family,Affected,Non-Flood,,Affected,164708,24706.2
single_family,Major,Flood,36,Major,87071,43535.5
single_family,Minor,Non-Flood,,Minor,195554,48888.5
single_family,Affected,Non-Flood,,Affected,281605,42240.75
single_family,Affected,Non-Flood,,Affected,150806,22620.9
single_family,Affected,Non-Flood,,Affected,288449,43267.35
single_family,Affected,Non-Flood,,Affected,242947,36442.05
single_family,Major,Flood,45,Major,233699,116849.5
single_family,Affected,Non-Flood,,Affected,97351,14602.65
single_family,Affected,Non-Flood,,Affected,144832,21724.8
single_family,Minor,Flood,,Minor,56862,14215.5
single_family,Affected,Non-Flood,,Affected,131864,19779.6
single_family,Major,Flood,32,Major,156926,78463
single_family,Affected,Non-Flood,,Affected,74541,11181.15
single_family,Affected,Non-Flood,,Affected,147463,22119.45
single_family,Affected,Non-Flood,,Affected,300505,45075.75
single_family,Affected,Non-Flood,,Affected,302129,45319.35
single_family,Affected,Non-Flood,,Affected,180305,27045.75
single_family,Affected,Non-Flood,,Affected,203111,30466.65
single_family,Minor,Flood,6,Minor,52489,13122.25
single_family,Affected,Non-Flood,,Affected,315003,47250.45
single_family,Affected,Non-Flood,,Affected,174231,26134.65
single_family,Affected,Non-Flood,,Affected,315963,47394.45
single_family,Affected,Non-Flood,,Affected,172996,25949.4
single_family,Minor,Non-Flood,,Minor,137630,34407.5
single_family,Affected,Non-Flood,,Affected,161794,24269.1
single_family,Affected,Non-Flood,,Affected,81041,12156.15
single_family,Minor,Flood,,Minor,65966,16491.5
single_family,Affected,Non-Flood,,Affected,281004,42150.6
single_family,Affected,Non-Flood,,Affected,131792,19768.8
single_family,Affected,Non-Flood,,Affected,108863,16329.45
single_family,Minor,Non-Flood,,Minor,136957,34239.25
single_family,Minor,Flood,,Minor,54557,13639.25
single_family,Affected,Non-Flood,,Affected,163751,24562.65
single_family,Affected,Non-Flood,,Affected,199481,29922.15
single_family,Minor,Flood,6,Minor,55153,13788.25
single_family,Affected,Non-Flood,,Affected,140145,21021.75
single_family,Minor,Non-Flood,,Minor,376019,94004.75
single_family,Affected,Non-Flood,,Affected,216496,32474.4
single_family,Minor,Flood,6,Minor,63866,15966.5
manufactured_home,Major,Non-Flood,,Major,41948,20974
single_family,Minor,Non-Flood,,Minor,119571,29892.75
single_family,Minor,Non-Flood,,Minor,123951,30987.75
single_family,Inaccessible,Inaccessible,,,140914,0
single_family,Affected,Non-Flood,,Affected,190006,28500.9
single_family,Minor,Flood,6,Minor,84479,21119.75
single_family,Affected,Non-Flood,,Affected,263461,39519.15
single_family,Minor,Flood,8,Minor,75702,18925.5
single_family,Minor,Non-Flood,,Minor,271022,67755.5
single_family,Affected,Non-Flood,,Affected,127563,19134.45
single_family,Affected,Non-Flood,,Affected,206788,31018.2
single_family,Minor,Flood,6,Minor,59729,14932.25
single_family,Major,Non-Flood,,Major,169544,84772
single_family,Affected,Non-Flood,,Affected,139229,20884.35
single_family,Affected,Non-Flood,,Affected,288449,43267.35
single_family,Affected,Non-Flood,,Affected,148434,22265.1
single_family,Affected,Non-Flood,,Affected,197555,29633.25
single_family,Affected,Non-Flood,,Affected,177705,26655.75
single_family,Minor,Non-Flood,,Minor,31018,7754.5
single_family,Minor,Flood,6,Minor,75702,18925.5
single_family,Minor,Non-Flood,,Minor,260821,65205.25
single_family,Minor,Non-Flood,,Minor,124079,31019.75
single_family,Affected,Non-Flood,,Affected,156554,23483.1
single_family,Minor,Flood,6,Minor,79391,19847.75
single_family,Affected,Non-Flood,,Affected,110969,16645.35
single_family,Affected,Non-Flood,,Affected,135453,20317.95
single_family,Affected,Non-Flood,,Affected,126839,19025.85
single_family,Minor,Non-Flood,,Minor,126730,31682.5
single_family,Affected,Non-Flood,,Affected,162925,24438.75
single_family,Minor,Non-Flood,,Minor,,
single_family,Minor,Non-Flood,,Minor,173005,43251.25
single_family,Affected,Non-Flood,,Affected,169631,25444.65
single_family,Affected,Non-Flood,,Affected,61845,9276.75
single_family,Affected,Non-Flood,,Affected,190948,28642.2
single_family,Minor,Flood,12,Minor,57236,14309
single_family,Affected,Non-Flood,,Affected,276171,41425.65
single_family,Affected,Non-Flood,,Affected,,
single_family,Minor,Non-Flood,,Minor,139420,34855
single_family,Affected,Non-Flood,,Affected,76726,11508.9
single_family,Minor,Non-Flood,,Minor,245976,61494
single_family,Minor,Flood,12,Minor,45100,11275
single_family,Minor,Non-Flood,,Minor,75970,18992.5
single_family,Affected,Non-Flood,,Affected,151617,22742.55
single_family,Minor,Flood,16,Minor,64060,16015
multi_family,Affected,Non-Flood,,Affected,111093,16663.95
single_family,Minor,Non-Flood,,Minor,139420,34855
single_family,Minor,Flood,16,Minor,102396,25599
single_family,Minor,Non-Flood,,Minor,225600,56400
single_family,Minor,Non-Flood,,Minor,135731,33932.75
single_family,Minor,Flood,12,Minor,49025,12256.25
multi_family,Affected,Non-Flood,,Affected,120515,18077.25
single_family,Affected,Non-Flood,,Affected,,
single_family,Minor,Flood,6,Minor,397356,99339
single_family,Affected,Non-Flood,,Affected,75546,11331.9
single_family,Affected,Non-Flood,,Affected,162671,24400.65
multi_family,Affected,Non-Flood,,Affected,128199,19229.85
single_family,Affected,Non-Flood,,Affected,212591,31888.65
multi_family,Affected,Non-Flood,,Affected,112008,16801.2
single_family,Affected,Non-Flood,,Affected,154918,23237.7
single_family,Minor,Flood,12,Minor,45995,11498.75
single_family,Minor,Non-Flood,,Minor,149047,37261.75
single_family,Affected,Non-Flood,,Affected,170101,25515.15
multi_family,Affected,Non-Flood,,Affected,120515,18077.25
single_family,Minor,Non-Flood,,Minor,139008,34752
single_family,Affected,Non-Flood,,Affected,133908,20086.2
single_family,Affected,Non-Flood,,Affected,193881,29082.15
single_family,Minor,Flood,18,Minor,87221,21805.25
single_family,Affected,Non-Flood,,Affected,203742,30561.3
single_family,Affected,Non-Flood,,Affected,186512,27976.8
single_family,Major,Non-Flood,,Major,199520,99760
single_family,Affected,Non-Flood,,Affected,183716,27557.4
single_family,Affected,Non-Flood,,Affected,156542,23481.3
single_family,Affected,Non-Flood,,Affected,77564,11634.6
single_family,Minor,Non-Flood,,Minor,182787,45696.75
single_family,Minor,Flood,18,Minor,116771,29192.75
single_family,Affected,Non-Flood,,Affected,176899,26534.85
single_family,Affected,Non-Flood,,Affected,403305,60495.75
single_family,Affected,Non-Flood,,Affected,170780,25617
