household_id,community,building_value,income,damage_level,population_scaled,age,race,household_id,latitude,longitude
dqcp176g,dqcp17,0.7966339853821813,0.2933044853455467,0.25,0.8571428571428571,0.752579636092812,0.0,41,39.21767234802246,-77.28487014770508
dqcnc7hq,dqcnc7,0.4909146533380145,0.8733871799387892,1.0,0.42857142857142855,0.27881077580276564,0.0,12,39.172868728637695,-77.28281021118164
dqcnc29k,dqcnc2,0.5336970898755421,0.3984367196747677,0.0,0.5714285714285714,0.14338366740943065,0.5,8,39.15879249572754,-77.28693008422852
dqcngqhc,dqcngq,0.3045936158366316,0.0,0.0,0.5714285714285714,0.3147858778796133,0.0,40,39.18848991394043,-77.19423294067383
dqcnbbdq,dqcnbb,0.9405333772372853,0.7937485887240352,0.0,0.42857142857142855,0.6801400221091704,0.0,4,39.159135818481445,-77.30752944946289
dqcncsjm,dqcncs,0.3228147769421302,0.5103022315993548,0.0,0.14285714285714285,0.49239640096057335,0.0,17,39.17819023132324,-77.27045059204102
dqcnbchm,dqcnbc,0.7235682375352581,0.800804791716808,0.0,0.5714285714285714,0.2427313780087877,0.0,5,39.16171073913574,-77.30478286743164
dqcng43b,dqcng4,0.5650147053096156,0.305075773242484,0.0,0.42857142857142855,0.8671522061600381,0.5,37,39.1677188873291,-77.2093391418457
dqcnfpuz,dqcnfp,0.2062637132465043,0.5516454041947292,0.75,0.42857142857142855,0.4325373314330912,0.0,34,39.19913291931152,-77.24916458129883
dqcp473c,dqcp47,0.5119325232280413,0.474664238458186,0.0,0.42857142857142855,0.7530507986496703,0.0,49,39.217329025268555,-77.2422981262207
dqchf7jt,dqchf7,0.37954037046981265,0.38808100489717823,0.0,0.14285714285714285,0.7918265370856175,0.25,1,38.82113456726074,-77.23714828491211
dqcncu6f,dqcncu,0.5718523060580954,0.23785620359552379,0.0,1.0,0.5759346396887208,0.0,19,39.17904853820801,-77.26289749145508
dqcncvkb,dqcncv,0.45830112304365556,0.7865757037129768,0.0,0.2857142857142857,0.5751264170198649,0.0,20,39.1841983795166,-77.26015090942383
dqcnfk5z,dqcnfk,0.7970150542138512,0.7354280663405506,0.5,1.0,0.8020385399878126,0.25,33,39.17853355407715,-77.23955154418945
dqcp1rx0,dqcp1r,0.8251899653616065,0.4565276137153359,0.0,0.5714285714285714,0.2935017655484864,0.5,43,39.24050331115723,-77.27903366088867
