time_step,dimension,dimension_name,p_ji_nonzero_mean,nonzero_count
0,0,vacancy_state,0.030624109968886454,778
0,1,repair_state,0.030624109968886454,778
0,2,sales_state,0.030624109968886454,778
1,0,vacancy_state,0.03324935243822693,762
1,1,repair_state,0.03324935243822693,762
1,2,sales_state,0.03324935243822693,762
2,0,vacancy_state,0.03917934204787286,780
2,1,repair_state,0.03917934204787286,780
2,2,sales_state,0.03917934204787286,780
3,0,vacancy_state,0.04096362129442974,810
3,1,repair_state,0.04096362129442974,810
3,2,sales_state,0.04096362129442974,810
4,0,vacancy_state,0.044072716308925244,836
4,1,repair_state,0.044072716308925244,836
4,2,sales_state,0.044072716308925244,836
5,0,vacancy_state,0.04725648992837606,860
5,1,repair_state,0.04725648992837606,860
5,2,sales_state,0.04725648992837606,860
6,0,vacancy_state,0.045792608754537514,842
6,1,repair_state,0.045792608754537514,842
6,2,sales_state,0.045792608754537514,842
7,0,vacancy_state,0.04725393443204846,800
7,1,repair_state,0.04725393443204846,800
7,2,sales_state,0.04725393443204846,800
8,0,vacancy_state,0.046569161111396765,812
8,1,repair_state,0.046569161111396765,812
8,2,sales_state,0.046569161111396765,812
9,0,vacancy_state,0.04525297359272659,770
9,1,repair_state,0.04525297359272659,770
9,2,sales_state,0.04525297359272659,770
10,0,vacancy_state,0.044139757965213765,744
10,1,repair_state,0.044139757965213765,744
10,2,sales_state,0.044139757965213765,744
11,0,vacancy_state,0.04367026261971007,752
11,1,repair_state,0.04367026261971007,752
11,2,sales_state,0.04367026261971007,752
12,0,vacancy_state,0.04367026261971007,752
12,1,repair_state,0.04367026261971007,752
12,2,sales_state,0.04367026261971007,752
13,0,vacancy_state,0.04343920320558664,756
13,1,repair_state,0.04343920320558664,756
13,2,sales_state,0.04343920320558664,756
14,0,vacancy_state,0.04332566394612302,758
14,1,repair_state,0.04332566394612302,758
14,2,sales_state,0.04332566394612302,758
15,0,vacancy_state,0.043211649041001644,760
15,1,repair_state,0.043211649041001644,760
15,2,sales_state,0.043211649041001644,760
16,0,vacancy_state,0.0454808724022449,766
16,1,repair_state,0.0454808724022449,766
16,2,sales_state,0.0454808724022449,766
17,0,vacancy_state,0.04561459091397296,772
17,1,repair_state,0.04561459091397296,772
17,2,sales_state,0.04561459091397296,772
18,0,vacancy_state,0.045496723753988534,774
18,1,repair_state,0.045496723753988534,774
18,2,sales_state,0.045496723753988534,774
19,0,vacancy_state,0.045031471996068426,782
19,1,repair_state,0.045031471996068426,782
19,2,sales_state,0.045031471996068426,782
20,0,vacancy_state,0.0449169415808447,784
20,1,repair_state,0.0449169415808447,784
20,2,sales_state,0.0449169415808447,784
21,0,vacancy_state,0.04459415576877609,790
21,1,repair_state,0.04459415576877609,790
21,2,sales_state,0.04459415576877609,790
22,0,vacancy_state,0.04425801891698998,796
22,1,repair_state,0.04425801891698998,796
22,2,sales_state,0.04425801891698998,796
