time_step,dimension,dimension_name,household_id,num_active_neighbors,prod_term,activate_prob,p_self
0,0,vacancy_state,dqcnemk2,0,1.0,0.0,0.0
0,0,vacancy_state,dqcp40qh,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnc78n,0,1.0,0.0,0.0
0,0,vacancy_state,dqcp1z6j,6,1.0,0.0,0.0
0,0,vacancy_state,dqcp41tf,0,1.0,0.0,0.0
0,0,vacancy_state,dqcngmd5,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnf79h,0,1.0,0.0,0.0
0,0,vacancy_state,dqcng57p,8,1.0,0.0,0.0
0,0,vacancy_state,dqcp4ndn,0,1.0,0.0,0.0
0,0,vacancy_state,dqcp1sf1,9,1.0,0.0,0.0
0,0,vacancy_state,dqcng331,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnc63u,4,0.887221214092853,0.11277878590714696,0.0
0,0,vacancy_state,dqcncv69,1,1.0,0.0,0.0
0,0,vacancy_state,dqcn55rf,0,1.0,0.0,0.0
0,0,vacancy_state,dqcng6jx,0,1.0,0.0,0.0
0,0,vacancy_state,dqcp1u1b,8,1.0,0.0,0.0
0,0,vacancy_state,dqcng4ss,0,1.0,0.0,0.0
0,0,vacancy_state,dqcng700,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnc0gj,0,1.0,0.0,0.0
0,0,vacancy_state,dqcncxuy,0,1.0,0.0,0.0
0,0,vacancy_state,dqcp4ndf,0,1.0,0.0,0.0
0,0,vacancy_state,dqcncywq,1,1.0,0.0,0.0
0,0,vacancy_state,dqcnc61s,0,1.0,0.0,0.0
0,0,vacancy_state,dqcng8js,0,1.0,0.0,0.0
0,0,vacancy_state,dqcngqwm,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnfgeq,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnentd,8,1.0,0.0,0.0
0,0,vacancy_state,dqcng6z4,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnct3x,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnf19v,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnf523,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnc8h1,0,1.0,0.0,0.0
0,0,vacancy_state,dqcng153,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnbbnu,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnctve,8,1.0,0.0,0.0
0,0,vacancy_state,dqcp4qsd,0,1.0,0.1243373287022228,0.1243373287022228
0,0,vacancy_state,dqcng2bt,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnfqsr,8,0.5480270229690648,0.4519729770309352,0.0
