household_id,building_value,income,damage_level,population_scaled,age,race,latitude,longitude,agent_type,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_9,community_10,community_11,community_12,community_13,community_14,community_15,community_16,community_17,community_18,community_19
1,0.47976604224832,0.8021908413711607,0.0,0.14285714285714285,0.6885840670583122,0.25,39.02610458630294,-76.57909172935835,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,0.4810817323762626,0.5943277119462074,0.0,0.8571428571428571,0.8188457897626068,0.0,38.96138642203021,-76.55496316069329,resistant,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,0.45755162115963205,0.3350847658823667,0.0,0.42857142857142855,0.7591462074117692,0.0,39.177866008144754,-76.66232851415468,resistant,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,0.4122135000351657,0.4710478635027826,0.0,0.7142857142857143,0.716585930711951,0.25,38.91174543245832,-76.66933816954838,isolated,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,0.481249071261163,0.5334339616454251,0.0,0.8571428571428571,0.7542573316177055,0.0,39.02379558677741,-76.65722201830398,early_adopter,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
6,0.37985074544432684,0.1917264957580034,1.0,1.0,0.1908349086663024,1.0,39.070102265049066,-76.63146815547825,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
7,0.6292868999208124,0.8771311015661998,0.0,1.0,0.3228627211231957,0.0,39.14737216353034,-76.33847847907039,isolated,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,0.6164224827529511,0.06134117187539325,0.0,0.2857142857142857,0.8493695405459362,0.5,38.95721550095708,-76.71046640518858,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
9,0.7336140333861868,0.8178114397925744,0.0,0.7142857142857143,0.7779313760714165,1.0,39.15815020113802,-76.69793292690454,early_adopter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10,0.5825853736913489,0.48740462563628556,0.0,0.42857142857142855,0.15769505889797428,0.0,38.95693878467894,-76.46115803184401,isolated,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
11,0.5999292665545702,0.5245391726608459,0.75,0.42857142857142855,0.6850143227362248,0.0,39.1295550238975,-76.83894694695775,isolated,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
12,0.5447055222385913,0.12517996862572567,0.5,0.14285714285714285,0.6090949041516743,0.25,38.98954586254449,-76.73186761109314,isolated,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
13,0.4499981233302605,0.5258094889070651,0.0,0.14285714285714285,0.5887584304677839,0.0,39.1491176296606,-76.6434665845478,resistant,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
14,0.7845729549348911,0.06392749721701811,0.0,1.0,0.5195491357123854,0.5,39.00717900125306,-76.58642591248919,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
15,0.5273425263199099,0.10707434231340565,0.0,1.0,0.5489731353136328,0.0,39.102891618282975,-76.62433604966668,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
16,0.8296310041146746,0.15463680417104245,0.0,0.8571428571428571,0.6215427167501782,0.25,38.95295758408242,-76.59139655612833,isolated,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,0.39112068037197467,0.6296071777283703,1.0,1.0,0.3485153521094738,0.25,38.97641861446337,-76.54043053500342,social_follower,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,0.6527450548677098,0.15194269446541478,1.0,0.2857142857142857,0.6695761248671575,0.0,38.90333266860187,-76.60170465925641,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19,0.6620728165661038,0.11293516515621267,0.0,0.8571428571428571,0.5287314009933142,0.0,39.22176517110591,-76.52753415706351,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
20,0.5514425440197803,0.007749654169126945,0.0,0.14285714285714285,0.2532810707391837,0.0,39.01741162085915,-76.65040635646372,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
21,0.585736171042919,0.5725127556745064,0.0,0.14285714285714285,0.6202317453523237,0.5,38.886613231140906,-76.79248730156864,isolated,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
22,0.5593422765952274,0.015500102106081682,0.0,0.8571428571428571,0.7547794469640992,0.5,39.01026431533391,-76.70542793338343,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
23,0.45788241053585726,0.292317454233156,1.0,0.5714285714285714,0.2479997967135545,0.0,38.75584588115062,-76.60845173795845,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
