household_id,timestep,repair,vacant,sell
1,0,0,0,0
1,1,0,0,0
1,2,0,0,0
1,3,0,0,0
1,4,0,0,0
1,5,0,0,0
1,6,0,0,0
1,7,0,0,0
1,8,0,0,0
1,9,0,0,0
1,10,0,0,0
1,11,0,0,0
1,12,0,0,0
1,13,0,0,0
1,14,0,0,0
1,15,0,0,0
1,16,0,0,0
1,17,0,0,0
1,18,0,0,0
1,19,0,0,0
1,20,0,0,0
1,21,0,0,0
1,22,0,0,0
1,23,0,0,0
2,0,0,0,0
2,1,0,0,0
2,2,0,0,0
2,3,0,0,0
2,4,0,0,0
2,5,0,0,0
2,6,0,0,0
2,7,0,0,0
2,8,0,0,0
2,9,0,0,0
2,10,0,0,0
2,11,0,0,0
2,12,0,0,0
2,13,0,0,0
2,14,0,0,0
2,15,0,0,0
2,16,0,0,0
2,17,0,0,0
2,18,0,0,0
2,19,0,0,0
2,20,0,0,0
2,21,0,0,0
2,22,0,0,0
2,23,0,0,0
3,0,0,0,0
3,1,0,0,0
3,2,0,0,0
3,3,0,0,0
3,4,0,0,0
3,5,0,0,0
3,6,0,0,0
3,7,0,0,0
3,8,0,0,0
3,9,0,0,0
3,10,0,0,0
3,11,0,0,0
3,12,0,0,0
3,13,0,0,0
3,14,0,0,0
3,15,0,0,0
3,16,0,0,0
3,17,0,0,0
3,18,0,0,0
3,19,0,0,0
3,20,0,0,0
3,21,0,0,0
3,22,0,0,0
3,23,0,0,0
4,0,0,0,0
4,1,0,0,0
4,2,0,0,0
4,3,0,0,0
4,4,0,0,0
4,5,0,0,0
4,6,0,0,0
4,7,0,0,0
4,8,0,0,0
4,9,0,0,0
4,10,0,0,0
4,11,0,0,0
4,12,0,0,0
4,13,0,0,0
4,14,0,0,0
4,15,0,0,0
4,16,0,0,0
4,17,0,0,0
4,18,0,0,0
4,19,0,0,0
4,20,0,0,0
4,21,0,0,0
4,22,0,0,0
4,23,0,0,0
5,0,1,0,0
5,1,1,0,0
5,2,1,0,0
5,3,1,0,0
5,4,1,0,0
5,5,1,0,0
5,6,1,0,0
5,7,1,1,1
5,8,1,1,1
5,9,1,1,1
5,10,1,1,1
5,11,1,1,1
5,12,1,1,1
5,13,1,1,1
5,14,1,1,1
5,15,1,1,1
5,16,1,1,1
5,17,1,1,1
5,18,1,1,1
5,19,1,1,1
5,20,1,1,1
5,21,1,1,1
5,22,1,1,1
5,23,1,1,1
6,0,1,0,0
6,1,1,0,0
6,2,1,0,0
6,3,1,0,0
6,4,1,0,0
6,5,1,0,0
6,6,1,0,0
6,7,1,0,0
6,8,1,0,0
6,9,1,0,0
6,10,1,0,0
6,11,1,0,0
6,12,1,0,0
6,13,1,0,0
6,14,1,0,0
6,15,1,0,0
6,16,1,0,0
6,17,1,0,0
6,18,1,0,0
6,19,1,0,0
6,20,1,0,0
6,21,1,0,0
6,22,1,0,0
6,23,1,0,0
7,0,0,0,0
7,1,0,0,0
7,2,0,0,0
7,3,0,0,0
7,4,0,0,0
7,5,0,0,0
7,6,0,0,0
7,7,0,0,0
7,8,0,0,0
7,9,0,0,0
7,10,0,0,0
7,11,0,0,0
7,12,0,0,0
7,13,0,0,0
7,14,0,0,0
7,15,0,0,0
7,16,0,0,0
7,17,0,0,0
7,18,0,0,0
7,19,0,0,0
7,20,0,0,0
7,21,0,0,0
7,22,0,0,0
7,23,0,0,0
8,0,0,0,0
8,1,0,0,0
8,2,0,0,0
8,3,0,0,0
8,4,0,0,0
8,5,0,0,0
8,6,0,0,0
8,7,1,0,0
8,8,1,0,0
8,9,1,0,0
8,10,1,0,0
8,11,1,0,0
8,12,1,0,0
8,13,1,0,0
8,14,1,0,0
