time_step,dimension,dimension_name,p_self_mean
0,0,vacancy_state,0.010467560257226083
0,1,repair_state,0.010275705951875547
0,2,sales_state,0.010426867184198607
1,0,vacancy_state,0.010536155802042722
1,1,repair_state,0.010474579483278113
1,2,sales_state,0.010452887013667382
2,0,vacancy_state,0.010452313830768082
2,1,repair_state,0.010468469051739548
2,2,sales_state,0.010550637537059164
3,0,vacancy_state,0.010585858136172539
3,1,repair_state,0.010664765120934623
3,2,sales_state,0.0107142561649546
4,0,vacancy_state,0.010605722364071025
4,1,repair_state,0.010548271549494077
4,2,sales_state,0.010652071101536107
5,0,vacancy_state,0.010602616862863736
5,1,repair_state,0.010840443866313236
5,2,sales_state,0.010624241789215807
6,0,vacancy_state,0.010611237340249062
6,1,repair_state,0.010683413025541839
6,2,sales_state,0.010705721528622395
7,0,vacancy_state,0.010688437010606558
7,1,repair_state,0.010693230694086285
7,2,sales_state,0.010524578500894602
8,0,vacancy_state,0.010545564288681222
8,1,repair_state,0.01039266626973506
8,2,sales_state,0.010478283456303647
9,0,vacancy_state,0.01043790169073494
9,1,repair_state,0.010463688326258267
9,2,sales_state,0.010431945083770459
10,0,vacancy_state,0.01033309560047086
10,1,repair_state,0.01021296208706659
10,2,sales_state,0.010218127989259888
11,0,vacancy_state,0.010152678885504156
11,1,repair_state,0.010179708719081377
11,2,sales_state,0.010070090663770861
12,0,vacancy_state,0.010067981957912326
12,1,repair_state,0.009991301732761528
12,2,sales_state,0.009932782297766105
13,0,vacancy_state,0.009905311255828504
13,1,repair_state,0.009868481272639054
13,2,sales_state,0.009789737904719318
14,0,vacancy_state,0.009787055856646376
14,1,repair_state,0.009667137750310015
14,2,sales_state,0.009851681779965798
15,0,vacancy_state,0.009493636233354877
15,1,repair_state,0.009489859586589697
15,2,sales_state,0.009674951415325216
16,0,vacancy_state,0.009492992713076418
16,1,repair_state,0.009438289265534576
16,2,sales_state,0.009576628354571902
17,0,vacancy_state,0.009338615677927315
17,1,repair_state,0.009342869358785071
17,2,sales_state,0.009384639212449421
18,0,vacancy_state,0.009280955037966263
18,1,repair_state,0.009267768017641953
18,2,sales_state,0.009311259155173897
19,0,vacancy_state,0.00926167768209629
19,1,repair_state,0.0093021838212572
19,2,sales_state,0.00929044095289024
20,0,vacancy_state,0.009253452115139303
20,1,repair_state,0.009160382483111948
20,2,sales_state,0.009249755993977352
21,0,vacancy_state,0.009258513502813825
21,1,repair_state,0.009389803595751449
21,2,sales_state,0.009300318181903546
22,0,vacancy_state,0.009247005319233881
22,1,repair_state,0.009246328964716994
22,2,sales_state,0.009269806316351275
