time_step,dimension,dimension_name,household_id,num_active_neighbors,prod_term,activate_prob,p_self
0,0,vacancy_state,dqcp176g,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnc29k,1,0.6875958777472511,0.31240412225274894,0.0
0,0,vacancy_state,dqcncsjm,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnbchm,3,0.15325796751900597,0.8,0.0
0,0,vacancy_state,dqcng43b,0,1.0,0.0,0.0
0,0,vacancy_state,dqcp473c,0,1.0,0.0,0.0
0,0,vacancy_state,dqcncvkb,1,1.0,0.0,0.0
0,0,vacancy_state,dqcp1rx0,0,1.0,0.0,0.0
0,0,vacancy_state,dqcp1yv9,1,0.5,0.5,0.0
0,0,vacancy_state,dqcnctbb,4,0.0625,0.8,0.0
0,0,vacancy_state,dqcngjkj,1,0.5026430118626519,0.4973569881373481,0.0
0,0,vacancy_state,dqcncf4c,7,0.010333230692231058,0.8,0.0
0,0,vacancy_state,dqcnf6cj,4,0.06842637611910721,0.8,0.0
0,0,vacancy_state,dqcncfq5,0,1.0,0.0,0.0
0,0,vacancy_state,dqcne4gy,0,1.0,0.0,0.0
0,0,vacancy_state,dqcng06w,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnf3uz,1,0.6031876293880164,0.3968123706119836,0.0
0,0,vacancy_state,dqcnc6tb,5,0.04147833291961408,0.8,0.0
0,0,vacancy_state,dqcp1z6r,1,1.0,0.0,0.0
0,0,vacancy_state,dqcncdq7,4,1.0,0.20621704855510958,0.2062170485551096
0,0,vacancy_state,dqcp1ys8,0,1.0,0.0,0.0
0,0,vacancy_state,dqcp4kgx,0,1.0,0.0,0.0
0,0,vacancy_state,dqcncwc5,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnc0y3,8,1.0,0.0,0.0
0,0,vacancy_state,dqcncf6c,1,0.572544500101378,0.42745549989862197,0.0
0,0,vacancy_state,dqcnfffs,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnc0gn,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnfqc3,0,1.0,0.0,0.0
0,0,vacancy_state,dqcncx6x,1,1.0,0.0,0.0
0,0,vacancy_state,dqcne1qu,12,1.0,0.0,0.0
0,0,vacancy_state,dqcn9xvx,0,1.0,0.0,0.0
0,0,vacancy_state,dqcp1wg8,2,1.0,0.0,0.0
0,0,vacancy_state,dqcp1gxv,0,1.0,0.0,0.0
0,0,vacancy_state,dqcnenmf,0,1.0,0.0,0.0
0,0,vacancy_state,dqcncgsj,6,0.01783855544912783,0.8,0.0
0,0,vacancy_state,dqcncfjz,0,1.0,0.0,0.0
0,0,vacancy_state,dqcp4k9b,0,1.0,0.0,0.0
0,0,vacancy_state,dqcncv9e,2,0.4237110633188289,0.5762889366811711,0.0
