time_step,dimension,dimension_name,p_ji_nonzero_mean,nonzero_count
0,0,vacancy_state,0.35055430347244715,1802
0,1,repair_state,0.352792302655629,1790
0,2,sales_state,0.35073629770468523,1820
1,0,vacancy_state,0.35928863698973507,1768
1,1,repair_state,0.36265156486736055,1694
1,2,sales_state,0.35809974763039654,1778
2,0,vacancy_state,0.37986586411908657,1576
2,1,repair_state,0.37927981184672677,1596
2,2,sales_state,0.3809217225868827,1514
3,0,vacancy_state,0.3883826732730768,1524
3,1,repair_state,0.3882197805322774,1526
3,2,sales_state,0.38735678855016503,1536
4,0,vacancy_state,0.3883819396632221,1526
4,1,repair_state,0.3894054696078072,1498
4,2,sales_state,0.38961384250232756,1502
5,0,vacancy_state,0.3905678710235411,1552
5,1,repair_state,0.3893109270158688,1510
5,2,sales_state,0.3869917186622621,1486
6,0,vacancy_state,0.3898625328970199,1492
6,1,repair_state,0.3896752113098604,1484
6,2,sales_state,0.3877442580878089,1472
7,0,vacancy_state,0.38833695877182756,1516
7,1,repair_state,0.3901652356709826,1506
7,2,sales_state,0.38828010020685766,1468
8,0,vacancy_state,0.38928467208261,1506
8,1,repair_state,0.3876456718714365,1460
8,2,sales_state,0.3903188107144206,1506
9,0,vacancy_state,0.38750678632748053,1478
9,1,repair_state,0.3886276749622717,1482
9,2,sales_state,0.39270623326597603,1480
10,0,vacancy_state,0.39142793887409316,1516
10,1,repair_state,0.38987083107089493,1486
10,2,sales_state,0.3900458904438265,1514
11,0,vacancy_state,0.3905593387881671,1486
11,1,repair_state,0.389075777679756,1478
11,2,sales_state,0.3886490511522621,1480
12,0,vacancy_state,0.39051780569289196,1486
12,1,repair_state,0.38984960705368604,1486
12,2,sales_state,0.38924665648237705,1506
13,0,vacancy_state,0.3901230438793477,1500
13,1,repair_state,0.3904752345248869,1526
13,2,sales_state,0.3902009759745153,1508
14,0,vacancy_state,0.38991039040380815,1486
14,1,repair_state,0.38999729239954467,1512
14,2,sales_state,0.3895348418280262,1494
15,0,vacancy_state,0.387833638710204,1478
15,1,repair_state,0.39021326685942154,1486
15,2,sales_state,0.3899175031872618,1504
16,0,vacancy_state,0.3887004929286307,1454
16,1,repair_state,0.388335399297021,1526
16,2,sales_state,0.3899986651207016,1490
17,0,vacancy_state,0.3882244980094981,1484
17,1,repair_state,0.38972811945879,1496
17,2,sales_state,0.3870198121581309,1450
18,0,vacancy_state,0.39023652898701844,1522
18,1,repair_state,0.3880307047621917,1510
18,2,sales_state,0.3902335340788942,1500
19,0,vacancy_state,0.39235794696141557,1530
19,1,repair_state,0.3879802494704341,1480
19,2,sales_state,0.3871348996911207,1472
20,0,vacancy_state,0.3901111077897966,1524
20,1,repair_state,0.39117112777102614,1496
20,2,sales_state,0.39059266788568764,1490
21,0,vacancy_state,0.39041755179631216,1500
21,1,repair_state,0.3912391031856285,1522
21,2,sales_state,0.3898706297624248,1486
22,0,vacancy_state,0.39135609920482456,1486
22,1,repair_state,0.38989001241176613,1482
22,2,sales_state,0.3903872570890627,1486
