household_id,latitude,longitude
1,38.991725166205896,-76.45361254733619
2,39.13928087303111,-76.6171267096861
3,38.978020295042924,-76.53473109256589
4,39.10773729326712,-76.55856914245538
5,39.10268445286852,-76.515260727889
6,39.05324205607688,-76.59030969789376
7,39.07826788901725,-76.7466214118709
8,38.91241200108756,-76.51372683203876
9,38.949075265704394,-76.63879018710938
10,38.964181258746784,-76.54729580270045
11,38.98948006556565,-76.75518615463719
12,39.17261384701208,-76.85514982172059
13,39.063149716113756,-76.50706528302989
14,38.99790838057245,-76.69125575950093
15,38.97622274905757,-76.56372386573587
16,38.976187718130795,-76.63334045704161
17,39.09203770895529,-76.66561353860342
18,39.13081234667838,-76.4108598121183
19,38.875134215902335,-76.48314087468992
20,39.01172209078593,-76.56352961806432
21,38.761138415372955,-76.67745659631454
22,39.069381834750544,-76.60508652101133
23,38.92730862645179,-76.6480635065643
24,39.18809158586703,-76.59549514199838
25,38.725583003528484,-76.67791032715041
26,38.91044546549656,-76.6213957828865
27,38.83294657415083,-76.5006840762839
28,39.09114108310815,-76.86969935731496
29,39.07331825907431,-76.75774651922988
30,38.979099178717654,-76.80335391809507
31,39.077515973447106,-76.53895100253844
32,39.153181749670544,-76.51963304555795
33,38.89176710997279,-76.5168267969413
34,38.96139817401344,-76.54811153142961
35,39.10000275866437,-76.60761878305942
36,39.06970697685189,-76.5353320751813
37,38.939706834384204,-76.58589650351375
38,39.038880449464436,-76.65599010317031
39,39.04244890023375,-76.65693052945369
40,38.88539622526485,-76.71543462958039
41,38.933821312083886,-76.45565310400151
42,39.0660924542929,-76.45212897904334
43,38.91023101157947,-76.707064446818
44,38.85432023300223,-76.57738942146302
45,38.884047521018154,-76.68810248252173
46,39.079376535577616,-76.59741332804128
47,39.003133462033865,-76.6926396435476
48,39.16352029666264,-76.49695808552816
49,39.064603138567435,-76.56508144318552
50,39.25856103240609,-76.5357604508039
51,39.03643898015145,-76.55479112973539
52,38.930682244535184,-76.60957928111763
53,39.06600948992452,-76.6636624426862
54,39.076309806098614,-76.55327885329727
55,38.9287574484559,-76.68683927095691
56,39.10053848410013,-76.5872639982181
57,38.85018792980146,-76.66206412813462
58,38.95355379882419,-76.74678186229376
59,39.071225685591806,-76.46854033476318
60,38.94819887300739,-76.54517306306646
61,39.00886117166808,-76.82200208038161
62,39.01796523393453,-76.75227323070946
63,38.898536701349805,-76.48992460481385
64,38.901720572156506,-76.75085855491035
