household_id_1,household_id_2,link_type,timestep,source,period
1,2,0,0,inferred,train
1,3,2,0,observed,train
1,4,2,0,observed,train
1,5,0,0,inferred,train
1,6,0,0,inferred,train
1,7,2,0,observed,train
1,8,0,0,inferred,train
1,9,0,0,inferred,train
1,10,0,0,inferred,train
1,11,0,0,inferred,train
1,12,0,0,inferred,train
1,13,0,0,inferred,train
1,14,0,0,inferred,train
1,15,0,0,inferred,train
1,16,0,0,inferred,train
1,17,2,0,observed,train
1,18,0,0,inferred,train
1,19,0,0,inferred,train
1,20,0,0,inferred,train
1,21,0,0,inferred,train
1,22,0,0,inferred,train
1,23,0,0,inferred,train
1,24,0,0,inferred,train
1,25,0,0,inferred,train
1,26,0,0,inferred,train
1,27,2,0,observed,train
1,28,0,0,inferred,train
1,29,0,0,inferred,train
1,30,0,0,inferred,train
1,31,0,0,inferred,train
1,32,0,0,inferred,train
1,33,0,0,inferred,train
1,34,0,0,inferred,train
1,35,0,0,inferred,train
1,36,0,0,inferred,train
1,37,0,0,inferred,train
1,38,0,0,inferred,train
1,39,0,0,inferred,train
1,40,0,0,inferred,train
1,41,0,0,inferred,train
1,42,0,0,inferred,train
1,43,0,0,inferred,train
1,44,0,0,inferred,train
1,45,0,0,inferred,train
1,46,2,0,observed,train
1,47,0,0,inferred,train
1,48,0,0,inferred,train
1,49,0,0,inferred,train
1,50,0,0,inferred,train
2,3,2,0,observed,train
2,4,0,0,inferred,train
2,5,2,0,observed,train
2,6,0,0,inferred,train
2,7,2,0,observed,train
2,8,0,0,inferred,train
2,9,2,0,observed,train
2,10,0,0,inferred,train
2,11,0,0,inferred,train
2,12,0,0,inferred,train
2,13,0,0,inferred,train
2,14,0,0,inferred,train
2,15,0,0,inferred,train
2,16,0,0,inferred,train
2,17,0,0,inferred,train
2,18,2,0,observed,train
2,19,0,0,inferred,train
2,20,0,0,inferred,train
2,21,0,0,inferred,train
2,22,0,0,inferred,train
2,23,0,0,inferred,train
2,24,0,0,inferred,train
2,25,0,0,inferred,train
2,26,0,0,inferred,train
2,27,0,0,inferred,train
2,28,0,0,inferred,train
2,29,0,0,inferred,train
2,30,0,0,inferred,train
2,31,0,0,inferred,train
2,32,0,0,inferred,train
2,33,0,0,inferred,train
2,34,0,0,inferred,train
2,35,0,0,inferred,train
2,36,0,0,inferred,train
2,37,0,0,inferred,train
2,38,0,0,inferred,train
2,39,0,0,inferred,train
2,40,0,0,inferred,train
2,41,2,0,observed,train
2,42,2,0,observed,train
2,43,0,0,inferred,train
2,44,2,0,observed,train
2,45,2,0,observed,train
2,46,0,0,inferred,train
2,47,0,0,inferred,train
2,48,0,0,inferred,train
2,49,0,0,inferred,train
2,50,2,0,observed,train
3,4,2,0,inferred,train
3,5,0,0,inferred,train
3,6,1,0,inferred,train
3,7,1,0,observed,train
3,8,2,0,inferred,train
3,9,2,0,observed,train
3,10,2,0,inferred,train
3,11,2,0,inferred,train
3,12,2,0,inferred,train
3,13,2,0,inferred,train
3,14,2,0,inferred,train
3,15,2,0,observed,train
3,16,2,0,inferred,train
3,17,1,0,inferred,train
3,18,2,0,inferred,train
3,19,2,0,inferred,train
3,20,0,0,inferred,train
3,21,0,0,inferred,train
3,22,0,0,inferred,train
3,23,0,0,inferred,train
3,24,0,0,inferred,train
3,25,2,0,observed,train
3,26,0,0,inferred,train
3,27,0,0,inferred,train
3,28,2,0,inferred,train
3,29,2,0,inferred,train
3,30,0,0,inferred,train
3,31,0,0,inferred,train
3,32,0,0,inferred,train
3,33,0,0,inferred,train
3,34,2,0,inferred,train
3,35,2,0,observed,train
3,36,0,0,inferred,train
3,37,2,0,inferred,train
3,38,2,0,inferred,train
3,39,2,0,inferred,train
3,40,2,0,observed,train
3,41,2,0,observed,train
3,42,0,0,inferred,train
3,43,2,0,inferred,train
3,44,2,0,observed,train
3,45,2,0,inferred,train
3,46,0,0,inferred,train
3,47,0,0,inferred,train
3,48,2,0,observed,train
3,49,0,0,inferred,train
3,50,2,0,observed,train
4,5,2,0,observed,train
4,6,2,0,inferred,train
4,7,2,0,inferred,train
4,8,2,0,inferred,train
4,9,0,0,inferred,train
4,10,0,0,inferred,train
4,11,0,0,inferred,train
4,12,0,0,inferred,train
4,13,2,0,inferred,train
4,14,2,0,observed,train
4,15,0,0,inferred,train
4,16,0,0,inferred,train
4,17,0,0,inferred,train
4,18,2,0,observed,train
4,19,0,0,inferred,train
4,20,0,0,inferred,train
4,21,2,0,observed,train
4,22,0,0,inferred,train
4,23,2,0,observed,train
4,24,0,0,inferred,train
4,25,2,0,inferred,train
4,26,2,0,observed,train
4,27,0,0,inferred,train
4,28,2,0,inferred,train
4,29,0,0,inferred,train
4,30,0,0,inferred,train
4,31,2,0,inferred,train
4,32,2,0,observed,train
4,33,0,0,inferred,train
4,34,2,0,observed,train
4,35,2,0,observed,train
4,36,0,0,inferred,train
4,37,2,0,inferred,train
4,38,2,0,inferred,train
4,39,2,0,inferred,train
4,40,0,0,inferred,train
4,41,0,0,inferred,train
4,42,0,0,inferred,train
4,43,0,0,inferred,train
4,44,0,0,inferred,train
4,45,2,0,inferred,train
4,46,0,0,inferred,train
4,47,0,0,inferred,train
4,48,0,0,inferred,train
4,49,0,0,inferred,train
4,50,2,0,observed,train
5,6,0,0,inferred,train
5,7,0,0,inferred,train
5,8,2,0,inferred,train
5,9,2,0,observed,train
5,10,2,0,observed,train
5,11,0,0,inferred,train
5,12,0,0,inferred,train
5,13,0,0,inferred,train
5,14,0,0,inferred,train
5,15,2,0,observed,train
5,16,0,0,inferred,train
5,17,0,0,inferred,train
5,18,0,0,inferred,train
5,19,0,0,inferred,train
5,20,0,0,inferred,train
5,21,0,0,inferred,train
5,22,0,0,inferred,train
5,23,0,0,inferred,train
5,24,0,0,inferred,train
5,25,0,0,inferred,train
5,26,0,0,inferred,train
5,27,0,0,inferred,train
5,28,0,0,inferred,train
5,29,0,0,inferred,train
5,30,0,0,inferred,train
5,31,0,0,inferred,train
5,32,0,0,inferred,train
5,33,0,0,inferred,train
5,34,0,0,inferred,train
5,35,0,0,inferred,train
5,36,0,0,inferred,train
5,37,0,0,inferred,train
5,38,0,0,inferred,train
5,39,0,0,inferred,train
5,40,2,0,observed,train
5,41,0,0,inferred,train
5,42,2,0,observed,train
5,43,0,0,inferred,train
5,44,0,0,inferred,train
5,45,2,0,observed,train
5,46,0,0,inferred,train
5,47,0,0,inferred,train
5,48,0,0,inferred,train
5,49,0,0,inferred,train
5,50,0,0,inferred,train
6,7,0,0,inferred,train
6,8,2,0,inferred,train
6,9,0,0,inferred,train
6,10,2,0,observed,train
6,11,0,0,inferred,train
6,12,0,0,inferred,train
6,13,2,0,inferred,train
6,14,0,0,inferred,train
6,15,0,0,inferred,train
6,16,0,0,inferred,train
6,17,0,0,inferred,train
6,18,0,0,inferred,train
6,19,2,0,inferred,train
6,20,2,0,observed,train
6,21,0,0,inferred,train
6,22,0,0,inferred,train
6,23,0,0,inferred,train
6,24,2,0,observed,train
6,25,0,0,inferred,train
6,26,2,0,inferred,train
6,27,0,0,inferred,train
6,28,2,0,inferred,train
6,29,0,0,inferred,train
6,30,0,0,inferred,train
6,31,2,0,inferred,train
6,32,2,0,inferred,train
6,33,0,0,inferred,train
6,34,2,0,inferred,train
6,35,0,0,inferred,train
6,36,0,0,inferred,train
6,37,0,0,inferred,train
6,38,0,0,inferred,train
6,39,2,0,observed,train
6,40,0,0,inferred,train
6,41,2,0,inferred,train
6,42,0,0,inferred,train
6,43,0,0,inferred,train
6,44,0,0,inferred,train
6,45,0,0,inferred,train
6,46,2,0,observed,train
6,47,0,0,inferred,train
6,48,0,0,inferred,train
6,49,0,0,inferred,train
6,50,0,0,inferred,train
7,8,2,0,inferred,train
7,9,0,0,inferred,train
7,10,2,0,observed,train
7,11,0,0,inferred,train
7,12,0,0,inferred,train
7,13,2,0,inferred,train
7,14,0,0,inferred,train
7,15,0,0,inferred,train
7,16,2,0,observed,train
7,17,2,0,observed,train
7,18,0,0,inferred,train
7,19,2,0,inferred,train
7,20,2,0,observed,train
7,21,0,0,inferred,train
7,22,0,0,inferred,train
7,23,0,0,inferred,train
7,24,0,0,inferred,train
7,25,0,0,inferred,train
7,26,2,0,inferred,train
7,27,2,0,observed,train
7,28,2,0,inferred,train
7,29,0,0,inferred,train
7,30,0,0,inferred,train
