P_no_link,P_bonding,P_bridging
0.777678347544722,0.01969794549988708,0.20262370695539092
0.7484605782877107,0.021398136474202627,0.23014128523808655
0.7490052435659484,0.01020094348826133,0.24079381294579025
0.8056062635573981,0.008669565158070549,0.1857241712845315
0.8265138780951711,0.015036124431808132,0.15844999747302088
0.7412038500410034,0.02276105132483775,0.23603509863415878
0.7798541734625486,0.005723996955239033,0.21442182958221248
0.7542829149740654,0.029959741280844616,0.21575734374508998
0.6713261426379523,0.060979183774299006,0.2676946735877488
0.9676999319046481,9.676999319046463e-09,0.03230005841835263
0.727530491130285,0.04295875127073795,0.22951075759897704
0.7686453689774937,0.024137671946207855,0.20721695907629856
0.7904434431925206,0.013287395970422214,0.19626916083705728
0.6805295067741596,0.06550089504497696,0.25396959818086345
0.7298235595385214,0.053123125972174855,0.21705331448930376
0.8456621494456406,0.006564154117644134,0.14777369643671548
0.8169242611547813,0.0006119342112469511,0.1824638046339717
0.7984990465946373,0.009234547551354071,0.1922664058540086
0.7858988410046621,0.002777722396315225,0.21132343659902272
0.8038418218277497,0.013090511907801475,0.1830676662644488
0.9171648389157372,0.0011717665520727437,0.08166339453219022
0.7238837381583327,0.023951156211290212,0.2521651056303769
0.7970150194353259,0.01269390619797279,0.1902910743667012
0.8987983687406962,0.00025099449268444694,0.10095063676661932
0.7644659258603259,0.005599882866268874,0.22993419127340534
0.8628102739367838,0.013873248138208795,0.12331647792500736
0.7171780787603849,0.0356945315238195,0.24712738971579562
0.8452909503123538,0.01310052695045914,0.14160852273718694
0.7449509687278514,0.03499972060408516,0.22004931066806355
0.8125827624396952,0.01538441413811934,0.17203282342218545
0.6967838677770749,0.0584117968296023,0.24480433539332266
0.8005606000469174,0.056263137439680325,0.14317626251340237
0.770826619644537,0.02224641402099614,0.2069269663344667
0.920968221309561,0.0010218224556900388,0.07800995623474895
0.8815352729846637,0.0043152102899459,0.11414951672539043
0.7678388170495789,0.018271966517856834,0.21388921643256426
0.7211970858801959,0.0629613435703887,0.21584157054941525
0.7831037296096859,0.015497617121875376,0.20139865326843878
0.7717747320961965,0.010092259704723258,0.21813300819908024
0.8618899820734616,0.007455050167685197,0.1306549677588532
0.7386465948683453,0.01848302701335979,0.242870378118295
0.717517536223222,0.03907123985791029,0.24341122391886777
0.8487987463655802,0.006434874918178325,0.14476637871624154
0.8124340377996639,0.0003284417293016881,0.18723752047103437
0.7690605648241107,0.017980816194325587,0.21295861898156385
0.6754097046681327,0.05800956771369511,0.26658072761817225
0.8472651890401109,0.03775707280544883,0.11497773815444016
0.8415267318083309,0.00640241552899561,0.15207085266267348
0.8276253343645005,0.0014860741284499354,0.17088859150704952
0.6700949296664297,0.0699098881419654,0.25999518219160495
0.7927873666126073,0.00874295804280548,0.19846967534458718
0.6427004496811834,0.07520108404145613,0.2820984662773604
0.7462863382526244,0.04817259078585845,0.20554107096151708
0.6845570892334797,0.06446908291842039,0.25097382784809985
0.7969767895704277,0.011182761528187823,0.19184044890138444
0.7157213789689273,0.03215158992513682,0.2521270311059359
0.794847288696372,0.01290738365913886,0.19224532764448923
0.9719925413348051,9.719925413348068e-09,0.028007448945269624
0.7474870399581975,0.04586199541120724,0.2066509646305952
0.633882091345525,0.07943492889338116,0.2866829797610938
0.7125226179883866,0.0393101589455043,0.24816722306610908
0.7864523747155452,0.008242494061311029,0.20530513122314376
0.8414411131225681,0.00889403355498303,0.14966485332244897
0.8834268515179845,0.004400832178783583,0.112172316303232
0.8590720564151691,0.0028802151652126224,0.13804772841961815
0.8680899991062914,0.0057007369627553525,0.12620926393095322
0.8429165736228288,0.0025279097710218454,0.15455551660614925
0.8608186032279618,0.007176556973294225,0.13200483979874394
0.863998953143239,0.0022515871369546583,0.1337494597198063
0.7907931772041851,0.013657696447917896,0.19554912634789706
0.709275068187552,0.032284133589372634,0.25844079822307525
0.8595680689855649,0.0016401981940332194,0.13879173282040194
0.8234791310468872,0.005593683483058679,0.17092718547005414
0.7882108001038541,0.05859108733325181,0.153198112562894
0.6891871769206566,0.05467478020660949,0.2561380428727339
0.7080199983976544,0.05586608964441638,0.2361139119579291
0.7647313412501375,0.007565745864374119,0.22770291288548838
0.7068326684758367,0.053924350516189656,0.2392429810079737
0.8110362362826168,0.009681302788750084,0.179282460928633
0.9039173373927154,0.010230109223551095,0.08585255338373365
0.614346732237303,0.09088532832120495,0.29476793944149204
0.8802500169683718,0.0017304561798701956,0.11801952685175791
0.8437749325716666,0.00630607190906473,0.1499189955192687
0.8155071889742427,0.009653353338794407,0.174839457686963
0.8463778212842882,0.00470767609647312,0.14891450261923883
0.7198802204744907,0.02234779432612085,0.2577719851993885
0.7945084137648714,0.007793683293523244,0.19769790294160544
0.8766150136275019,0.011645990425278436,0.11173899594721955
0.7879814948890498,0.011232902845358673,0.20078560226559153
0.7683721199402921,0.017039091555242317,0.2145887885044657
0.9142980732745638,0.0011981429666443402,0.08450378375879185
0.8311956390214806,0.0017367016739433614,0.16706765930457615
0.8084667707662245,0.01959287171341383,0.1719403575203616
