time_step,dimension,dimension_name,p_self_mean
0,0,vacancy_state,0.021261393969068846
0,1,repair_state,0.021261393969068846
0,2,sales_state,0.021261393969068846
1,0,vacancy_state,0.019767997290144862
1,1,repair_state,0.019767997290144862
1,2,sales_state,0.019767997290144862
2,0,vacancy_state,0.01836735306632774
2,1,repair_state,0.01836735306632774
2,2,sales_state,0.01836735306632774
3,0,vacancy_state,0.017055207064948227
3,1,repair_state,0.017055207064948227
3,2,sales_state,0.017055207064948227
4,0,vacancy_state,0.015827320886402062
4,1,repair_state,0.015827320886402062
4,2,sales_state,0.015827320886402062
5,0,vacancy_state,0.014679494920332284
5,1,repair_state,0.014679494920332284
5,2,sales_state,0.014679494920332284
6,0,vacancy_state,0.013607589260789652
6,1,repair_state,0.013607589260789652
6,2,sales_state,0.013607589260789652
7,0,vacancy_state,0.012607542417267994
7,1,repair_state,0.012607542417267994
7,2,sales_state,0.012607542417267994
8,0,vacancy_state,0.011675387729040025
8,1,repair_state,0.011675387729040025
8,2,sales_state,0.011675387729040025
9,0,vacancy_state,0.010807267454079249
9,1,repair_state,0.010807267454079249
9,2,sales_state,0.010807267454079249
10,0,vacancy_state,0.00999944455958265
10,1,repair_state,0.00999944455958265
10,2,sales_state,0.00999944455958265
11,0,vacancy_state,0.00924831228789597
11,1,repair_state,0.00924831228789597
11,2,sales_state,0.00924831228789597
12,0,vacancy_state,0.008550401609245672
12,1,repair_state,0.008550401609245672
12,2,sales_state,0.008550401609245672
13,0,vacancy_state,0.007902386701319559
13,1,repair_state,0.007902386701319559
13,2,sales_state,0.007902386701319559
14,0,vacancy_state,0.007301088615988451
14,1,repair_state,0.007301088615988451
14,2,sales_state,0.007301088615988451
15,0,vacancy_state,0.0067434773061478895
15,1,repair_state,0.0067434773061478895
15,2,sales_state,0.0067434773061478895
16,0,vacancy_state,0.006226672191757033
16,1,repair_state,0.006226672191757033
16,2,sales_state,0.006226672191757033
17,0,vacancy_state,0.005747941444705052
17,1,repair_state,0.005747941444705052
17,2,sales_state,0.005747941444705052
18,0,vacancy_state,0.005304700168188308
18,1,repair_state,0.005304700168188308
18,2,sales_state,0.005304700168188308
19,0,vacancy_state,0.004894507638831307
19,1,repair_state,0.004894507638831307
19,2,sales_state,0.004894507638831307
20,0,vacancy_state,0.004515063769744465
20,1,repair_state,0.004515063769744465
20,2,sales_state,0.004515063769744465
21,0,vacancy_state,0.004164204940890743
21,1,repair_state,0.004164204940890743
21,2,sales_state,0.004164204940890743
22,0,vacancy_state,0.0038398993302256952
22,1,repair_state,0.0038398993302256952
22,2,sales_state,0.0038398993302256952
