household_id,latitude,longitude
41,39.21767234802246,-77.28487014770508
12,39.172868728637695,-77.28281021118164
8,39.15879249572754,-77.28693008422852
40,39.18848991394043,-77.19423294067383
4,39.159135818481445,-77.30752944946289
17,39.17819023132324,-77.27045059204102
5,39.16171073913574,-77.30478286743164
37,39.1677188873291,-77.2093391418457
34,39.19913291931152,-77.24916458129883
49,39.217329025268555,-77.2422981262207
1,38.82113456726074,-77.23714828491211
19,39.17904853820801,-77.26289749145508
20,39.1841983795166,-77.26015090942383
33,39.17853355407715,-77.23955154418945
43,39.24050331115723,-77.27903366088867
47,39.236555099487305,-77.25912094116211
18,39.18694496154785,-77.27663040161133
25,39.12737846374512,-77.19869613647461
39,39.18505668640137,-77.20624923706055
27,39.15295600891113,-77.19938278198242
29,39.17098045349121,-77.2422981262207
14,39.16651725769043,-77.26289749145508
30,39.17132377624512,-77.24332809448242
16,39.16823387145996,-77.2584342956543
24,39.12755012512207,-77.20659255981445
36,39.15776252746582,-77.20830917358398
28,39.16617393493652,-77.23817825317383
9,39.16909217834473,-77.2807502746582
11,39.176130294799805,-77.28761672973633
48,39.24033164978027,-77.26358413696289
13,39.16823387145996,-77.26907730102539
46,39.23501014709473,-77.26049423217773
50,39.22659873962402,-77.23989486694336
10,39.175615310668945,-77.28830337524414
31,39.17492866516113,-77.24332809448242
21,39.19295310974121,-77.27628707885742
7,39.159650802612305,-77.29104995727539
44,39.24307823181152,-77.27869033813477
15,39.167890548706055,-77.26289749145508
32,39.17115211486816,-77.21929550170898
38,39.169607162475586,-77.20418930053711
6,39.16050910949707,-77.29551315307617
35,39.192609786987305,-77.24298477172852
22,39.19638633728027,-77.27422714233398
23,39.118967056274414,-77.20247268676758
3,39.15518760681152,-77.27010726928711
45,39.23638343811035,-77.27285385131836
42,39.21938896179199,-77.25603103637695
2,39.150896072387695,-77.28761672973633
26,39.14608955383301,-77.2038459777832
