household_id,building_value,income,damage_level,population_scaled,age,race,latitude,longitude,agent_type,community_0,community_1,community_2,community_3,community_5,community_6,community_7,community_8,community_9,community_10,community_11,community_12,community_13,community_14,community_15,community_16,community_17,community_18,community_19
1,0.568255612778919,0.415620521626451,0.0,0.1428571428571428,0.7143754152362464,0.25,38.98795896715133,-76.56729734955894,resistant,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,0.6371988789211418,0.0908548417063915,0.0,0.7142857142857143,0.6367011701948599,0.0,39.146542228168315,-76.52063443279418,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,0.8527652269360323,0.0481597760938576,0.25,0.1428571428571428,0.8225253350701435,1.0,38.9789622900151,-76.58304662752481,isolated,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4,0.7245715529341112,0.3379809277405782,0.0,1.0,0.53846728195166,0.25,39.14657999332529,-76.49934254088244,resistant,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,0.4841429876898605,0.5413959049471547,0.5,0.1428571428571428,0.418979748647072,0.0,39.118903006917776,-76.63090135752624,social_follower,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,0.1856565374902587,0.0951489325434172,0.5,1.0,0.374274556816235,0.0,39.11158933012998,-76.62245227276183,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
7,0.2178971915583799,0.372569899697481,0.0,1.0,0.2533270817549717,0.25,38.89809564123804,-76.57261662268314,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
8,0.481904017692996,0.1050127537710834,0.5,0.1428571428571428,0.4084982234987618,1.0,38.945905975981816,-76.6569460754123,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9,0.4964623184453353,0.1297475302631018,0.0,0.1428571428571428,0.1478576771281227,0.0,38.93259154676718,-76.70590584033634,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10,0.5904786612671663,0.1785805045885951,0.0,0.7142857142857143,0.6274384719107748,0.0,38.92489699535227,-76.57641158954713,isolated,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
11,0.2866678713724317,0.6087304936082977,0.5,0.8571428571428571,0.5245972707202233,0.0,39.275958631116936,-76.64532800691917,isolated,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
12,0.2695516268638712,0.4804383390678907,0.5,0.7142857142857143,0.3884070826668008,0.0,39.09054248588813,-76.46340128970934,social_follower,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,0.420119481637723,0.0978018724764533,0.0,0.2857142857142857,0.6233842583350166,0.25,38.96804094416962,-76.80714513613235,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
14,0.2360665236626981,0.5573983681281661,1.0,0.1428571428571428,0.4952404939767723,1.0,39.00246604233923,-76.61929388937573,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
15,0.6491217452161469,0.0088682048687063,1.0,0.7142857142857143,0.6483755906544431,0.0,38.87848383189936,-76.44959706143956,early_adopter,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
16,0.4769654622879483,0.5516616370972308,0.0,0.1428571428571428,0.5795921237003299,0.25,38.96720496920078,-76.67779434576039,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
17,0.6218502884229664,0.0346493487018653,0.0,1.0,0.7196530966523483,0.0,39.00778504313066,-76.70426182010364,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
18,0.5833236223399517,0.0904974137609688,0.0,1.0,0.7082963111746734,0.25,38.88534115930176,-76.61019743579793,social_follower,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
19,0.7599133198019764,0.4304814812862735,0.0,0.2857142857142857,0.2849617889669824,0.0,38.95118171842081,-76.68944893346355,early_adopter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
20,0.2065153167037547,0.6864900506958589,0.25,1.0,0.5152958223654452,0.25,38.94347025742045,-76.56813782061357,resistant,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,0.4863653062481961,0.1975073482045766,0.0,0.1428571428571428,0.057684340637633,0.0,38.97622274905757,-76.56372386573587,isolated,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
22,0.3856119599286212,0.2578214463974274,1.0,0.4285714285714285,0.5677313689733609,0.5,38.976187718130795,-76.63334045704161,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
23,0.6833028145393312,0.0153750606851234,0.0,0.8571428571428571,0.4368389981474613,1.0,39.09203770895529,-76.66561353860342,resistant,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
24,0.4975940937408518,0.3401393570496351,0.5,0.1428571428571428,0.7102871437703847,1.0,39.13081234667838,-76.4108598121183,resistant,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
25,0.5522257464974681,0.258920474910693,0.0,0.1428571428571428,0.9178338812351649,1.0,38.875134215902335,-76.48314087468992,isolated,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
26,0.2243615256954137,0.5862860005560929,0.0,0.7142857142857143,0.5483811684653477,0.25,39.01172209078593,-76.56352961806432,resistant,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,0.5054545702988467,0.0111799657741461,0.5,0.4285714285714285,0.7223465087158554,0.25,38.761138415372955,-76.67745659631454,isolated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
28,0.6192852134337028,0.5962001876022832,0.0,0.4285714285714285,0.3753700793751925,0.0,39.069381834750544,-76.60508652101133,resistant,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,0.6906200768709796,0.6764704492955911,0.0,0.7142857142857143,0.3775626288499165,0.0,38.92730862645179,-76.6480635065643,isolated,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
30,0.2721269557693856,0.79346239327367,0.0,0.4285714285714285,0.3991097351357607,1.0,39.18809158586703,-76.59549514199838,social_follower,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,0.6198132572966175,6.901586861861026e-05,0.0,0.8571428571428571,0.507240570039878,0.25,38.72558300352848,-76.67791032715041,resistant,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
