lon,lat,timestep,repair,sales,household_id
-81.9757956841169,26.505221613977625,2022-07,0,0,12071001923h734
-81.9757956841169,26.505221613977625,2022-07,0,0,12071001923h565
-81.9757956841169,26.505221613977625,2022-07,0,0,12071001923h670
-81.9757956841169,26.505221613977625,2022-08,0,0,12071001923h734
-81.9757956841169,26.505221613977625,2022-08,0,0,12071001923h565
-81.9757956841169,26.505221613977625,2022-08,0,0,12071001923h670
-81.9757956841169,26.505221613977625,2022-09,0,0,12071001923h734
-81.9757956841169,26.505221613977625,2022-09,0,0,12071001923h565
-81.9757956841169,26.505221613977625,2022-09,0,0,12071001923h670
-81.9757956841169,26.505221613977625,2022-10,0,0,12071001923h734
-81.9757956841169,26.505221613977625,2022-10,0,0,12071001923h565
-81.9757956841169,26.505221613977625,2022-10,0,0,12071001923h670
-81.9757956841169,26.505221613977625,2022-11,0,0,12071001923h734
-81.9757956841169,26.505221613977625,2022-11,0,0,12071001923h565
-81.9757956841169,26.505221613977625,2022-11,0,0,12071001923h670
-81.9757956841169,26.505221613977625,2022-12,0,0,12071001923h734
-81.9757956841169,26.505221613977625,2022-12,0,0,12071001923h565
-81.9757956841169,26.505221613977625,2022-12,0,0,12071001923h670
-81.9757956841169,26.505221613977625,2023-01,0,0,12071001923h734
-81.9757956841169,26.505221613977625,2023-01,0,0,12071001923h565
-81.9757956841169,26.505221613977625,2023-01,0,0,12071001923h670
-81.9757956841169,26.505221613977625,2023-02,0,0,12071001923h734
-81.9757956841169,26.505221613977625,2023-02,0,0,12071001923h565
-81.9757956841169,26.505221613977625,2023-02,0,0,12071001923h670
-81.9757956841169,26.505221613977625,2023-03,0,0,12071001923h734
-81.9757956841169,26.505221613977625,2023-03,0,0,12071001923h565
-81.9757956841169,26.505221613977625,2023-03,0,0,12071001923h670
-81.9757956841169,26.505221613977625,2023-04,0,0,12071001923h734
-81.9757956841169,26.505221613977625,2023-04,0,0,12071001923h565
-81.9757956841169,26.505221613977625,2023-04,0,0,12071001923h670
-81.9757956841169,26.505221613977625,2023-05,0,0,12071001923h734
-81.9757956841169,26.505221613977625,2023-05,0,0,12071001923h565
-81.9757956841169,26.505221613977625,2023-05,0,0,12071001923h670
-81.9757956841169,26.505221613977625,2023-06,0,0,12071001923h734
-81.9757956841169,26.505221613977625,2023-06,0,0,12071001923h565
-81.9757956841169,26.505221613977625,2023-06,0,0,12071001923h670
-81.9757956841169,26.505221613977625,2023-07,0,0,12071001923h734
-81.9757956841169,26.505221613977625,2023-07,0,0,12071001923h565
-81.9757956841169,26.505221613977625,2023-07,0,0,12071001923h670
-81.9757956841169,26.505221613977625,2023-08,0,0,12071001923h734
-81.9757956841169,26.505221613977625,2023-08,0,0,12071001923h565
-81.9757956841169,26.505221613977625,2023-08,0,0,12071001923h670
