lon,lat,first_sale_in_period
-81.89900615272784,26.544816232693467,0
-81.94012916395496,26.569967389331225,0
-81.9404324930172,26.5699683483564,0
-81.99876587079274,26.57236200578682,0
-81.99492913401447,26.569394188641887,0
-81.99530881180995,26.56944864160919,0
-81.93312714748856,26.50582876962404,0
-81.93168773303171,26.506059330913793,0
-81.93168630529954,26.505983684435137,0
-81.93168474795256,26.50590116130042,0
-81.93168319060769,26.50581863816474,0
-81.93168163321324,26.505736114830945,0
-81.93168007522796,26.505653591216824,0
-81.93167851782965,26.505571067816746,0
-81.93167696024632,26.505488544709245,0
-81.93167540291186,26.505406021568735,0
-81.9316738455795,26.505323498427245,0
-81.93167241786415,26.505247851937742,0
-81.93210360325868,26.506056414507643,0
-81.93210243452741,26.505994522184174,0
-81.9321012657916,26.505932629557694,0
-81.93209990178133,26.50586042165818,0
-81.93209834357899,26.505777898264256,0
-81.93209678519166,26.505695375162905,0
-81.93209522679842,26.505612851996247,0
-81.93209386299509,26.505540644049024,0
-81.93209251743204,26.50546939873486,0
-81.93223659971233,26.505358096127956,0
-81.93295179134849,26.50527903844777,0
-81.93295050185165,26.505204490942912,0
-81.93294909345504,26.50512306591204,0
-81.93294766663794,26.505040540584663,0
-81.9329462393209,26.504958015707395,0
-81.932944812006,26.50487549037786,0
-81.93294338469302,26.50479296504736,0
-81.93294195738166,26.5047104401672,0
-81.93294054949783,26.504629015130355,0
-81.93293926001465,26.504554467164898,0
-81.93231477631845,26.505269480180917,0
-81.9511056755829,26.514028083823547,0
-81.88835998573747,26.60380483058325,0
-81.88800867318302,26.60382137288744,0
-81.96961532927047,26.49783343490027,0
-81.94995713192344,26.58099001194247,0
-81.94986158584906,26.580893743074594,0
-81.88871729245197,26.51525696147205,0
-81.96641326209358,26.54838810016872,0
-81.96641074768101,26.548824686456623,0
-81.89842818041107,26.56808520978267,0
-81.89844225920132,26.568302941484554,0
-81.97480400034173,26.49967553963181,0
-81.9750341108942,26.49967415864416,0
-81.97503942449372,26.500223168604936,0
-81.97480949458236,26.50022433454602,0
-81.96779944699392,26.512770178501004,0
-81.94079155611044,26.491793665598085,0
-81.94994355474806,26.581401408190356,0
-81.95006841090546,26.581360118849467,0
-81.96921884066359,26.597127905618887,0
-81.89511978708657,26.57379931562199,0
-81.87870990076205,26.57233837281177,0
-81.94004384634593,26.559771099029007,0
-81.95309952040827,26.51185784020044,0
-81.87844994247992,26.601548658746225,0
