time_step,dimension,dimension_name,household_id,p_self_value
1,1,repair,1,0.0
1,0,vacant,1,0.0
1,2,sell,1,0.0
1,1,repair,2,0.0
1,0,vacant,2,0.0
1,2,sell,2,0.0
1,1,repair,3,0.0
1,0,vacant,3,0.0
1,2,sell,3,0.0
1,1,repair,4,0.0
1,0,vacant,4,0.0
1,2,sell,4,0.0
1,1,repair,5,0.0
1,0,vacant,5,0.0
1,2,sell,5,0.0
1,1,repair,6,0.0
1,0,vacant,6,0.0
1,2,sell,6,0.0
1,0,vacant,7,0.0
1,2,sell,7,0.0
1,0,vacant,8,0.0
1,2,sell,8,0.0
1,1,repair,9,0.0
1,0,vacant,9,0.0
1,2,sell,9,0.0
1,1,repair,10,0.0
1,0,vacant,10,0.0
1,2,sell,10,0.0
1,1,repair,11,0.30387040941673316
1,2,sell,11,0.22760253349909762
1,1,repair,12,0.0
1,0,vacant,12,0.0
1,2,sell,12,0.0
1,1,repair,13,0.0
1,0,vacant,13,0.0
1,2,sell,13,0.0
1,1,repair,14,0.0
1,0,vacant,14,0.0
1,2,sell,14,0.0
1,1,repair,15,0.0
1,0,vacant,15,0.0
1,2,sell,15,0.0
1,1,repair,16,0.0
1,0,vacant,16,0.0
1,2,sell,16,0.0
1,1,repair,17,0.0
1,0,vacant,17,0.0
1,2,sell,17,0.10086172404960587
1,1,repair,18,0.0
1,2,sell,18,0.0
1,1,repair,19,0.0
1,0,vacant,19,0.0
1,2,sell,19,0.0
1,1,repair,20,0.0
1,0,vacant,20,0.0
1,2,sell,20,0.0
1,1,repair,21,0.0
1,0,vacant,21,0.0
1,2,sell,21,0.0
1,1,repair,22,0.0
1,0,vacant,22,0.0
1,2,sell,22,0.0
1,1,repair,23,0.0
1,0,vacant,23,0.0
1,2,sell,23,0.0
1,1,repair,24,0.0
1,0,vacant,24,0.0
1,2,sell,24,0.0
1,1,repair,25,0.0
1,0,vacant,25,0.0
1,2,sell,25,0.0
1,1,repair,26,0.0
1,0,vacant,26,0.0
1,2,sell,26,0.0
1,1,repair,27,0.0
1,0,vacant,27,0.0
1,2,sell,27,0.0
1,1,repair,28,0.0
1,0,vacant,28,0.0
1,2,sell,28,0.0
1,1,repair,29,0.0
1,0,vacant,29,0.0
1,2,sell,29,0.0
1,1,repair,30,0.0
1,0,vacant,30,0.0
1,2,sell,30,0.0
1,1,repair,31,0.0
1,0,vacant,31,0.0
1,2,sell,31,0.0
1,1,repair,32,0.10286232941910568
1,0,vacant,32,0.0
1,2,sell,32,0.0
1,1,repair,33,0.0
1,0,vacant,33,0.0
